PlatformKey	DisplayLabel	ThresholdBp	FractionSpanning
Illumina	Illumina HiSeq 3000	50	1
Illumina	Illumina HiSeq 3000	100	0.9996
Illumina	Illumina HiSeq 3000	150	0.9802
Illumina	Illumina HiSeq 3000	200	0
Illumina	Illumina HiSeq 3000	300	0
Illumina	Illumina HiSeq 3000	500	0
Illumina	Illumina HiSeq 3000	750	0
Illumina	Illumina HiSeq 3000	1000	0
Illumina	Illumina HiSeq 3000	1500	0
Illumina	Illumina HiSeq 3000	2000	0
Illumina	Illumina HiSeq 3000	3000	0
Illumina	Illumina HiSeq 3000	5000	0
Illumina	Illumina HiSeq 3000	7500	0
Illumina	Illumina HiSeq 3000	10000	0
Illumina	Illumina HiSeq 3000	15000	0
Illumina	Illumina HiSeq 3000	20000	0
Illumina	Illumina HiSeq 3000	25000	0
ONT	ONT MinION R9	50	1
ONT	ONT MinION R9	100	1
ONT	ONT MinION R9	150	1
ONT	ONT MinION R9	200	1
ONT	ONT MinION R9	300	1
ONT	ONT MinION R9	500	1
ONT	ONT MinION R9	750	0.931
ONT	ONT MinION R9	1000	0.8794
ONT	ONT MinION R9	1500	0.8072
ONT	ONT MinION R9	2000	0.744
ONT	ONT MinION R9	3000	0.6276
ONT	ONT MinION R9	5000	0.3718
ONT	ONT MinION R9	7500	0.1358
ONT	ONT MinION R9	10000	0.0366
ONT	ONT MinION R9	15000	0.0022
ONT	ONT MinION R9	20000	6e-04
ONT	ONT MinION R9	25000	0
PacBio	PacBio Sequel II CCS	50	1
PacBio	PacBio Sequel II CCS	100	1
PacBio	PacBio Sequel II CCS	150	1
PacBio	PacBio Sequel II CCS	200	1
PacBio	PacBio Sequel II CCS	300	1
PacBio	PacBio Sequel II CCS	500	1
PacBio	PacBio Sequel II CCS	750	1
PacBio	PacBio Sequel II CCS	1000	1
PacBio	PacBio Sequel II CCS	1500	1
PacBio	PacBio Sequel II CCS	2000	0.9996
PacBio	PacBio Sequel II CCS	3000	0.9922
PacBio	PacBio Sequel II CCS	5000	0.885
PacBio	PacBio Sequel II CCS	7500	0.6762
PacBio	PacBio Sequel II CCS	10000	0.422
PacBio	PacBio Sequel II CCS	15000	0.1076
PacBio	PacBio Sequel II CCS	20000	0.017
PacBio	PacBio Sequel II CCS	25000	8e-04
