metric	expected	observed	status
sha256:08-ena-fastq-sources.tsv	96638ae0d16ce5953760b596887c9f8f443c1dc33e0f82bef2e6ac040e69d962	96638ae0d16ce5953760b596887c9f8f443c1dc33e0f82bef2e6ac040e69d962	PASS
sha256:08-prefix-source-summary.json	f7bc59e303f26f723aacb2ff8a1d065411c1dcface225ce6d16969baefa66d2d	f7bc59e303f26f723aacb2ff8a1d065411c1dcface225ce6d16969baefa66d2d	PASS
sha256:08-read-prefix-metrics.tsv	6c426e0c89a95b1c1cc7ec631629e3635a7fd83c61c90d4086801b28495b5a61	6c426e0c89a95b1c1cc7ec631629e3635a7fd83c61c90d4086801b28495b5a61	PASS
project_accession	PRJEB52977	PRJEB52977	PASS
sample_accession	SAMEA14435832	SAMEA14435832	PASS
source_rows	4	4	PASS
source_sample_identity	['SAMEA14435832']	['SAMEA14435832']	PASS
metrics_rows	15000	15000	PASS
platforms	['Illumina', 'ONT', 'PacBio']	['Illumina', 'ONT', 'PacBio']	PASS
rows:Illumina	5000	5000	PASS
rows:ONT	5000	5000	PASS
rows:PacBio	5000	5000	PASS
metrics_sample_identity	{'SAMEA14435832': 15000}	{'SAMEA14435832': 15000}	PASS
raw_fastq_stored	False	False	PASS
illumina_prefix_mates_synchronized	True	True	PASS
metric_source_platforms	['Illumina', 'ONT', 'PacBio']	['Illumina', 'ONT', 'PacBio']	PASS
smoke_python_version	3.12.13	3.12.13	PASS
