metric	value	unit	evidence_scope
operating_system	Ubuntu 22.04.5 LTS	text	native Linux read-only observation
kernel_release	6.8.0-49-generic	text	native Linux read-only observation
architecture	x86_64	text	native Linux read-only observation
logical_cpus	72	count	native Linux read-only observation
physical_cores	36	count	native Linux read-only observation
memory_total	1082088460288	bytes	native Linux read-only observation
memory_available_snapshot	900712964096	bytes	dynamic snapshot; not a frozen capacity promise
swap_total	1074043801600	bytes	report only; swap is not a RAM substitute
project_filesystem_type	ext4	text	mount path redacted
project_filesystem_total	31872298819584	bytes	mount path redacted
project_filesystem_available_snapshot	17528997552128	bytes	dynamic snapshot; mount path redacted
