Category	CheckID	Status	Detail
source	source-manifest-sha256	PASS	9c0928e60b2431ca549786b5f6302844507862c0f9768ce42e9188ce72a06501
source	source-manifest-two-mates	PASS	2
source	source-ProjectAccession	PASS	PRJEB52977
source	source-SampleAccession	PASS	SAMEA14435832
source	source-RunAccession	PASS	ERR9765746
source	source-Layout	PASS	PAIRED
source	source-CleanPairs	PASS	99991
source	source-NormalizedPairIDSHA256	PASS	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
source	article13-summary-sha256	PASS	f6dcc51b6535247de7f370dc2334994dd85dca61d3f86d252294127faa3460fe
source	article13-retained-pairs	PASS	99991
source	notice-sha256	PASS	1ec10bdbd9bf314f10a9a099a670814a7d39a931fd9b9b20b324637a858bc8d3
source	frozen-input-pairs	PASS	99991
source	frozen-input-reads	PASS	199982
