AnalysisUnit	DetectionRule	PrevalenceThreshold	Units	OrdinaryUnstratifiedPathways	RetainedPathways	RemovedPathways
Profile	Abundance > 0	0.1	24	445	395	50
Profile	Abundance > 0	0.25	24	445	350	95
Profile	Abundance > 0	0.5	24	445	270	175
Subject (any visit)	Abundance > 0	0.1	15	445	411	34
Subject (any visit)	Abundance > 0	0.25	15	445	367	78
Subject (any visit)	Abundance > 0	0.5	15	445	311	134
Profile	Coverage > 0	0.1	24	445	108	337
Profile	Coverage > 0	0.25	24	445	81	364
Profile	Coverage > 0	0.5	24	445	45	400
Subject (any visit)	Coverage > 0	0.1	15	445	131	314
Subject (any visit)	Coverage > 0	0.25	15	445	95	350
Subject (any visit)	Coverage > 0	0.5	15	445	59	386
Profile	Coverage >= 0.5	0.1	24	445	95	350
Profile	Coverage >= 0.5	0.25	24	445	72	373
Profile	Coverage >= 0.5	0.5	24	445	34	411
Subject (any visit)	Coverage >= 0.5	0.1	15	445	110	335
Subject (any visit)	Coverage >= 0.5	0.25	15	445	78	367
Subject (any visit)	Coverage >= 0.5	0.5	15	445	46	399
