Test	Formula	Term	Df	SumOfSquares	R2Total	R2Partial	PseudoF	PValue	Permutations	MinimumP	PrimaryInference
Marginal primary	BroadRegion + scale(MedianPH) + TemperatureRegime	BroadRegion	5	3.10314567245098	0.202002231589376	0.274139024469758	3.39906855913488	0.015	9999	1e-04	FALSE
Marginal primary	BroadRegion + scale(MedianPH) + TemperatureRegime	scale(MedianPH)	1	0.638946150880711	0.0415928099957365	0.0721532288612125	3.49938739859977	4e-04	9999	1e-04	FALSE
Marginal primary	BroadRegion + scale(MedianPH) + TemperatureRegime	TemperatureRegime	4	2.20252655477825	0.143375569877342	0.211395468344516	3.01570549421439	1e-04	9999	1e-04	TRUE
Sequential registered order	BroadRegion -> scale(MedianPH) -> TemperatureRegime	BroadRegion	5	3.82990390856215	0.249311253148928	0.317930283283035	4.19513208022207	1e-04	9999	1e-04	FALSE
Sequential registered order	BroadRegion -> scale(MedianPH) -> TemperatureRegime	scale(MedianPH)	1	1.11304705699501	0.0724548613276649	0.119303950704167	6.09594852387503	1e-04	9999	1e-04	FALSE
Sequential registered order	BroadRegion -> scale(MedianPH) -> TemperatureRegime	TemperatureRegime	4	2.20252655477826	0.143375569877342	0.211395468344517	3.0157054942144	1e-04	9999	1e-04	FALSE
Sequential swapped order	BroadRegion -> TemperatureRegime -> scale(MedianPH)	BroadRegion	5	3.82990390856215	0.249311253148928	0.317930283283035	4.19513208022207	1e-04	9999	1e-04	FALSE
Sequential swapped order	BroadRegion -> TemperatureRegime -> scale(MedianPH)	TemperatureRegime	4	2.67662746089256	0.17423762120927	0.245717979970342	3.66484577553321	1e-04	9999	1e-04	FALSE
Sequential swapped order	BroadRegion -> TemperatureRegime -> scale(MedianPH)	scale(MedianPH)	1	0.638946150880714	0.0415928099957366	0.0721532288612128	3.49938739859979	4e-04	9999	1e-04	FALSE
Partial CAP marginal	TemperatureRegime + scale(MedianPH) + Condition(BroadRegion)	TemperatureRegime	4	2.20252655477825	0.143375569877342	0.211395468344516	3.01570549421439	1e-04	9999	1e-04	FALSE
Partial CAP marginal	TemperatureRegime + scale(MedianPH) + Condition(BroadRegion)	scale(MedianPH)	1	0.638946150880713	0.0415928099957366	0.0721532288612127	3.49938739859978	4e-04	9999	1e-04	FALSE
