FeatureSpace	FeatureID	Feature	Label	AbundanceThreshold	RequiredPrevalence	ObservedThresholdPrevalence	ObservedDetectionPrevalence	MaxRelativeAbundance	PrimaryUniverse	AbundanceEstimable	PrevalenceEstimable	ControlPresent	ControlAbsent	CRCPresent	CRCAbsent
Species	SP0001	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	Bifidobacterium longum	0.0001	0.1	0.736363636363636	0.781818181818182	0.2772155	TRUE	TRUE	FALSE	50	9	36	15
Species	SP0002	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	Alistipes putredinis	0.0001	0.1	0.827272727272727	0.890909090909091	0.0935177	TRUE	TRUE	FALSE	52	7	46	5
Species	SP0003	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii	0.0001	0.1	0.972727272727273	1	0.3032443	TRUE	TRUE	FALSE	59	0	51	0
Species	SP0004	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180	Eubacterium sp CAG 180	0.0001	0.1	0.454545454545455	0.509090909090909	0.1677736	TRUE	TRUE	TRUE	28	31	28	23
Species	SP0005	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	Fusicatenibacter saccharivorans	0.0001	0.1	0.890909090909091	0.909090909090909	0.0680929	TRUE	TRUE	FALSE	56	3	44	7
Species	SP0006	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	Anaerostipes hadrus	0.0001	0.1	0.936363636363636	0.954545454545455	0.2864681	TRUE	TRUE	FALSE	58	1	47	4
Species	SP0007	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	Coprococcus comes	0.0001	0.1	0.845454545454545	0.872727272727273	0.1167747	TRUE	TRUE	FALSE	53	6	43	8
Species	SP0008	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	Bacteroides vulgatus	0.0001	0.1	0.954545454545455	0.990909090909091	0.2579812	TRUE	TRUE	FALSE	58	1	51	0
Species	SP0009	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	Ruminococcus bromii	0.0001	0.1	0.818181818181818	0.909090909090909	0.3642661	TRUE	TRUE	FALSE	55	4	45	6
Species	SP0010	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	Eubacterium rectale	0.0001	0.1	0.8	0.9	0.1659688	TRUE	TRUE	FALSE	54	5	45	6
Species	SP0011	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	Blautia obeum	0.0001	0.1	0.918181818181818	0.954545454545455	0.0870726	TRUE	TRUE	FALSE	56	3	49	2
Species	SP0012	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	Eubacterium hallii	0.0001	0.1	0.890909090909091	0.927272727272727	0.1075266	TRUE	TRUE	FALSE	55	4	47	4
Species	SP0013	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	Eubacterium ramulus	0.0001	0.1	0.736363636363636	0.754545454545455	0.0328257	TRUE	TRUE	TRUE	48	11	35	16
Species	SP0014	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens	Phascolarctobacterium succinatutens	0.0001	0.1	0.345454545454545	0.381818181818182	0.0418359	TRUE	TRUE	TRUE	24	35	18	33
Species	SP0015	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	Bacteroides uniformis	0.0001	0.1	0.990909090909091	1	0.29043	TRUE	TRUE	FALSE	59	0	51	0
Species	SP0016	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110	Firmicutes bacterium CAG 110	0.0001	0.1	0.418181818181818	0.5	0.0225914	TRUE	TRUE	TRUE	31	28	24	27
Species	SP0017	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	Bacteroides ovatus	0.0001	0.1	0.845454545454545	0.890909090909091	0.1423369	TRUE	TRUE	FALSE	55	4	43	8
Species	SP0018	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	Agathobaculum butyriciproducens	0.0001	0.1	0.827272727272727	0.854545454545454	0.0165072	TRUE	TRUE	FALSE	53	6	41	10
Species	SP0019	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	Akkermansia muciniphila	0.0001	0.1	0.581818181818182	0.7	0.1968177	TRUE	TRUE	TRUE	38	21	39	12
Species	SP0020	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	Roseburia hominis	0.0001	0.1	0.663636363636364	0.781818181818182	0.0651123	TRUE	TRUE	TRUE	47	12	39	12
Species	SP0021	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	Ruminococcus bicirculans	0.0001	0.1	0.472727272727273	0.572727272727273	0.096212	TRUE	TRUE	TRUE	41	18	22	29
Species	SP0022	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	Alistipes shahii	0.0001	0.1	0.754545454545455	0.854545454545454	0.0315168	TRUE	TRUE	FALSE	52	7	42	9
Species	SP0023	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris	Ruminococcus lactaris	0.0001	0.1	0.481818181818182	0.554545454545455	0.0693112	TRUE	TRUE	TRUE	32	27	29	22
Species	SP0024	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis	Ruminococcus champanellensis	0.0001	0.1	0.0909090909090909	0.1	0.0165672	FALSE	FALSE	FALSE	8	51	3	48
Species	SP0025	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	Bacteroides faecis	0.0001	0.1	0.190909090909091	0.218181818181818	0.0593317	TRUE	TRUE	TRUE	14	45	10	41
Species	SP0026	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	Parabacteroides merdae	0.0001	0.1	0.745454545454545	0.772727272727273	0.0462274	TRUE	TRUE	FALSE	42	17	43	8
Species	SP0027	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum	Clostridium leptum	0.0001	0.1	0.545454545454545	0.8	0.035572	TRUE	TRUE	TRUE	49	10	39	12
Species	SP0028	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus	Coprobacter fastidiosus	0.0001	0.1	0.418181818181818	0.463636363636364	0.0153429	TRUE	TRUE	TRUE	28	31	23	28
Species	SP0029	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	Eubacterium eligens	0.0001	0.1	0.772727272727273	0.827272727272727	0.2387495	TRUE	TRUE	FALSE	52	7	39	12
Species	SP0030	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	Coprococcus catus	0.0001	0.1	0.763636363636364	0.772727272727273	0.0193204	TRUE	TRUE	TRUE	46	13	39	12
