Rank	Habitat	Subjects	FeatureID	Label	Phylum	MeanRelativeAbundance	MedianRelativeAbundance	DetectionPrevalence
Phylum	Anterior nares	74	PH0001	Bacteroidetes	Bacteroidetes	0.0137911168940977	0	0.364864864864865
Phylum	Anterior nares	74	PH0002	Firmicutes	Firmicutes	0.270861416954861	0.2322112	0.986486486486487
Phylum	Anterior nares	74	PH0003	Proteobacteria	Proteobacteria	0.110768535401946	0.00236655	0.581081081081081
Phylum	Anterior nares	74	PH0004	Verrucomicrobia	Verrucomicrobia	0	0	0
Phylum	Anterior nares	74	PH0005	Lentisphaerae	Lentisphaerae	0	0	0
Phylum	Anterior nares	74	PH0006	Actinobacteria	Actinobacteria	0.567399143762784	0.596986229902588	0.986486486486487
Phylum	Anterior nares	74	PH0007	Synergistetes	Synergistetes	0.00000924324324324324	0	0.0135135135135135
Phylum	Anterior nares	74	PH0008	Fusobacteria	Fusobacteria	0.00151841354181447	0	0.0945945945945946
Phylum	Anterior nares	74	PH0009	Tenericutes	Tenericutes	0	0	0
Phylum	Anterior nares	74	PH0010	Spirochaetes	Spirochaetes	0	0	0
Phylum	Anterior nares	74	PH0011	Euryarchaeota	Euryarchaeota	0	0	0
Phylum	Anterior nares	74	PH0012	Ascomycota	Ascomycota	0.00000335945979540545	0	0.0135135135135135
Phylum	Anterior nares	74	PH0013	Basidiomycota	Basidiomycota	0.035648770741458	0.00368284979047502	0.675675675675676
Phylum	Anterior nares	74	PH0014	Chloroflexi	Chloroflexi	0	0	0
Phylum	Anterior nares	74	PH0015	Chlamydiae	Chlamydiae	0	0	0
Phylum	Anterior nares	74	PH0016	Eukaryota unclassified	Eukaryota unclassified	0	0	0
Phylum	Anterior nares	74	PH0017	Candidatus Melainabacteria	Candidatus Melainabacteria	0	0	0
Phylum	Anterior nares	74	PH0018	Cyanobacteria	Cyanobacteria	0	0	0
Phylum	Retroauricular crease	17	PH0001	Bacteroidetes	Bacteroidetes	0.00133207645782471	0.0000282	0.529411764705882
Phylum	Retroauricular crease	17	PH0002	Firmicutes	Firmicutes	0.102784466052839	0.0645399	1
Phylum	Retroauricular crease	17	PH0003	Proteobacteria	Proteobacteria	0.00500848244723531	0.0000919000091900009	0.647058823529412
Phylum	Retroauricular crease	17	PH0004	Verrucomicrobia	Verrucomicrobia	0.00000300588205235297	0	0.0588235294117647
Phylum	Retroauricular crease	17	PH0005	Lentisphaerae	Lentisphaerae	0	0	0
Phylum	Retroauricular crease	17	PH0006	Actinobacteria	Actinobacteria	0.838590986463724	0.9067168	1
Phylum	Retroauricular crease	17	PH0007	Synergistetes	Synergistetes	0	0	0
Phylum	Retroauricular crease	17	PH0008	Fusobacteria	Fusobacteria	0.000369247067148824	0	0.176470588235294
