Category	CheckID	Status	Detail
Sample catalog	sample-rows	PASS	22588
Sample catalog	sample-studies	PASS	93
Sample catalog	study-sample-key-unique	PASS	0
Sample catalog	raw-sample-id-collisions	PASS	177
Sample catalog	collision-table-rows	PASS	177
Sample catalog	collision-occurrences-two	PASS	2/2
Sample catalog	collision-qualified	PASS	study-qualified IDs
Sample catalog	metadata-completeness-rows	PASS	36
Sample catalog	age-completeness	PASS	0.600008854258898
Sample catalog	accession-completeness	PASS	0.795466619443953
Sample catalog	disease-complete	PASS	1
Query	attrition-rows	PASS	5
Query	attrition-counts	PASS	22588/928/319/319/261
Query	selection-pool-rows	PASS	319
Query	selection-representatives	PASS	261
Query	selected-metadata-rows	PASS	261
Query	stool-only	PASS	stool
Query	selected-subject-unique	PASS	study x subject
Query	selected-study-counts	PASS	10/95/156
Query	representative-highest-depth	PASS	maximum number_reads
