Category	CheckID	Status	Detail
Resource catalog	resource-rows	PASS	732
Resource catalog	resource-studies	PASS	93
Resource catalog	resource-types	PASS	gene_families/marker_abundance/marker_presence/pathway_abundance/pathway_coverage/relative_abundance
Resource catalog	resources-per-type	PASS	122/122/122/122/122/122
Resource catalog	latest-resources	PASS	558
Resource catalog	study-type-pairs	PASS	558
Resource catalog	single-release-pairs	PASS	384
Resource catalog	double-release-pairs	PASS	174
Resource catalog	release-date-counts	PASS	498/18/174/24/18
Resource catalog	release-summary-rows	PASS	30
Resource catalog	asnicar-query-rows	PASS	12
Resource catalog	asnicar-latest-six	PASS	6
Resource catalog	asnicar-old-superseded	PASS	2021-03-31
Resource catalog	asnicar-new-selected	PASS	2021-10-14
