Algorithm	Bin	Samples	MeanPredictedRisk	ObservedCRCProportion
Random forest	1	22	0.241910668590669	0.0909090909090909
Random forest	2	23	0.330840473890039	0.304347826086957
Random forest	3	23	0.43858311479181	0.173913043478261
Random forest	4	23	0.563611106510237	0.782608695652174
Random forest	5	23	0.725034584771106	0.956521739130435
XGBoost	1	22	0.164550732355565	0.181818181818182
XGBoost	2	23	0.265649006386166	0.173913043478261
XGBoost	3	23	0.406804884873007	0.304347826086957
XGBoost	4	23	0.580236097781554	0.782608695652174
XGBoost	5	23	0.815053217825682	0.869565217391304
