OuterTestCohort	Lambda	MeanInnerAUROC	SEInnerAUROC	Selected
AT	1	0.5	0	FALSE
AT	0.794328234724281	0.5	0	FALSE
AT	0.630957344480193	0.5	0	FALSE
AT	0.501187233627272	0.5	0	FALSE
AT	0.398107170553497	0.5	0	FALSE
AT	0.316227766016838	0.5	0	FALSE
AT	0.251188643150958	0.5	0	FALSE
AT	0.199526231496888	0.540883470613512	0.0209344500162735	FALSE
AT	0.158489319246111	0.722698318522064	0.041296528340018	FALSE
AT	0.125892541179417	0.729904741050593	0.0398794718563924	FALSE
AT	0.1	0.734162881019487	0.0443372756018414	FALSE
AT	0.0794328234724282	0.759166981736535	0.0367493807680861	FALSE
AT	0.0630957344480193	0.760290385880838	0.0331307036348729	FALSE
AT	0.0501187233627272	0.776531497663193	0.0237357058567493	FALSE
AT	0.0398107170553497	0.784421922188929	0.0201143432225128	FALSE
AT	0.0316227766016838	0.788072987333372	0.017936455199177	FALSE
AT	0.0251188643150958	0.787916466226764	0.015999708452908	FALSE
AT	0.0199526231496888	0.78525233998895	0.013028572434207	FALSE
AT	0.0158489319246111	0.781602274139839	0.0119431660326593	FALSE
AT	0.0125892541179417	0.776472051334346	0.0118823654259229	FALSE
AT	0.01	0.7719799454706	0.0103207901837185	FALSE
AT	0.00794328234724282	0.766144022995165	0.00916938869311057	FALSE
AT	0.00630957344480194	0.759755983833328	0.00992352497316501	FALSE
AT	0.00501187233627273	0.752211987965165	0.0115375635281543	FALSE
AT	0.00398107170553497	0.745327263458812	0.0106367975245787	FALSE
AT	0.00316227766016838	0.737029637971114	0.0104911304743662	FALSE
AT	0.00251188643150958	0.727304180262672	0.0104396364064265	FALSE
AT	0.00199526231496888	0.722934474033676	0.0110402888350026	FALSE
AT	0.00158489319246111	0.7155826081471	0.0122700293554256	FALSE
AT	0.00125892541179417	0.708231505557921	0.0140385133137732	FALSE
AT	0.001	0.704728136735013	0.0159587653946212	FALSE
AT	0.000794328234724282	0.700966505851603	0.0168730317334812	FALSE
AT	0.000630957344480194	0.696170558072275	0.0168110928387649	FALSE
AT	0.000501187233627273	0.693837600283042	0.0172239284820784	FALSE
AT	0.000398107170553497	0.691811552341096	0.0173779664813719	FALSE
AT	0.000316227766016838	0.690058943899785	0.0175736806706331	FALSE
AT	0.000251188643150958	0.689215075769781	0.0176742997299133	FALSE
AT	0.000199526231496888	0.687504276799784	0.0174000786408514	FALSE
AT	0.000158489319246111	0.685730864688005	0.0169838754314844	FALSE
AT	0.000125892541179417	0.682169537992862	0.0167138186089296	FALSE
AT	0.0001	0.681374514529223	0.0165701627492665	FALSE
CN	1	0.5	0	FALSE
CN	0.794328234724281	0.5	0	FALSE
CN	0.630957344480193	0.5	0	FALSE
CN	0.501187233627272	0.5	0	FALSE
CN	0.398107170553497	0.5	0	FALSE
CN	0.316227766016838	0.5	0	FALSE
CN	0.251188643150958	0.5	0	FALSE
CN	0.199526231496888	0.543449152058504	0.0216529547041014	FALSE
CN	0.158489319246111	0.713863514191692	0.0401237027134788	FALSE
CN	0.125892541179417	0.723252612756364	0.0394506126673239	FALSE
CN	0.1	0.728091758143922	0.0378513847525225	FALSE
CN	0.0794328234724282	0.758274550666073	0.0369391737685107	FALSE
CN	0.0630957344480193	0.767645160293349	0.0288831688669268	FALSE
CN	0.0501187233627272	0.771091954536809	0.0242521542389115	FALSE
CN	0.0398107170553497	0.779288574565558	0.0222509072978188	FALSE
CN	0.0316227766016838	0.784025426766736	0.0230720168568837	FALSE
CN	0.0251188643150958	0.784877728674479	0.0216922945684733	FALSE
CN	0.0199526231496888	0.784995069513174	0.0210058802662702	FALSE
CN	0.0158489319246111	0.78642711583651	0.021333606356157	FALSE
CN	0.0125892541179417	0.785581675165555	0.0206237170666654	FALSE
CN	0.01	0.780347443880516	0.0217311337629625	FALSE
CN	0.00794328234724282	0.770644082315126	0.0225854903850431	FALSE
CN	0.00630957344480194	0.762988572185785	0.0220890042841633	FALSE
CN	0.00501187233627273	0.751923109496957	0.022333565786797	FALSE
CN	0.00398107170553497	0.741271235035287	0.0225966861769332	FALSE
CN	0.00316227766016838	0.730536549248873	0.0236093406689263	FALSE
CN	0.00251188643150958	0.7234563487686	0.0233526800607107	FALSE
CN	0.00199526231496888	0.716928767449842	0.0229534692865234	FALSE
CN	0.00158489319246111	0.712665037787833	0.0229419363565226	FALSE
CN	0.00125892541179417	0.707794976438031	0.0237833384115378	FALSE
CN	0.001	0.703476108060096	0.0239564215772604	FALSE
CN	0.000794328234724282	0.698027874131902	0.0239319411034889	FALSE
CN	0.000630957344480194	0.695195398406057	0.0250020388372533	FALSE
CN	0.000501187233627273	0.693268163456592	0.0257131299906495	FALSE
CN	0.000398107170553497	0.691118715335655	0.026371855770396	FALSE
CN	0.000316227766016838	0.689564230650563	0.0263269886773584	FALSE
CN	0.000251188643150958	0.688725689873578	0.0260689948473763	FALSE
CN	0.000199526231496888	0.685570449934607	0.025376534480922	FALSE
CN	0.000158489319246111	0.683854165661402	0.0254108631642704	FALSE
CN	0.000125892541179417	0.682512061994276	0.0253572600996313	FALSE
CN	0.0001	0.681873876311218	0.0255339195242914	FALSE
DE	1	0.5	0	FALSE
DE	0.794328234724281	0.5	0	FALSE
DE	0.630957344480193	0.5	0	FALSE
DE	0.501187233627272	0.5	0	FALSE
