Figure	Format	Exists	Bytes	SHA256
29-feature-contract	pdf	TRUE	57864	d68dd8a805ba514aa110a91736106e78165726d7ce3b56bf920a375ea0bbc464
29-feature-contract	png	TRUE	471367	f3e9d6e05dc147068ee981db598420bdf30bc5f020111a8dbaea2db89cc59826
29-feature-contract	tiff	TRUE	504586	0f869b9c03f8a53094aaddd1edef94d93b4c39f86240ff793bf521b4e15ac223
29-conditional-network	pdf	TRUE	32042	ae31dcfe03f1e14efedf9944d97ed30ff2bf414b93518d8c1c7424f567ff48a4
29-conditional-network	png	TRUE	606236	55ba5a28b2e9644cd8f056fef6acb832f839aed50de6ac24b37e75cc93d155d9
29-conditional-network	tiff	TRUE	570228	1303122efbcde3c4cc01d0690da68b97a816e6e5035a3ed3cab1ff32252da02f
29-zippi-roles	pdf	TRUE	29698	84c10ecd9f8a6cd7b81e6eb8604dc0acba1511549e401433e5a0e2734d758149
29-zippi-roles	png	TRUE	286723	3fa652187fbbfb0f0346f3b16398594815455246097b75da6ef0a8869e496392
29-zippi-roles	tiff	TRUE	364256	ade373f277b121419689b8191bc22da68c4fe4d40dedd23ff26f3395fe774cdd
29-edge-stability-sensitivity	pdf	TRUE	34501	1cbf7b5074bb958e220f963c86d47f40b80a3ad2291592b30cad0da3947a2bcd
29-edge-stability-sensitivity	png	TRUE	297237	5a5ffdd9de3ac703b910cdf0d18a3d043fccab4f91fb11e97018de4cf5261daa
29-edge-stability-sensitivity	tiff	TRUE	800952	b2bcb68f43eee04f446ceebf689736f3f427df4a093549b28f7b3dfefbde681b
29-robustness-null	pdf	TRUE	25705	65e93ec31011ccc19c9497d208b75fe1450d02ea30de4000530f193b953b9535
29-robustness-null	png	TRUE	253445	34d419fafff0cd70741e49f3abb88532c8435c0d19416a18a68c754ed16f0826
29-robustness-null	tiff	TRUE	390098	45ae98b00931397494a89b3a8320a926f0aa1b5345903de1e5cc50d29b091acd
