Step	Attempts	UserSeconds	SystemSeconds	WallSeconds	PeakRSSKiB	FinalUserSeconds	FinalSystemSeconds	FinalWallSeconds	FinalPeakRSSKiB	FinalExitStatus	AllAttemptsPassed
assemble-flye-hifi	1	33905.18	727.13	11444.0	17139668	33905.18	727.13	11444.0	17139668	0	TRUE
assemble-flye-ont-r9	2	50487.14	1058.88	8476.43	24356972	41944.59	663.12	2293.43	15343856	0	FALSE
assemble-hifiasm-meta-hifi	1	33013.94	2647.04	2311.21	142312792	33013.94	2647.04	2311.21	142312792	0	TRUE
assemble-metamdbg-hifi	1	24586.87	336.61	1239.33	4721416	24586.87	336.61	1239.33	4721416	0	TRUE
junction-flye-hifi	1	411.52	10.35	74.87	4494500	411.52	10.35	74.87	4494500	0	TRUE
junction-flye-ont-r9	1	263.53	5.65	54.64	3327268	263.53	5.65	54.64	3327268	0	TRUE
junction-hifiasm-meta-hifi	1	294.61	5.97	73.74	3013864	294.61	5.97	73.74	3013864	0	TRUE
junction-metamdbg-hifi	1	324.15	9.33	74.25	3700468	324.15	9.33	74.25	3700468	0	TRUE
map-flye-hifi	2	3414.8199999999997	25.36	174.53	5097996	2345.93	16.8	92.61	5097996	0	TRUE
map-flye-ont-r9	2	2283.6099999999997	33.83	145.23000000000002	8066452	1693.09	24.25	80.83	8066452	0	TRUE
map-hifiasm-meta-hifi	2	3186.52	56.64	178.81	12467000	2374.31	47.67	96.52000000000001	12467000	0	TRUE
map-metamdbg-hifi	2	3412.9700000000003	29.76	178.9	6604100	2379.78	19.8	96.39	6604100	0	TRUE
