Figure	Status	Detail
33-qc-evidence-ladder.pdf	PASS	vector PDF
33-qc-evidence-ladder.png	PASS	3460x1633; RGBA; 350.0x350.0 dpi
33-qc-evidence-ladder.tiff	PASS	3460x1633; RGBA; 350.0x350.0 dpi
33-n50-na50-correctness.pdf	PASS	vector PDF
33-n50-na50-correctness.png	PASS	4657x2167; RGBA; 350.0x350.0 dpi
33-n50-na50-correctness.tiff	PASS	4657x2167; RGBA; 350.0x350.0 dpi
33-recovery-error-tradeoff.pdf	PASS	vector PDF
33-recovery-error-tradeoff.png	PASS	5625x2900; RGBA; 350.0x350.0 dpi
33-recovery-error-tradeoff.tiff	PASS	5625x2900; RGBA; 350.0x350.0 dpi
33-diagnostic-task-gates.pdf	PASS	vector PDF
33-diagnostic-task-gates.png	PASS	5272x2209; RGBA; 350.0x350.0 dpi
33-diagnostic-task-gates.tiff	PASS	5272x2209; RGBA; 350.0x350.0 dpi
