Category	CheckID	Status	Detail
Chapter	section-1	PASS	## 这一步对应论文里的哪张图
Chapter	section-2	PASS	## 理论：
Chapter	section-3	PASS	## 准备工作
Chapter	section-4	PASS	## 可复制代码
Chapter	section-5	PASS	## 审计与升级
Chapter	section-6	PASS	## 出版级美化
Chapter	section-7	PASS	## 常见坑
Chapter	section-8	PASS	## 这段 Methods 怎么写
Chapter	section-9	PASS	## 换成你自己的数据怎么做
Chapter	section-10	PASS	## 参考
Chapter	not-draft	PASS	draft
Chapter	eval-false	PASS	eval
Chapter	versions	PASS	tool versions
Chapter	parameters	PASS	cluster parameters
Chapter	seed	PASS	20260734
Chapter	locked-counts	PASS	headline counts
Chapter	hardware	PASS	resource labels
Chapter	inline-theme	PASS	inline preparation
Chapter	no-meta-prose	PASS	[]
Chapter	figure-reference-34-gene-catalog-workflow	PASS	34-gene-catalog-workflow
Chapter	figure-reference-34-gene-length-distributions	PASS	34-gene-length-distributions
Chapter	figure-reference-34-strategy-truth-audit	PASS	34-strategy-truth-audit
Chapter	figure-reference-34-threshold-method-sensitivity	PASS	34-threshold-method-sensitivity
