Category	CheckID	Status	Detail
Chapter	section-1	PASS	## 这一步对应论文里的哪张图
Chapter	section-2	PASS	## 理论：
Chapter	section-3	PASS	## 准备工作
Chapter	section-4	PASS	## 可复制代码
Chapter	section-5	PASS	## 审计与升级
Chapter	section-6	PASS	## 出版级美化
Chapter	section-7	PASS	## 常见坑
Chapter	section-8	PASS	## 这段 Methods 怎么写
Chapter	section-9	PASS	## 换成你自己的数据怎么做
Chapter	section-10	PASS	## 参考
Chapter	not-draft	PASS	draft
Chapter	eval-false	PASS	eval
Chapter	no-placeholders	PASS	[]
Chapter	versions	PASS	tool versions
Chapter	upstream-input-versions	PASS	input-generating tool versions
Chapter	mapping-parameters	PASS	mapping policy
Chapter	annotation-parameters	PASS	DIAMOND policy
Chapter	seed	PASS	20260735
Chapter	locked-counts	PASS	{'MOCK1': 2784234, 'MOCK2': 2777443}
Chapter	hardware	PASS	resource labels
Chapter	inline-theme	PASS	inline preparation
Chapter	unit-boundaries	PASS	unit and missingness boundaries
Chapter	no-meta-prose	PASS	[]
Chapter	figure-reference-35-read-to-gene-ledger	PASS	35-read-to-gene-ledger
Chapter	figure-reference-35-mapping-policy-sensitivity	PASS	35-mapping-policy-sensitivity
Chapter	figure-reference-35-unit-normalization-audit	PASS	35-unit-normalization-audit
Chapter	figure-reference-35-functional-aggregation	PASS	35-functional-aggregation
