File	ExpectedSHA256	ObservedSHA256	Status
37-dbcan-database-manifest.tsv	aad5824663dd9bc632bdb088d2aa96010c86190e45265d998e7dbc6c5172cb4b	aad5824663dd9bc632bdb088d2aa96010c86190e45265d998e7dbc6c5172cb4b	PASS
btheta-cgc-summary.tsv	a50704fedebb2c41f2d4e0a5f011a82ee117abfe45549e5acd1e229f8c3f48eb	a50704fedebb2c41f2d4e0a5f011a82ee117abfe45549e5acd1e229f8c3f48eb	PASS
btheta-substrate-summary.tsv	72e3f300112da1e69e9b5bfbf6637cf33c12d9d4fc50509751591cc4cfe412cd	72e3f300112da1e69e9b5bfbf6637cf33c12d9d4fc50509751591cc4cfe412cd	PASS
cazyme-class-summary.tsv	b7daae6c7fd7b3fd0fde2bcf4d9ef99405932fc5d96fb0ff24a5b846eb910fe2	b7daae6c7fd7b3fd0fde2bcf4d9ef99405932fc5d96fb0ff24a5b846eb910fe2	PASS
cazyme-family-summary.tsv	6f5d7aa76be615839c92650ae57eb631d3ffce8c4de5b51af8e74da10a100905	6f5d7aa76be615839c92650ae57eb631d3ffce8c4de5b51af8e74da10a100905	PASS
cazyme-gene-calls.tsv.gz	8338b5990fb63432d2a83b5dcffcf0204be240dee2c06c03160b97fafc53ec99	8338b5990fb63432d2a83b5dcffcf0204be240dee2c06c03160b97fafc53ec99	PASS
command-log.tsv	89e3e99361747f4e15d6c82d10b4edf96e36a64c792b6e06c676cce679e32afb	89e3e99361747f4e15d6c82d10b4edf96e36a64c792b6e06c676cce679e32afb	PASS
completeness-cazyme-summary.tsv	825e6a57f970bfe852c8173bc388345d8c2e894e9c1fe8d3d300f9083ed48a04	825e6a57f970bfe852c8173bc388345d8c2e894e9c1fe8d3d300f9083ed48a04	PASS
data-NOTICE.txt	e55b0aef5497aef9a4ce86bf6158cd7c3c31520cca94a62fac55860f37de89db	e55b0aef5497aef9a4ce86bf6158cd7c3c31520cca94a62fac55860f37de89db	PASS
database-audit.tsv	4636534c525b281f2252fc4448387930292eb9cfb904777f95d497c7fc4854ce	4636534c525b281f2252fc4448387930292eb9cfb904777f95d497c7fc4854ce	PASS
env/cazyme-linux-64.lock	eaba0a992cecac07d278d8effca1171e2015722337620f94feb17cf9b00f9ef6	eaba0a992cecac07d278d8effca1171e2015722337620f94feb17cf9b00f9ef6	PASS
env/cazyme.yml	8df430836975486e188c870a30d6786bb37d11ef774ee6e4fc074d5f855e9084	8df430836975486e188c870a30d6786bb37d11ef774ee6e4fc074d5f855e9084	PASS
evidence-tier-summary.tsv	389c649fc310204bb42528296bf1423b0b55be58ced1608d3779949650326def	389c649fc310204bb42528296bf1423b0b55be58ced1608d3779949650326def	PASS
frozen-contract.json	d0e378dca9da041ecda3e1d9eca1696f06a360fb20b1360803b7dc60efb3f9d4	d0e378dca9da041ecda3e1d9eca1696f06a360fb20b1360803b7dc60efb3f9d4	PASS
input-audit.tsv	94bea4033180d71b7c89797644cea291fa1e0fd1b7f515efe3b735805ebb4d85	94bea4033180d71b7c89797644cea291fa1e0fd1b7f515efe3b735805ebb4d85	PASS
input-lineage.tsv	71b6bc40fb62c471e0daa53afa4017beeafce0303f9af7cd44c0088cdb7d569a	71b6bc40fb62c471e0daa53afa4017beeafce0303f9af7cd44c0088cdb7d569a	PASS
logs/dbcan-btheta-substrate.internal.log	94c7fd19cb28b7a16031aa28484796d4c9bdeeb85cbf6906dba450f165aa6281	94c7fd19cb28b7a16031aa28484796d4c9bdeeb85cbf6906dba450f165aa6281	PASS
logs/dbcan-btheta-substrate.stderr.log	77e42f462e9c2142c33e3d3460fc2803fa6ba33ae2b367b0683aa9068241a51a	77e42f462e9c2142c33e3d3460fc2803fa6ba33ae2b367b0683aa9068241a51a	PASS
logs/dbcan-btheta-substrate.stdout.log	3d8c693133baa4e42c13e0a6e50511dab64cde2898f8f2396695539d0c1a054d	3d8c693133baa4e42c13e0a6e50511dab64cde2898f8f2396695539d0c1a054d	PASS
logs/dbcan-btheta-substrate.time.txt	b8323b7602de8f4af3c27b93811255cb4670e288bc0c75d022d09bb0d8c0d346	b8323b7602de8f4af3c27b93811255cb4670e288bc0c75d022d09bb0d8c0d346	PASS
logs/dbcan-catalog.internal.log	42999ec9b1f3c1632d8ff37c444e1c32a7ed4981172f233acf2e0ff9a87e5be1	42999ec9b1f3c1632d8ff37c444e1c32a7ed4981172f233acf2e0ff9a87e5be1	PASS
logs/dbcan-catalog.stderr.log	42999ec9b1f3c1632d8ff37c444e1c32a7ed4981172f233acf2e0ff9a87e5be1	42999ec9b1f3c1632d8ff37c444e1c32a7ed4981172f233acf2e0ff9a87e5be1	PASS
logs/dbcan-catalog.stdout.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	PASS
logs/dbcan-catalog.time.txt	6f78173118c05671368507ede8110712846d7e1451c29f9ea6c854210244d8a1	6f78173118c05671368507ede8110712846d7e1451c29f9ea6c854210244d8a1	PASS
raw/btheta-cgc-standard.tsv	270a5009ea2185cd6c0e9912ccb9eca483203ca7cc9321199ecad08774cac32a	270a5009ea2185cd6c0e9912ccb9eca483203ca7cc9321199ecad08774cac32a	PASS
raw/btheta-substrate-prediction.tsv	6babaa2c6e0972ac372c637f60954993ab1af2173a21f84079833365c8676c3b	6babaa2c6e0972ac372c637f60954993ab1af2173a21f84079833365c8676c3b	PASS
raw/catalog-overview.tsv	c47cfa431abc8c2c87880084df40efd27b57ba712d42fd7b4368ca93fadfef23	c47cfa431abc8c2c87880084df40efd27b57ba712d42fd7b4368ca93fadfef23	PASS
resource-usage.tsv	989ed3360ad3a2adc6cff5fde2abacf8d86700d7083f26afd2fa747f1768d87a	989ed3360ad3a2adc6cff5fde2abacf8d86700d7083f26afd2fa747f1768d87a	PASS
run-contract.json	9b850ed2e16eeebe04fab695161116d2947a75ad6553e2cc5c4d5742580af129	9b850ed2e16eeebe04fab695161116d2947a75ad6553e2cc5c4d5742580af129	PASS
run-summary.json	b2a25066aa0b04ddc2c69448543d9757f4cb1d0e507bbcf391f7dfd2961e8948	b2a25066aa0b04ddc2c69448543d9757f4cb1d0e507bbcf391f7dfd2961e8948	PASS
scripts/article37_40_utils.py	8116ae7f71fd40d2aab030c87ddd071d84de574a0dc252c70812a0bde235ebcc	8116ae7f71fd40d2aab030c87ddd071d84de574a0dc252c70812a0bde235ebcc	PASS
scripts/freeze_article37_cazymes.py	d2f2cdfcb992e7541bab5343f4e3ea9dee10fc9298a13435ba15dd976acf62bd	d2f2cdfcb992e7541bab5343f4e3ea9dee10fc9298a13435ba15dd976acf62bd	PASS
scripts/prepare_article37_cazymes.py	9402cb2973a408368f9dd3577ca56e9a4fd483c0e8b48e9846f2c42a7ba07cf8	9402cb2973a408368f9dd3577ca56e9a4fd483c0e8b48e9846f2c42a7ba07cf8	PASS
scripts/run_article37_cazymes.py	5ba9df1ab226e52b6f2a3b8a5bab0d68a1c414d38f4bc325518e1f4cbf7efb5c	5ba9df1ab226e52b6f2a3b8a5bab0d68a1c414d38f4bc325518e1f4cbf7efb5c	PASS
scripts/summarize_article37_cazymes.py	884c64317ebf333aeee9c854d1c0f62c34d6b1a9a2aa18899f7bf4f3cc4f90ee	884c64317ebf333aeee9c854d1c0f62c34d6b1a9a2aa18899f7bf4f3cc4f90ee	PASS
scripts/validate_article37_40.py	574ff04902545ecb572106f7938464afe7c0e98b0cdc79a8750813890bd146d0	574ff04902545ecb572106f7938464afe7c0e98b0cdc79a8750813890bd146d0	PASS
scripts/validate_article37_cazymes.py	0f564c6f826e47875277b5e58cc3d3fecc180e0e3fc1eb2ff5b84e54a4444f6e	0f564c6f826e47875277b5e58cc3d3fecc180e0e3fc1eb2ff5b84e54a4444f6e	PASS
substrate-summary.tsv	0455871345d2cf0bd53aa48a64b409183ae1e84abd54da2761956efdd4a6f44a	0455871345d2cf0bd53aa48a64b409183ae1e84abd54da2761956efdd4a6f44a	PASS
tool-versions.tsv	25eff5fa887d06a123b5f068c2869f60068091adde1b2166c4369a6540e09d22	25eff5fa887d06a123b5f068c2869f60068091adde1b2166c4369a6540e09d22	PASS
