Study	Role	Group	N	Age_observed	Age_complete_pct	Age_median_years	Gender_observed	Gender_complete_pct	Female_pct_observed	BMI_observed	BMI_complete_pct	BMI_median	Library_observed	Library_complete_pct	Library_median_m_reads
FR-CRC	Discovery / meta-analysis	Control	61	61	100	63	61	100	54.1	59	96.7	24	61	100	29.84
FR-CRC	Discovery / meta-analysis	CRC	53	53	100	67	53	100	45.3	51	96.2	25	53	100	24.51
AT-CRC	Discovery / meta-analysis	Control	63	63	100	68	63	100	41.3	63	100	29	63	100	24.76
AT-CRC	Discovery / meta-analysis	CRC	46	46	100	68.5	46	100	39.1	46	100	27	46	100	27.78
CN-CRC	Discovery / meta-analysis	Control	54	54	100	63	54	100	38.9	54	100	22.9	54	100	22.64
CN-CRC	Discovery / meta-analysis	CRC	74	74	100	67	74	100	35.1	73	98.6	23.9	74	100	18.41
US-CRC	Discovery / meta-analysis	Control	52	52	100	63	52	100	28.8	52	100	24	52	100	32.03
US-CRC	Discovery / meta-analysis	CRC	52	52	100	65	52	100	28.8	49	94.2	24.3	52	100	31.52
DE-CRC	Discovery / meta-analysis	Control	60	60	100	59	60	100	46.7	60	100	24.6	60	100	16.21
DE-CRC	Discovery / meta-analysis	CRC	60	60	100	63	60	100	40	60	100	26	60	100	31.87
IT-CRC	Independent validation	Control	24	24	100	67.5	24	100	45.8	22	91.7	25	24	100	18.88
IT-CRC	Independent validation	CRC	29	29	100	71	29	100	20.7	28	96.6	24.5	29	100	19.74
IT-CRC-2	Independent validation	Control	28	0	0		0	0		0	0		28	100	18.33
IT-CRC-2	Independent validation	CRC	32	0	0		0	0		0	0		32	100	19.9
JP-CRC	Independent validation	Control	40	40	100	66	40	100	40	40	100	22.8	40	100	23.3
JP-CRC	Independent validation	CRC	40	40	100	62	40	100	47.5	40	100	22.4	40	100	24.35
