package	role	expected_version	repository	required_for_article12
curatedMetagenomicData	resource discovery and standardized study objects	3.12.0	Bioconductor 3.19	TRUE
ExperimentHub	remote resource registry and cache client	2.12.0	Bioconductor 3.19	TRUE
AnnotationHub	hub query and metadata infrastructure	3.12.0	Bioconductor 3.19	TRUE
BiocFileCache	checksummable local resource cache	2.12.0	Bioconductor 3.19	TRUE
SummarizedExperiment	assay and sample metadata container	1.34.0	Bioconductor 3.19	TRUE
TreeSummarizedExperiment	tree-aware assay container	2.12.0	Bioconductor 3.19	TRUE
mia	microbiome object transformations	1.12.0	Bioconductor 3.19	TRUE
phyloseq	interoperable ecological analysis object	1.48.0	Bioconductor 3.19	TRUE
vegan	ecological distance and permutation statistics	2.6-6.1	CRAN	TRUE
DESeq2	count-scale differential analysis	1.44.0	Bioconductor 3.19	TRUE
ggplot2	publication graphics	3.5.2	CRAN	TRUE
dplyr	table transformation	1.1.4	CRAN	TRUE
tidyr	long and wide table reshaping	1.3.1	CRAN	TRUE
readr	delimited data input and output	2.1.5	CRAN	TRUE
renv	project package lock	1.0.7	CRAN	TRUE
sessioninfo	runtime provenance	1.2.2	CRAN	TRUE
digest	SHA-256 verification	0.6.36	CRAN	TRUE
