CheckID	Status	Detail
frozen-path-normalization	PASS	host-specific or transient path hits=0
tool-fastqc	PASS	expected=0.12.1; observed=0.12.1
tool-fastp	PASS	expected=1.3.6; observed=1.3.6
tool-multiqc	PASS	expected=1.35; observed=1.35
tool-python	PASS	expected=3.14.6; observed=3.14.6
environment-lock-package-count	PASS	linux-64 explicit package rows=171
lock-fastqc	PASS	fastqc-0.12.1-hdfd78af_0.tar.bz2
lock-fastp	PASS	fastp-1.3.6-h43da1c4_0.conda
lock-multiqc	PASS	multiqc-1.35-pyhdfd78af_1.conda
lock-python	PASS	python-3.14.6-habeac84_100_cp314.conda
lock-openjdk	PASS	openjdk-25.0.2-ha668962_0.conda
lock-matplotlib-base	PASS	matplotlib-base-3.10.8-py314h1194b4b_0.conda
source-row-count	PASS	rows=2
source-mates	PASS	R1,R2
source-projectaccession	PASS	expected=PRJEB52977; observed=['PRJEB52977']
source-sampleaccession	PASS	expected=SAMEA14435832; observed=['SAMEA14435832']
source-runaccession	PASS	expected=ERR9765746; observed=['ERR9765746']
source-prefixrecords	PASS	expected=100000; observed=['100000']
source-archive-md5	PASS	two ENA-reported complete-file MD5 values
subset-status	PASS	passed
subset-input-pairs	PASS	pairs=100000
subset-mate-sync	PASS	050dd3a5426c09ecc024adc9a0e89f8852cca005fb24cec625bb1810f52d3b63
subset-raw-not-committed	PASS	raw_fastq_committed=false
subset-full-md5-boundary	PASS	streaming prefix does not recompute complete-file MD5
fastp-version-json	PASS	1.3.6
fastp-input-reads	PASS	reads=200000
fastp-read-ledger	PASS	delta=0
fastp-passed-paired	PASS	passed reads=199982
fastp-flag-thread	PASS	--thread 4
fastp-flag-compression	PASS	--compression 6
fastp-flag-detect-adapter-for-pe	PASS	--detect_adapter_for_pe
fastp-flag-qualified-quality-phred	PASS	--qualified_quality_phred 20
fastp-flag-unqualified-percent-limit	PASS	--unqualified_percent_limit 40
fastp-flag-n-base-limit	PASS	--n_base_limit 5
fastp-flag-length-required	PASS	--length_required 50
fastp-flag-disable-trim-poly-g	PASS	--disable_trim_poly_g
fastp-flag-overrepresentation-analysis	PASS	--overrepresentation_analysis
fastp-flag-overrepresentation-sampling	PASS	--overrepresentation_sampling 20
fastp-absent-cut-front	PASS	--cut_front absent
fastp-absent-cut-tail	PASS	--cut_tail absent
fastp-absent-cut-right	PASS	--cut_right absent
fastp-absent-correction	PASS	--correction absent
fastp-absent-dedup	PASS	--dedup absent
fastp-absent-low-complexity-filter	PASS	--low_complexity_filter absent
fastqc-report-count	PASS	reports=4
fastqc-module-count	PASS	module counts=[11]
fastqc-clean-r1-sequences	PASS	expected=99991; observed=99991
fastqc-clean-r1-version	PASS	0.12.1
fastqc-clean-r2-sequences	PASS	expected=99991; observed=99991
fastqc-clean-r2-version	PASS	0.12.1
fastqc-raw-r1-sequences	PASS	expected=100000; observed=100000
fastqc-raw-r1-version	PASS	0.12.1
fastqc-raw-r2-sequences	PASS	expected=100000; observed=100000
fastqc-raw-r2-version	PASS	0.12.1
multiqc-fastp-report-count	PASS	fastp reports=1
multiqc-fastqc-report-count	PASS	FastQC reports=4
multiqc-unique-sample-names	PASS	clean_fastqc | ERR9765746_clean_R1.fastq.gz,clean_fastqc | ERR9765746_clean_R2.fastq.gz,raw_fastqc | ERR9765746_prefix100k_R1.fastq.gz,raw_fastqc | ERR9765746_prefix100k_R2.fastq.gz
multiqc-version	PASS	1.35
frozen-no-fastq	PASS	FASTQ files in frozen evidence=0
raw-pair-count	PASS	pairs=100000
raw-pair-id-hash	PASS	050dd3a5426c09ecc024adc9a0e89f8852cca005fb24cec625bb1810f52d3b63
raw-r1-uncompressed-hash	PASS	ab03bc05aa0f964b03259c3ecadde7f370f91d8f666ce39a475f6b2db0beb36e
raw-r2-uncompressed-hash	PASS	642dbfc3272d140f87084fa865039ba834a87b11508453c8dacbd78fdf6377e5
clean-pair-count	PASS	expected=99991; observed=99991
clean-mates-synchronized	PASS	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
