CheckID	Status	Detail
tool-hostile	PASS	expected=2.0.2; observed=2.0.2
tool-bowtie2	PASS	expected=2.5.4; observed=2.5.4
tool-samtools	PASS	expected=1.21; observed=1.21
tool-fastp	PASS	expected=1.3.6; observed=1.3.6
tool-seqkit	PASS	expected=2.10.0; observed=2.10.0
tool-python	PASS	expected=3.11.15; observed=3.11.15
environment-yaml-sha256	PASS	e4cba4b08e702e94020f854287d023f47edc313b393631725f8829faed4bf3f3
environment-lock-sha256	PASS	295a9351bba9e9f627bad21696ab2d0c028a41a3836d047a1a3dff29b2cc613a
environment-lock-package-count	PASS	explicit package rows=142
lock-hostile	PASS	hostile-2.0.2-pyhdfd78af_0.conda
lock-bowtie2	PASS	bowtie2-2.5.4-he96a11b_7.conda
lock-samtools	PASS	samtools-1.21-h96c455f_1.tar.bz2
lock-fastp	PASS	fastp-1.3.6-h43da1c4_0.conda
lock-seqkit	PASS	seqkit-2.10.0-he881be0_1.tar.bz2
lock-python	PASS	python-3.11.15-h7508c33_1_cpython.conda
lock-matplotlib-base	PASS	matplotlib-base-3.11.0-py311h0a88c4d_1.conda
lock-pillow	PASS	pillow-12.3.0-py311hf88fc01_0.conda
source-manifest-sha256	PASS	00c73ea625ded3e4079611c1d7862fb90afca7bea3b7a482e4350c53a38a6afa
source-row-count	PASS	rows=4
source-human_positive-r1	PASS	ERR194147 R1; md5=63634f9d0736e09debdfe5827a5e82a0; bytes=51402085017
source-human_positive-r2	PASS	ERR194147 R2; md5=81c3ba5eb6da709324cd124a847b4528; bytes=52551746373
source-mock_retention-r1	PASS	ERR9765746 R1; md5=ed0e6e0ee846542531c742a45181cd6f; bytes=1740647656
source-mock_retention-r2	PASS	ERR9765746 R2; md5=5b60ac93cb69dff77ae38cfa501afd06; bytes=2104551765
data-notice-sha256	PASS	86e59f2927f6d6d3e2703832eb4911b32a84ab9a8b37815c0035a1f2bf2affc7
index-source-contract	PASS	release=2023-07; status=VERIFIED_AND_EXTRACTED
index-file-count	PASS	files=6
index-files-nonempty	PASS	total bytes=4550239002
index-archive-verification	PASS	5b584f5c28abeec5dba78bd37b53fa476dd42af57051d2fb7d2f2098e3a2df13
controls-summary-status	PASS	passed
controls-total-pairs	PASS	40000
controls-archive-md5-boundary	PASS	streamed prefixes do not claim complete-file MD5 verification
human-input-pairs	PASS	pairs=20000
human-input-sync	PASS	f6006da01154f735c5d80dce94be41711c58e33fd1c0b4290c7fbe734a8b9a18
human-controls-summary-pairs	PASS	20000
human-controls-summary-id-digest	PASS	f6006da01154f735c5d80dce94be41711c58e33fd1c0b4290c7fbe734a8b9a18
human-hostile-version	PASS	2.0.2
human-hostile-aligner	PASS	bowtie2
human-hostile-index	PASS	human-t2t-hla
human-hostile-options	PASS	rename,reorder
human-hostile-read-ledger	PASS	in=40000; out=100; removed=39900
human-hostile-output-pairs	PASS	json=50; FASTQ=50
human-removal-threshold	PASS	removed fraction=0.99750000
human-fastp-baseline-command	PASS	diagnostic-only flags verified
human-fastp-baseline-ledger	PASS	in=40000; out=40000
human-complexity-20-command	PASS	threshold=20
human-complexity-20-output-ledger	PASS	pairs=19968; passed reads=39936; low-complexity reads=64
human-complexity-20-independent-count	PASS	fastp=19968; independent=19968
human-complexity-30-command	PASS	threshold=30
human-complexity-30-output-ledger	PASS	pairs=19955; passed reads=39910; low-complexity reads=90
human-complexity-30-independent-count	PASS	fastp=19955; independent=19955
human-complexity-40-command	PASS	threshold=40
human-complexity-40-output-ledger	PASS	pairs=19925; passed reads=39850; low-complexity reads=150
human-complexity-40-independent-count	PASS	fastp=19925; independent=19925
human-dedup-command	PASS	fastp --dedup sensitivity branch only
human-dedup-output-count	PASS	pairs=16687; output reads=33374; filter-passed reads=40000
human-dedup-bounded	PASS	retained pairs=16687
mock-input-pairs	PASS	pairs=20000
mock-input-sync	PASS	d8ccb5bd01cd5ab8205f08d56fda62cc9ab4d2e779faa6b250bceaa67c242033
mock-controls-summary-pairs	PASS	20000
mock-controls-summary-id-digest	PASS	d8ccb5bd01cd5ab8205f08d56fda62cc9ab4d2e779faa6b250bceaa67c242033
mock-hostile-version	PASS	2.0.2
mock-hostile-aligner	PASS	bowtie2
mock-hostile-index	PASS	human-t2t-hla
mock-hostile-options	PASS	rename,reorder
mock-hostile-read-ledger	PASS	in=40000; out=40000; removed=0
mock-hostile-output-pairs	PASS	json=20000; FASTQ=20000
mock-retention-threshold	PASS	retained fraction=1.00000000
mock-fastp-baseline-command	PASS	diagnostic-only flags verified
mock-fastp-baseline-ledger	PASS	in=40000; out=40000
mock-complexity-20-command	PASS	threshold=20
mock-complexity-20-output-ledger	PASS	pairs=19997; passed reads=39994; low-complexity reads=6
mock-complexity-20-independent-count	PASS	fastp=19997; independent=19997
mock-complexity-30-command	PASS	threshold=30
mock-complexity-30-output-ledger	PASS	pairs=19997; passed reads=39994; low-complexity reads=6
mock-complexity-30-independent-count	PASS	fastp=19997; independent=19997
mock-complexity-40-command	PASS	threshold=40
mock-complexity-40-output-ledger	PASS	pairs=19996; passed reads=39992; low-complexity reads=8
mock-complexity-40-independent-count	PASS	fastp=19996; independent=19996
mock-dedup-command	PASS	fastp --dedup sensitivity branch only
mock-dedup-output-count	PASS	pairs=19694; output reads=39388; filter-passed reads=40000
mock-dedup-bounded	PASS	retained pairs=19694
privacy-boundaries	PASS	failures=0
