Category	CheckID	Status	Detail
source	source-manifest-sha256	PASS	9c0928e60b2431ca549786b5f6302844507862c0f9768ce42e9188ce72a06501
source	source-manifest-two-mates	PASS	2
source	source-ProjectAccession	PASS	PRJEB52977
source	source-SampleAccession	PASS	SAMEA14435832
source	source-RunAccession	PASS	ERR9765746
source	source-Layout	PASS	PAIRED
source	source-CleanPairs	PASS	99991
source	source-NormalizedPairIDSHA256	PASS	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
source	article13-summary-sha256	PASS	f6dcc51b6535247de7f370dc2334994dd85dca61d3f86d252294127faa3460fe
source	article13-retained-pairs	PASS	99991
database	database-manifest-sha256	PASS	de817d33059b10110b63a16515d630d616eb3fae8790f682eb50d0ceb8fe5713
database	database-manifest-two-assets	PASS	2
database	marker_metadata-index	PASS	mpa_vJan26_CHOCOPhlAnSGB_202605
database	marker_metadata-bytes	PASS	6014095360
database	marker_metadata-md5	PASS	7162b0c3493663dce9abef08ccc06aea
database	marker_metadata-sha256	PASS	f945834fb9b8204a0b2235c51a41cd6084cc1965939a9768dd045e5c61c8c946
database	marker_metadata-status	PASS	VERIFIED_AND_EXTRACTED
database	bowtie2_index-index	PASS	mpa_vJan26_CHOCOPhlAnSGB_202605
database	bowtie2_index-bytes	PASS	41742510080
database	bowtie2_index-md5	PASS	ac93e1e9c0829629266f5b6ab19c318d
database	bowtie2_index-sha256	PASS	0df03a3d877be434c2e89b6cc3201d92c387215700ad66b44585e8883e87bb26
database	bowtie2_index-status	PASS	VERIFIED_AND_EXTRACTED
tool	tool-metaphlan	PASS	expected=4.2.5;observed=4.2.5
tool	tool-bowtie2	PASS	expected=2.5.5;observed=2.5.5
tool	tool-python	PASS	expected=3.12.13;observed=3.12.13
tool	environment-yaml-sha256	PASS	a314c7d33025e2057ab609f4f1e101b6ab3921338e55c587d318cf2d6d65f874
tool	environment-lock-sha256	PASS	d2884ede2be3ae1c27300505d5a1b6c784a4b30a9f259a3efd9b628a66d302d2
tool	environment-lock-package-count	PASS	554
tool	lock-metaphlan	PASS	metaphlan-4.2.5-pyhdfd78af_0.conda
tool	lock-bowtie2	PASS	bowtie2-2.5.5-ha27dd3b_0.conda
tool	lock-python	PASS	python-3.12.13-hd63d673_0_cpython.conda
tool	lock-matplotlib-base	PASS	matplotlib-base-3.11.0-py312hc1765e9_1.conda
tool	lock-pillow	PASS	pillow-12.3.0-py312h50c33e8_0.conda
tool	lock-numpy	PASS	numpy-2.5.1-py312h33ff503_0.conda
source	notice-sha256	PASS	1ec10bdbd9bf314f10a9a099a670814a7d39a931fd9b9b20b324637a858bc8d3
source	clean-pair-count	PASS	99991
source	clean-paired-id-sha256	PASS	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
source	clean-r1-records	PASS	99991
source	clean-r1-bases	PASS	14974589
source	clean-r1-shorter-than-70	PASS	22
source	clean-r1-bytes	PASS	8661319
source	clean-r1-compressed-sha256	PASS	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101
source	clean-r1-uncompressed-sha256	PASS	0705a8d7a2c9a4382a49f0b234cb35252ffd539aa53b7608d47b73295f7ba9ca
source	clean-r2-records	PASS	99991
source	clean-r2-bases	PASS	14835184
source	clean-r2-shorter-than-70	PASS	31
source	clean-r2-bytes	PASS	10045722
source	clean-r2-compressed-sha256	PASS	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459
source	clean-r2-uncompressed-sha256	PASS	78ed92a8be5eb6e06055e490d179e7e303e1ef481b0c699c6334859ee7d4e8cb
database	archive-marker_metadata-bytes	PASS	6014095360
database	archive-marker_metadata-md5	PASS	7162b0c3493663dce9abef08ccc06aea
database	archive-marker_metadata-sha256	PASS	f945834fb9b8204a0b2235c51a41cd6084cc1965939a9768dd045e5c61c8c946
database	archive-bowtie2_index-bytes	PASS	41742510080
database	archive-bowtie2_index-md5	PASS	ac93e1e9c0829629266f5b6ab19c318d
database	archive-bowtie2_index-sha256	PASS	0df03a3d877be434c2e89b6cc3201d92c387215700ad66b44585e8883e87bb26
database	database-pkl-present	PASS	10
database	database-six-bowtie2-files	PASS	6
profile	full-profile-database	PASS	mpa_vJan26_CHOCOPhlAnSGB_202605
profile	full-profile-processed-reads	PASS	199929
profile	main-command-input-type-fastq	PASS	--input_type fastq
profile	main-command-db-dir	PASS	--db_dir
profile	main-command-index-mpa-vjan26-chocophlansgb-202605	PASS	--index mpa_vJan26_CHOCOPhlAnSGB_202605
profile	main-command-offline	PASS	--offline
profile	main-command-mapout	PASS	--mapout
profile	main-command-nproc-8	PASS	--nproc 8
profile	main-command-read-min-len-70	PASS	--read_min_len 70
profile	main-command-perc-nonzero-0-33	PASS	--perc_nonzero 0.33
profile	main-command-t-rel-ab-w-read-stats	PASS	-t rel_ab_w_read_stats
profile	default-unclassified-present	PASS	present
profile	default-s-sum-100	PASS	99.99996000
profile	default-t-sum-100	PASS	99.99996000
profile	classified-only-same-processed-reads	PASS	199929
profile	classified-only-no-unclassified-row	PASS	absent
profile	classified-only-s-same-clades	PASS	default=31;classified_only=31
profile	classified-only-s-sum-100	PASS	99.99996000
profile	classified-only-s-same-evidence	PASS	coverage_and_estimated_reads
profile	classified-only-t-same-clades	PASS	default=31;classified_only=31
profile	classified-only-t-sum-100	PASS	99.99996000
profile	classified-only-t-same-evidence	PASS	coverage_and_estimated_reads
sensitivity	depth-20000-processed-not-over-input	PASS	processed=39993;input=40000
sensitivity	depth-20000-species-positive	PASS	13
sensitivity	depth-20000-sgb-positive	PASS	13
sensitivity	depth-50000-processed-not-over-input	PASS	processed=99974;input=100000
sensitivity	depth-50000-species-positive	PASS	25
sensitivity	depth-50000-sgb-positive	PASS	25
sensitivity	depth-99991-processed-not-over-input	PASS	processed=199929;input=199982
sensitivity	depth-99991-species-positive	PASS	31
sensitivity	depth-99991-sgb-positive	PASS	31
profile	mapout-20000-profile-read-denominator	PASS	mapout=39993;profile=39993
profile	mapout-20000-marker-hits-positive	PASS	2637
profile	mapout-50000-profile-read-denominator	PASS	mapout=99974;profile=99974
profile	mapout-50000-marker-hits-positive	PASS	6420
profile	mapout-99991-profile-read-denominator	PASS	mapout=199929;profile=199929
profile	mapout-99991-marker-hits-positive	PASS	12739
sensitivity	subsample-20000-pair-count	PASS	20000
sensitivity	subsample-50000-pair-count	PASS	50000
database	database-taxonomy-entries	PASS	72000
database	database-marker-entries	PASS	13907686
database	database-known-and-unknown-sgbs	PASS	known=27891;unknown=44109
sgb	detected-species-positive	PASS	31
sgb	detected-sgbs-positive	PASS	31
marker	marker-support-valid	PASS	rows=69
marker	non-pkl-sgb-markers-accounted-separately	PASS	"{""20000"": {""distinct_metadata_excluded_sgb_marker_names"": 2, ""distinct_vdb_marker_names"": 8, ""metadata_excluded_sgb_labels"": [""SGB6011""], ""metadata_excluded_sgb_marker_hits"": 3, ""unexpected_marker_names"": 0, ""vdb_marker_hits"": 26}, ""50000"": {""distinct_metadata_excluded_sgb_marker_names"": 5, ""distinct_vdb_marker_names"": 12, ""metadata_excluded_sgb_labels"": [""SGB6011""], ""metadata_excluded_sgb_marker_hits"": 8, ""unexpected_marker_names"": 0, ""vdb_marker_hits"": 49}, ""99991"": {""distinct_metadata_excluded_sgb_marker_names"": 12, ""distinct_vdb_marker_names"": 23, ""metadata_excluded_sgb_labels"": [""SGB6011""], ""metadata_excluded_sgb_marker_hits"": 28, ""unexpected_marker_names"": 0, ""vdb_marker_hits"": 85}}"
sensitivity	threshold-grid	PASS	8
sensitivity	depth-grid	PASS	20000,50000,99991
