#mpa_vJan26_CHOCOPhlAnSGB_202605
#${BIOBAKERY_ENV_PREFIX}/bin/metaphlan ${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R1.fastq.gz,${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R2.fastq.gz --input_type fastq --db_dir ${METAPHLAN_DB_DIR} --index mpa_vJan26_CHOCOPhlAnSGB_202605 --offline --bowtie2_exe ${BIOBAKERY_ENV_PREFIX}/bin/bowtie2 --mapout ${WORK_DIR}/ERR9765746-full.mapout.bz2 --tmp_dir ${WORK_DIR}/tmp --nproc 8 --read_min_len 70 --perc_nonzero 0.33 --stat tavg_g --stat_q 0.2 -t rel_ab_w_read_stats --tax_lev a --sample_id ERR9765746_MOCK1 --output_file ${PROJECT_ROOT}/data/small/15-metaphlan-frozen/profile-all.tsv
#199929 reads processed
#SampleID	ERR9765746_MOCK1
#Estimated reads mapped to known clades: 261721
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.0	-	-61792
k__Bacteria	2	62.79901	0.03458847044575241	203220
k__Archaea	2157	37.20099	0.02048958206919406	58501
k__Archaea|p__Methanobacteriota	2157|28890	31.10521	0.017132142613280412	48985
k__Bacteria|p__Thermotogota	2|200918	24.85127	0.013687595529781651	27433
k__Bacteria|p__Firmicutes	2|1239	11.67737	0.0064316668890725395	25863
k__Bacteria|p__Chlorobiota	2|1090	5.28231	0.0029093927758881816	22465
k__Bacteria|p__Gemmatimonadota	2|142182	4.37132	0.002407636902697987	13135
k__Bacteria|p__Aquificota	2|200783	4.35397	0.002398079837998753	10335
k__Bacteria|p__Pseudomonadota	2|1224	4.09513	0.0022555161642885727	21662
k__Archaea|p__Thermoproteota	2157|28889	3.20395	0.0017646733945483799	7486
k__Bacteria|p__Thermodesulfobacteriota	2|200940	2.90018	0.00159736167385569	8252
k__Archaea|p__Nanobdellota	2157|192989	2.89183	0.0015927660613652677	2030
k__Bacteria|p__Bacteroidota	2|976	1.90573	0.001049636479191153	7210
k__Bacteria|p__Chloroflexota	2|200795	1.55841	0.0008583424097614944	24414
k__Bacteria|p__Planctomycetota	2|203682	1.31188	0.0007225603744858903	18304
k__Bacteria|p__Campylobacterota	2|29547	0.41939	0.00023099084427539207	2856
k__Bacteria|p__Cyanobacteriota	2|1117	0.07206	3.9690564455104396e-05	21291
k__Bacteria|p__Thermotogota|c__Thermotogae	2|200918|188708	24.85127	0.013687595529781651	27433
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	14.02783	0.007726255962232208	15851
k__Archaea|p__Methanobacteriota|c__Methanococci	2157|28890|183939	11.29851	0.006222998149368336	17368
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	8.98371	0.004948053717287334	15860
k__Bacteria|p__Chlorobiota|c__Chlorobiia	2|1090|191410	5.28231	0.0029093927758881816	22465
k__Archaea|p__Methanobacteriota|c__Thermococci	2157|28890|183968	4.43493	0.0024426747770017027	5444
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia	2|142182|219685	4.37132	0.002407636902697987	13135
k__Bacteria|p__Aquificota|c__Aquificia	2|200783|187857	4.35397	0.002398079837998753	10335
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	3.48487	0.0019194010422632682	9855
k__Archaea|p__Thermoproteota|c__Thermoprotei	2157|28889|183924	3.20395	0.0017646733945483799	7486
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia	2|200940|3031451	2.90018	0.00159736167385569	8252
k__Archaea|p__Nanobdellota|c__Candidatus_Nanoarchaeia	2157|192989|2885752	2.89183	0.0015927660613652677	2030
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.69366	0.0014836131717852058	10003
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	1.90573	0.001049636479191153	7210
k__Bacteria|p__Chloroflexota|c__Chloroflexia	2|200795|32061	1.55841	0.0008583424097614944	24414
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	1.31188	0.0007225603744858903	18304
k__Archaea|p__Methanobacteriota|c__Halobacteria	2157|28890|183963	1.22614	0.0006753345652967777	6435
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.61025	0.0003361151220253043	11807
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria	2|29547|3031852	0.41939	0.00023099084427539207	2856
k__Archaea|p__Methanobacteriota|c__Methanopyri	2157|28890|183988	0.11779	6.487915938138804e-05	3887
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	0.07206	3.9690564455104396e-05	21291
k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales	2|200918|188708|2419	24.85127	0.013687595529781651	27433
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	14.02783	0.007726255962232208	15851
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales	2157|28890|183939|2182	11.29851	0.006222998149368336	17368
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Caldicellulosiruptorales	2|1239||3071001	8.98371	0.004948053717287334	15860
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales	2|1090|191410|191411	5.28231	0.0029093927758881816	22465
k__Archaea|p__Methanobacteriota|c__Thermococci|o__Thermococcales	2157|28890|183968|2258	4.43493	0.0024426747770017027	5444
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales	2|142182|219685|219686	4.37132	0.002407636902697987	13135
k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales	2|200783|187857|32069	4.35397	0.002398079837998753	10335
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	3.48487	0.0019194010422632682	9855
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales	2|200940|3031451|3024411	2.90018	0.00159736167385569	8252
k__Archaea|p__Nanobdellota|c__Candidatus_Nanoarchaeia|o__Nanoarchaeales	2157|192989|2885752|1890940	2.89183	0.0015927660613652677	2030
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	2|1239|186801|68295	2.69366	0.0014836131717852058	10003
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales	2157|28889|183924|114380	2.67616	0.001473975036742436	4567
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.90573	0.001049636479191153	7210
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Herpetosiphonales	2|200795|32061|189772	1.4625	0.0008055160311868297	14827
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales	2|203682|203683|2691354	1.31188	0.0007225603744858903	18304
k__Archaea|p__Methanobacteriota|c__Halobacteria|o__Halobacteriales	2157|28890|183963|2235	1.22614	0.0006753345652967777	6435
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	0.61025	0.0003361151220253043	11807
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Thermoproteales	2157|28889|183924|2266	0.52779	0.00029069835780594404	2919
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales	2|29547|3031852|213849	0.41939	0.00023099084427539207	2856
k__Archaea|p__Methanobacteriota|c__Methanopyri|o__Methanopyrales	2157|28890|183988|68985	0.11779	6.487915938138804e-05	3887
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.09591	5.282637857466467e-05	9587
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales	2|1117|3028117|1161	0.07206	3.9690564455104396e-05	21291
k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae	2|200918|188708|2419|188709	24.85127	0.013687595529781651	27433
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	2157|28890|183939|2182|196117	10.48936	0.005777336553204488	12045
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae	2157|28890|183925|2158|2178	9.16649	0.00504872567573879	6579
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Caldicellulosiruptorales|f__Caldicellulosiruptoraceae	2|1239||3071001|3071002	8.98371	0.004948053717287334	15860
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae	2|1090|191410|191411|191412	5.28231	0.0029093927758881816	22465
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	4.86134	0.002677530286493419	9272
k__Archaea|p__Methanobacteriota|c__Thermococci|o__Thermococcales|f__Thermococcaceae	2157|28890|183968|2258|2259	4.43493	0.0024426747770017027	5444
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales|f__Gemmatimonadaceae	2|142182|219685|219686|219687	4.37132	0.002407636902697987	13135
k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Hydrogenothermaceae	2|200783|187857|32069|224027	3.56869	0.001965565725186219	6717
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	2|1224|28216|32003|206379	3.48487	0.0019194010422632682	9855
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae	2|200940|3031451|3024411|213121	2.90018	0.00159736167385569	8252
k__Archaea|p__Nanobdellota|c__Candidatus_Nanoarchaeia|o__Nanoarchaeales|f__Nanoarchaeaceae	2157|192989|2885752|1890940|1890941	2.89183	0.0015927660613652677	2030
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae	2|1239|186801|68295|186814	2.69366	0.0014836131717852058	10003
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	2157|28889|183924|114380|2272	2.67616	0.001473975036742436	4567
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	1.90573	0.001049636479191153	7210
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Herpetosiphonales|f__Herpetosiphonaceae	2|200795|32061|189772|189773	1.4625	0.0008055160311868297	14827
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae	2|203682|203683|2691354|2691357	1.31188	0.0007225603744858903	18304
k__Archaea|p__Methanobacteriota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	2157|28890|183963|2235|2236	1.22614	0.0006753345652967777	6435
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanococcaceae	2157|28890|183939|2182|2183	0.80915	0.0004456615961638476	5323
k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Aquificaceae	2|200783|187857|32069|64898	0.78527	0.00043251411281253384	3618
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae	2|1224|1236|135622|267890	0.61025	0.0003361151220253043	11807
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	2157|28889|183924|2266|2267	0.52779	0.00029069835780594404	2919
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|29547|3031852|213849|72293	0.41939	0.00023099084427539207	2856
k__Archaea|p__Methanobacteriota|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae	2157|28890|183988|68985|183713	0.11779	6.487915938138804e-05	3887
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae	2|200795|32061|32064|1106	0.09591	5.282637857466467e-05	9587
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales|f__Nostocaceae	2|1117|3028117|1161|1162	0.07206	3.9690564455104396e-05	21291
k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga	2|200918|188708|2419|188709|2335	24.85127	0.013687595529781651	27433
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus	2157|28890|183939|2182|196117|196118	10.48936	0.005777336553204488	12045
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus	2157|28890|183925|2158|2178|2179	9.16649	0.00504872567573879	6579
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Caldicellulosiruptorales|f__Caldicellulosiruptoraceae|g__Caldicellulosiruptor	2|1239||3071001|3071002|44000	8.98371	0.004948053717287334	15860
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	4.86134	0.002677530286493419	9272
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium	2|1090|191410|191411|191412|1091	4.73708	0.00260909115726818	17278
k__Archaea|p__Methanobacteriota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Pyrococcus	2157|28890|183968|2258|2259|2260	4.43493	0.0024426747770017027	5444
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas	2|142182|219685|219686|219687|173479	4.37132	0.002407636902697987	13135
