SampleID	PairDepth	ProfilingReads	Rank	CladeName	TaxID	SpeciesLabel	SGBLabel	SGBClass	RelativeAbundancePct	Coverage	EstimatedReads
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_neapolitana|t__SGB19176	2|200918|188708|2419|188709|2335|2337|	s__Thermotoga_neapolitana	t__SGB19176	Known SGB	14.51883	0.007996690560745028	15534
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus_jannaschii|t__SGB648	2157|28890|183939|2182|196117|196118|2190|	s__Methanocaldococcus_jannaschii	t__SGB648	Known SGB	10.48936	0.005777336553204488	12045
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_petrophila|t__SGB19175	2|200918|188708|2419|188709|2335|93929|	s__Thermotoga_petrophila	t__SGB19175	Known SGB	10.33244	0.005690904969036624	11899
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Methanothermus_fervidus|t__SGB722	2157|28890|183925|2158|2178|2179|2180|	s__Methanothermus_fervidus	t__SGB722	Known SGB	9.16649	0.00504872567573879	6579
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Caldicellulosiruptorales|f__Caldicellulosiruptoraceae|g__Caldicellulosiruptor|s__Caldicellulosiruptor_changbaiensis|t__SGB8548	2|1239||3071001|3071002|44000|1222016|	s__Caldicellulosiruptor_changbaiensis	t__SGB8548	Known SGB	8.98371	0.004948053717287334	15860
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis|t__SGB720	2157|28890|183925|2158|2159|2172|66851|	s__Methanobrevibacter_oralis	t__SGB720	Known SGB	4.86134	0.002677530286493419	9272
ERR9765746_MOCK1	99991	199929	SGB	k__Archaea|p__Methanobacteriota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Pyrococcus|s__Pyrococcus_horikoshii|t__SGB896	2157|28890|183968|2258|2259|2260|53953|	s__Pyrococcus_horikoshii	t__SGB896	Known SGB	4.43493	0.0024426747770017027	5444
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas_aurantiaca|t__SGB17603	2|142182|219685|219686|219687|173479|173480|	s__Gemmatimonas_aurantiaca	t__SGB17603	Known SGB	4.37132	0.002407636902697987	13135
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina|t__SGB19010	2|200783|187857|32069|224027|182899|309805|	s__Persephonella_marina	t__SGB19010	Known SGB	3.56869	0.001965565725186219	6717
ERR9765746_MOCK1	99991	199929	SGB	k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas_europaea|t__SGB13363	2|1224|28216|32003|206379|914|915|	s__Nitrosomonas_europaea	t__SGB13363	Known SGB	3.48487	0.0019194010422632682	9855
