100.00	86353	0	R	1	root
100.00	86353	0	R1	131567	  cellular organisms
82.52	71261	0	D	2	    Bacteria
47.59	41098	0	K	3379134	      Pseudomonadati
16.40	14161	0	K1	1783270	        FCB group
9.77	8439	0	K2	68336	          Bacteroidota/Chlorobiota group
6.25	5396	0	P	1090	            Chlorobiota
6.25	5396	0	C	191410	              Chlorobiia
6.25	5396	0	O	191411	                Chlorobiales
6.25	5396	0	F	191412	                  Chlorobiaceae
5.42	4683	0	F1	274493	                    Chlorobium/Pelodictyon group
5.40	4659	0	G	1091	                      Chlorobium
2.67	2309	2309	S	1092	                        Chlorobium limicola
1.59	1375	1375	S	1094	                        Chlorobium phaeovibrioides
1.13	973	973	S	1096	                        Chlorobium phaeobacteroides
0.03	24	0	G	1099	                      Pelodictyon
0.03	24	24	S	1100	                        Pelodictyon luteolum
0.82	710	0	G	256319	                    Chlorobaculum
0.82	709	709	S	1097	                      Chlorobaculum tepidum
0.00	1	0	G1	2685250	                      unclassified Chlorobaculum
0.00	1	1	S	2976335	                        Chlorobaculum sp. MV4-Y
0.00	2	0	G	1101	                    Prosthecochloris
0.00	2	0	G1	2632826	                      unclassified Prosthecochloris
0.00	2	2	S	281093	                        Prosthecochloris sp. GSB1
3.52	3042	0	P	976	            Bacteroidota
3.52	3037	0	C	200643	              Bacteroidia
3.52	3037	0	O	171549	                Bacteroidales
2.07	1789	0	F	171551	                  Porphyromonadaceae
2.07	1789	0	G	836	                    Porphyromonas
2.07	1789	1789	S	837	                      Porphyromonas gingivalis
1.44	1245	0	F	815	                  Bacteroidaceae
0.95	819	0	G	909656	                    Phocaeicola
0.95	816	816	S	821	                      Phocaeicola vulgatus
0.00	2	2	S	357276	                      Phocaeicola dorei
0.49	426	0	G	816	                    Bacteroides
0.49	425	425	S	818	                      Bacteroides thetaiotaomicron
0.00	1	1	S	47678	                      Bacteroides caccae
0.00	1	0	F	171550	                  Rikenellaceae
0.00	1	0	G	239759	                    Alistipes
0.00	1	1	S	28117	                      Alistipes putredinis
0.00	1	0	F	171552	                  Prevotellaceae
0.00	1	0	G	2974251	                    Segatella
0.00	1	1	S	28135	                      Segatella oris
0.00	4	0	C	117743	              Flavobacteriia
0.00	4	0	O	200644	                Flavobacteriales
0.00	4	0	F	49546	                  Flavobacteriaceae
0.00	1	0	G	237	                    Flavobacterium
0.00	1	1	S	2906078	                      Flavobacterium oreochromis
0.00	1	0	G	225842	                    Formosa
0.00	1	1	S	320324	                      Formosa agariphila
0.00	1	0	G	1649495	                    Seonamhaeicola
0.00	1	0	G1	2622645	                      unclassified Seonamhaeicola
0.00	1	1	S	2976768	                        Seonamhaeicola sp. MEBiC01930
0.00	1	0	C	117747	              Sphingobacteriia
0.00	1	0	O	200666	                Sphingobacteriales
