name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chlorobium limicola	1092	S	2296	13	2309	0.02674
Chlorobium phaeovibrioides	1094	S	1360	15	1375	0.01592
Chlorobium phaeobacteroides	1096	S	964	9	973	0.01127
Pelodictyon luteolum	1100	S	24	0	24	0.00028
Chlorobaculum tepidum	1097	S	697	12	709	0.00821
Chlorobaculum sp. MV4-Y	2976335	S	1	0	1	0.00001
Prosthecochloris sp. GSB1	281093	S	1	1	2	0.00002
Porphyromonas gingivalis	837	S	1714	75	1789	0.02072
Phocaeicola vulgatus	821	S	633	183	816	0.00945
Phocaeicola dorei	357276	S	2	0	2	0.00002
Bacteroides thetaiotaomicron	818	S	362	63	425	0.00492
Bacteroides caccae	47678	S	1	0	1	0.00001
Alistipes putredinis	28117	S	1	0	1	0.00001
Segatella oris	28135	S	1	0	1	0.00001
Flavobacterium oreochromis	2906078	S	1	0	1	0.00001
Seonamhaeicola sp. MEBiC01930	2976768	S	1	0	1	0.00001
Formosa agariphila	320324	S	1	0	1	0.00001
Mucilaginibacter sp. 21P	2778902	S	1	0	1	0.00001
Gemmatimonas aurantiaca	173480	S	5712	10	5722	0.06626
Shewanella baltica	62322	S	3688	1492	5180	0.05999
Shewanella loihica	359303	S	261	87	348	0.00403
Shewanella sp. Pdp11	2059264	S	3	1	4	0.00005
Shewanella sp. QJM3NY_23	3569839	S	1	0	1	0.00001
Shewanella acanthi	2864212	S	1	0	1	0.00001
Shewanella alkalitolerans	2864209	S	1	0	1	0.00001
Pseudomonas marginalis	298	S	867	2630	3497	0.04050
Pseudomonas petroselini	2899822	S	2	10	12	0.00014
Pseudomonas sp. Z2-11	2937882	S	1	4	5	0.00006
Pseudomonas sp. KnCO4	3381355	S	1	1	2	0.00002
Pseudomonas sp. J452	2898441	S	1	0	1	0.00001
Pseudomonas sp. SO81	2983246	S	1	0	1	0.00001
Pseudomonas sp. A1230	3235106	S	1	5	6	0.00007
Pseudomonas sp. COR18	3399680	S	1	2	3	0.00003
Pseudomonas putida	303	S	7	52	59	0.00068
Pseudomonas hunanensis	1247546	S	1	15	16	0.00019
Pseudomonas parafulva	157782	S	1	2	3	0.00003
Thiopseudomonas alkaliphila	1697053	S	1	0	1	0.00001
Stenotrophomonas hibiscicola	86189	S	1	2	3	0.00003
Stenotrophomonas sepilia	2860290	S	1	10	11	0.00013
Stenotrophomonas riyadhensis	2859893	S	1	7	8	0.00009
Phytobacter cepae	3458728	S	1	2	3	0.00003
Buchnera aphidicola	9	S	1	0	1	0.00001
Morganella morganii	582	S	1	0	1	0.00001
Legionella pneumophila	446	S	1	0	1	0.00001
Vibrio sp. SNU_ST1	3064001	S	1	0	1	0.00001
Nitrosomonas europaea	915	S	2198	1356	3554	0.04116
Nitrosomonas sp. H1_AOB3	2741553	S	2	1	3	0.00003
Paraburkholderia xenovorans	36873	S	887	149	1036	0.01200
Paraburkholderia sp. SOS3	1926494	S	1	0	1	0.00001
Paraburkholderia fungorum	134537	S	1	0	1	0.00001
Paraburkholderia ginsengisoli	311231	S	1	0	1	0.00001
Paraburkholderia terrae	311230	S	1	0	1	0.00001
Caballeronia sp. TF1N1	2878153	S	1	0	1	0.00001
Bordetella bronchiseptica	518	S	32	152	184	0.00213
Bordetella parapertussis	519	S	2	17	19	0.00022
Bordetella pertussis	520	S	1	5	6	0.00007
Leptothrix cholodnii	34029	S	57	1	58	0.00067
Rhizobacter sp. AJA081-3	2753607	S	1	0	1	0.00001
Acidovorax sacchari	3230736	S	1	0	1	0.00001
Chitinibacter mangrovi	3153927	S	1	0	1	0.00001
Ruegeria pomeroyi	89184	S	49	0	49	0.00057
Falsirhodobacter algicola	2692330	S	1	0	1	0.00001
Methylocystis sp. S23	3470774	S	1	0	1	0.00001
Roseibium sp. M-1	3569461	S	1	0	1	0.00001
Rhizobium sp. X9	2815360	S	1	0	1	0.00001
Neorickettsia helminthoeca	33994	S	1	0	1	0.00001
Altererythrobacter sp. TH136	2067415	S	1	0	1	0.00001
Rhodopirellula baltica	265606	S	4061	39	4100	0.04748
Rosistilla oblonga	2527990	S	1	0	1	0.00001
Candidatus Uabimicrobium helgolandensis	3095367	S	1	0	1	0.00001
Akkermansia muciniphila	239935	S	578	6	584	0.00676
Desulfobulbus oralis	1986146	S	2712	8	2720	0.03150
Geobacter sulfurreducens	35554	S	417	96	513	0.00594
Desulfovibrio piger	901	S	408	5	413	0.00478
Desulfovibrio mangrovi	2976983	S	1	0	1	0.00001
Pseudodesulfovibrio nedwellii	2973072	S	1	0	1	0.00001
Desulfosudis oleivorans	181663	S	1	0	1	0.00001
Persephonella marina	309805	S	2248	1	2249	0.02604
Sulfurihydrogenibium sp. YO3AOP1	436114	S	296	0	296	0.00343
Hydrogenobaculum sp. Y04AAS1	380749	S	565	32	597	0.00691
Treponema denticola	158	S	349	148	497	0.00576
Wolinella succinogenes	844	S	419	1	420	0.00486
Aliarcobacter faecis	1564138	S	1	0	1	0.00001
Sulfurospirillum sp. 1612	3094835	S	1	0	1	0.00001
Acidobacterium capsulatum	33075	S	328	0	328	0.00380
Dictyoglomus turgidum	513050	S	100	1	101	0.00117
Caldicellulosiruptor saccharolyticus	44001	S	4329	3052	7381	0.08547
Caldicellulosiruptor bescii	31899	S	350	199	549	0.00636
Caldicellulosiruptor changbaiensis	1222016	S	24	13	37	0.00043
Caldicellulosiruptor naganoensis	29324	S	19	3	22	0.00025
Caldicellulosiruptor sp. DIB 104C	3019889	S	18	17	35	0.00041
Caldicellulosiruptor kronotskyensis	413889	S	8	3	11	0.00013
Caldicellulosiruptor acetigenus	301953	S	3	0	3	0.00003
Caldicellulosiruptor hydrothermalis	413888	S	2	0	2	0.00002
Caldicellulosiruptor morganii	1387555	S	2	0	2	0.00002
Anaerocellum diazotrophicum	2806205	S	2	0	2	0.00002
Caldicellulosiruptor obsidiansis	717609	S	1	0	1	0.00001
Thermoanaerobacter italicus	108150	S	8	15	23	0.00027
Thermoanaerobacter mathranii	583357	S	5	10	15	0.00017
Thermoanaerobacter wiegelii	46354	S	15	10	25	0.00029
Thermoanaerobacter sp. X514	399726	S	6	9	15	0.00017
Thermoanaerobacter sp. RKWS2	2983842	S	4	7	11	0.00013
Thermoanaerobacter ethanolicus	1757	S	7	14	21	0.00024
Thermoanaerobacter siderophilus	106578	S	6	11	17	0.00020
Thermoanaerobacter kivui	2325	S	4	0	4	0.00005
Thermoanaerobacter pseudethanolicus	496866	S	4	832	836	0.00968
Thermoanaerobacter brockii	29323	S	3	2513	2516	0.02914
Thermoanaerobacterium saccharolyticum	28896	S	1	0	1	0.00001
Acetivibrio thermocellus	1515	S	389	16	405	0.00469
Desulfitobacterium dehalogenans	36854	S	13	0	13	0.00015
Clostridium thermosuccinogenes	84032	S	1	0	1	0.00001
Haloimpatiens lingqiaonensis	1380675	S	1	0	1	0.00001
Hominenteromicrobium mulieris	2885357	S	1	0	1	0.00001
Symbiobacterium thermophilum	2734	S	1	0	1	0.00001
Lachnospira eligens	39485	S	1	0	1	0.00001
Enterococcus faecalis	1351	S	11	70	81	0.00094
Virgibacillus necropolis	163877	S	1	0	1	0.00001
Tannockella kyphosi	2899121	S	1	0	1	0.00001
Nostoc sp. PCC 7120 = FACHB-418	103690	S	4	1819	1823	0.02111
Picosynechococcus sp. PCC 7002	32049	S	1	4	5	0.00006
Chloroflexus aurantiacus	1108	S	1002	2	1004	0.01163
Kouleothrix sp. 19917	2939416	S	1	0	1	0.00001
Salinispora tropica	168695	S	247	22	269	0.00312
Verrucosispora sp. WMMD1129	3016093	S	3	2	5	0.00006
Micromonospora sp. WMMD882	3015151	S	2	0	2	0.00002
Micromonospora sp. WMMA1976	3014995	S	2	5	7	0.00008
Micromonospora sp. USAFONa4	3694152	S	1	2	3	0.00003
Micromonospora sp. IBHARD004	3457764	S	1	1	2	0.00002
Micromonospora sp. WMMD987	3016089	S	1	1	2	0.00002
Micromonospora sp. CA-111912	3239955	S	1	2	3	0.00003
Micromonospora sp. LA-10	3446364	S	1	2	3	0.00003
Micromonospora sp. WMMD812	3015152	S	1	0	1	0.00001
Micromonospora sp. NBC_01796	2975987	S	1	0	1	0.00001
Micromonospora echinospora	1877	S	2	0	2	0.00002
Micromonospora maris	1003110	S	2	1	3	0.00003
Micromonospora globbae	1894969	S	1	0	1	0.00001
Micromonospora echinaurantiaca	47857	S	1	0	1	0.00001
Micromonospora ureilytica	709868	S	1	1	2	0.00002
Micromonospora krabiensis	307121	S	1	0	1	0.00001
Micromonospora narathiwatensis	299146	S	1	0	1	0.00001
Actinoplanes sp. NBC_00393	2975953	S	1	1	2	0.00002
Dactylosporangium fulvum	53359	S	1	0	1	0.00001
Dactylosporangium sp. CA-092794	3239929	S	1	0	1	0.00001
Solwaraspora sp. WMMA2056	3015161	S	1	0	1	0.00001
Solwaraspora sp. WMMD791	3016086	S	1	0	1	0.00001
Streptomyces sp. R-74717	2969820	S	1	0	1	0.00001
Streptomyces sp. NBC_00162	2903629	S	1	1	2	0.00002
Streptomyces sp. NBC_00648	2975797	S	1	1	2	0.00002
Embleya sp. NBC_00888	2975960	S	1	0	1	0.00001
Microbacterium horticulturae	3028316	S	3	0	3	0.00003
Isoptericola halotolerans	300560	S	1	0	1	0.00001
Mycolicibacterium fortuitum	1766	S	1	0	1	0.00001
Mycolicibacterium anyangense	1431246	S	1	0	1	0.00001
Nocardia otitidiscaviarum	1823	S	1	0	1	0.00001
Saccharothrix isguenensis	1816181	S	1	0	1	0.00001
