Name	TaxonomyID	KrakenSpeciesCladeFragments	KrakenSpeciesDirectFragments	BrackenKrakenAssignedFragments	BrackenAddedFragments	BrackenEstimatedFragments	BrackenFraction
Chlorobium limicola	1092	2296	0	2296	14	2310	0.02744
Chlorobium phaeovibrioides	1094	1360	1360	1360	15	1375	0.01634
Chlorobium phaeobacteroides	1096	964	572	964	9	973	0.01156
Pelodictyon luteolum	1100	24	0	24	0	24	0.00029
Chlorobaculum tepidum	1097	697	0	697	12	709	0.00842
Porphyromonas gingivalis	837	1714	1711	1714	76	1790	0.02127
Phocaeicola vulgatus	821	633	633	633	184	817	0.00971
Bacteroides thetaiotaomicron	818	362	362	362	63	425	0.00505
Gemmatimonas aurantiaca	173480	5712	0	5712	11	5723	0.06799
Shewanella baltica	62322	3688	2185	3688	1495	5183	0.06158
Shewanella loihica	359303	261	0	261	87	348	0.00413
Pseudomonas marginalis	298	867	867	867	2722	3589	0.04264
Nitrosomonas europaea	915	2198	2196	2198	1358	3556	0.04225
Paraburkholderia xenovorans	36873	887	0	887	150	1037	0.01232
Bordetella bronchiseptica	518	32	32	32	174	206	0.00245
Leptothrix cholodnii	34029	57	0	57	1	58	0.00069
Ruegeria pomeroyi	89184	49	39	49	0	49	0.00058
Rhodopirellula baltica	265606	4061	0	4061	39	4100	0.04871
Akkermansia muciniphila	239935	578	578	578	6	584	0.00694
Desulfobulbus oralis	1986146	2712	2712	2712	9	2721	0.03233
Geobacter sulfurreducens	35554	417	417	417	96	513	0.00609
Desulfovibrio piger	901	408	408	408	6	414	0.00492
Persephonella marina	309805	2248	0	2248	1	2249	0.02672
Sulfurihydrogenibium sp. YO3AOP1	436114	296	296	296	0	296	0.00352
Hydrogenobaculum sp. Y04AAS1	380749	565	565	565	32	597	0.00709
Treponema denticola	158	349	345	349	148	497	0.0059
Wolinella succinogenes	844	419	419	419	1	420	0.00499
Acidobacterium capsulatum	33075	328	0	328	0	328	0.0039
Dictyoglomus turgidum	513050	100	0	100	1	101	0.0012
Caldicellulosiruptor saccharolyticus	44001	4329	0	4329	3062	7391	0.08781
Caldicellulosiruptor bescii	31899	350	0	350	200	550	0.00653
Caldicellulosiruptor changbaiensis	1222016	24	24	24	13	37	0.00044
Caldicellulosiruptor naganoensis	29324	19	19	19	3	22	0.00026
Caldicellulosiruptor sp. DIB 104C	3019889	18	18	18	17	35	0.00042
Thermoanaerobacter wiegelii	46354	15	0	15	3387	3402	0.04042
Acetivibrio thermocellus	1515	389	349	389	21	410	0.00487
Desulfitobacterium dehalogenans	36854	13	0	13	0	13	0.00015
Enterococcus faecalis	1351	11	11	11	71	82	0.00097
Chloroflexus aurantiacus	1108	1002	0	1002	3	1005	0.01194
Salinispora tropica	168695	247	0	247	27	274	0.00326
Thermotoga petrophila	93929	2462	690	2462	3212	5674	0.06741
Thermotoga neapolitana	2337	2205	0	2205	5651	7856	0.09333
Thermotoga sp. Cell2	1157947	11	11	11	53	64	0.00076
Thermotoga maritima	2336	11	11	11	30	41	0.00049
Deinococcus radiodurans	1299	136	136	136	35	171	0.00203
Fusobacterium nucleatum	851	655	650	655	429	1084	0.01288
Methanocaldococcus jannaschii	2190	5047	0	5047	95	5142	0.06109
Methanococcus maripaludis	39152	949	156	949	10	959	0.01139
Methanothermus sociabilis	2181	2767	2767	2767	1	2768	0.03289
Methanobrevibacter sp. YE315	1609968	15	15	15	18	33	0.00039
Methanobrevibacter millerae	230361	14	14	14	15	29	0.00034
Methanopyrus kandleri	2320	286	0	286	1	287	0.00341
Pyrococcus horikoshii	53953	2060	0	2060	48	2108	0.02504
Halobacterium salinarum	2242	552	240	552	1024	1576	0.01872
Haloferax volcanii	2246	11	3	11	2	13	0.00015
Methanosarcina acetivorans	2214	17	0	17	0	17	0.0002
Methanomethylovorans hollandica	101192	17	0	17	0	17	0.0002
Archaeoglobus fulgidus	2234	320	271	320	0	320	0.0038
Candidatus Aciduliprofundum boonei	379547	13	0	13	0	13	0.00015
Ignicoccus hospitalis	160233	723	0	723	0	723	0.00859
Ignicoccus islandicus	54259	489	0	489	0	489	0.00581
Pyrobaculum calidifontis	181486	415	0	415	0	415	0.00493
Pyrobaculum aerophilum	13773	56	0	56	0	56	0.00067
Sulfurisphaera tokodaii	111955	50	0	50	18	68	0.00081
Homo sapiens	9606	11	11	11	0	11	0.00013
