name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Shewanella baltica	62322	S	837	2710	3547	0.06850
Shewanella loihica	359303	S	38	119	157	0.00303
Pseudomonas marginalis	298	S	84	2138	2222	0.04291
Nitrosomonas europaea	915	S	459	1927	2386	0.04608
Paraburkholderia xenovorans	36873	S	328	389	717	0.01385
Leptothrix cholodnii	34029	S	26	13	39	0.00075
Ruegeria pomeroyi	89184	S	28	4	32	0.00062
Chlorobium limicola	1092	S	1395	75	1470	0.02839
Chlorobium phaeovibrioides	1094	S	698	56	754	0.01456
Chlorobium phaeobacteroides	1096	S	591	37	628	0.01213
Chlorobaculum tepidum	1097	S	356	103	459	0.00886
Porphyromonas gingivalis	837	S	1033	99	1132	0.02186
Phocaeicola vulgatus	821	S	195	361	556	0.01074
Bacteroides thetaiotaomicron	818	S	198	114	312	0.00603
Gemmatimonas aurantiaca	173480	S	3603	158	3761	0.07263
Rhodopirellula baltica	265606	S	2468	296	2764	0.05338
Akkermansia muciniphila	239935	S	328	67	395	0.00763
Desulfobulbus oralis	1986146	S	1687	113	1800	0.03476
Geobacter sulfurreducens	35554	S	135	207	342	0.00660
Desulfovibrio piger	901	S	142	22	164	0.00317
Persephonella marina	309805	S	1399	20	1419	0.02740
Sulfurihydrogenibium sp. YO3AOP1	436114	S	173	6	179	0.00346
Hydrogenobaculum sp. Y04AAS1	380749	S	203	163	366	0.00707
Treponema denticola	158	S	71	229	300	0.00579
Wolinella succinogenes	844	S	259	7	266	0.00514
Acidobacterium capsulatum	33075	S	213	10	223	0.00431
Dictyoglomus turgidum	513050	S	59	2	61	0.00118
Caldicellulosiruptor saccharolyticus	44001	S	1014	3907	4921	0.09503
Caldicellulosiruptor bescii	31899	S	80	260	340	0.00657
Acetivibrio thermocellus	1515	S	237	78	315	0.00608
Chloroflexus aurantiacus	1108	S	644	11	655	0.01265
Salinispora tropica	168695	S	99	41	140	0.00270
Thermotoga petrophila	93929	S	776	3215	3991	0.07707
Thermotoga neapolitana	2337	S	505	4357	4862	0.09389
Deinococcus radiodurans	1299	S	33	67	100	0.00193
Fusobacterium nucleatum	851	S	85	589	674	0.01302
Methanocaldococcus jannaschii	2190	S	2411	723	3134	0.06052
Methanococcus maripaludis	39152	S	509	96	605	0.01168
Methanothermus sociabilis	2181	S	1475	31	1506	0.02908
Methanopyrus kandleri	2320	S	173	14	187	0.00361
Pyrococcus horikoshii	53953	S	1350	79	1429	0.02760
Halobacterium salinarum	2242	S	108	936	1044	0.02016
Methanomethylovorans hollandica	101192	S	13	1	14	0.00027
Archaeoglobus fulgidus	2234	S	212	0	212	0.00409
Candidatus Aciduliprofundum boonei	379547	S	11	0	11	0.00021
Ignicoccus hospitalis	160233	S	478	6	484	0.00935
Ignicoccus islandicus	54259	S	352	3	355	0.00686
Pyrobaculum calidifontis	181486	S	250	4	254	0.00491
Pyrobaculum aerophilum	13773	S	36	0	36	0.00070
Sulfurisphaera tokodaii	111955	S	11	31	42	0.00081
