name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chlorobium limicola	1092	S	2296	14	2310	0.02744
Chlorobium phaeovibrioides	1094	S	1360	15	1375	0.01634
Chlorobium phaeobacteroides	1096	S	964	9	973	0.01156
Pelodictyon luteolum	1100	S	24	0	24	0.00029
Chlorobaculum tepidum	1097	S	697	12	709	0.00842
Porphyromonas gingivalis	837	S	1714	76	1790	0.02127
Phocaeicola vulgatus	821	S	633	184	817	0.00971
Bacteroides thetaiotaomicron	818	S	362	63	425	0.00505
Gemmatimonas aurantiaca	173480	S	5712	11	5723	0.06799
Shewanella baltica	62322	S	3688	1495	5183	0.06158
Shewanella loihica	359303	S	261	87	348	0.00413
Pseudomonas marginalis	298	S	867	2722	3589	0.04264
Nitrosomonas europaea	915	S	2198	1358	3556	0.04225
Paraburkholderia xenovorans	36873	S	887	150	1037	0.01232
Bordetella bronchiseptica	518	S	32	174	206	0.00245
Leptothrix cholodnii	34029	S	57	1	58	0.00069
Ruegeria pomeroyi	89184	S	49	0	49	0.00058
Rhodopirellula baltica	265606	S	4061	39	4100	0.04871
Akkermansia muciniphila	239935	S	578	6	584	0.00694
Desulfobulbus oralis	1986146	S	2712	9	2721	0.03233
Geobacter sulfurreducens	35554	S	417	96	513	0.00609
Desulfovibrio piger	901	S	408	6	414	0.00492
Persephonella marina	309805	S	2248	1	2249	0.02672
Sulfurihydrogenibium sp. YO3AOP1	436114	S	296	0	296	0.00352
Hydrogenobaculum sp. Y04AAS1	380749	S	565	32	597	0.00709
Treponema denticola	158	S	349	148	497	0.00590
Wolinella succinogenes	844	S	419	1	420	0.00499
Acidobacterium capsulatum	33075	S	328	0	328	0.00390
Dictyoglomus turgidum	513050	S	100	1	101	0.00120
Caldicellulosiruptor saccharolyticus	44001	S	4329	3062	7391	0.08781
Caldicellulosiruptor bescii	31899	S	350	200	550	0.00653
Caldicellulosiruptor changbaiensis	1222016	S	24	13	37	0.00044
Caldicellulosiruptor naganoensis	29324	S	19	3	22	0.00026
Caldicellulosiruptor sp. DIB 104C	3019889	S	18	17	35	0.00042
Thermoanaerobacter wiegelii	46354	S	15	3387	3402	0.04042
Acetivibrio thermocellus	1515	S	389	21	410	0.00487
Desulfitobacterium dehalogenans	36854	S	13	0	13	0.00015
Enterococcus faecalis	1351	S	11	71	82	0.00097
Chloroflexus aurantiacus	1108	S	1002	3	1005	0.01194
Salinispora tropica	168695	S	247	27	274	0.00326
Thermotoga petrophila	93929	S	2462	3212	5674	0.06741
Thermotoga neapolitana	2337	S	2205	5651	7856	0.09333
Thermotoga sp. Cell2	1157947	S	11	53	64	0.00076
Thermotoga maritima	2336	S	11	30	41	0.00049
Deinococcus radiodurans	1299	S	136	35	171	0.00203
Fusobacterium nucleatum	851	S	655	429	1084	0.01288
Methanocaldococcus jannaschii	2190	S	5047	95	5142	0.06109
Methanococcus maripaludis	39152	S	949	10	959	0.01139
Methanothermus sociabilis	2181	S	2767	1	2768	0.03289
Methanobrevibacter sp. YE315	1609968	S	15	18	33	0.00039
Methanobrevibacter millerae	230361	S	14	15	29	0.00034
Methanopyrus kandleri	2320	S	286	1	287	0.00341
Pyrococcus horikoshii	53953	S	2060	48	2108	0.02504
Halobacterium salinarum	2242	S	552	1024	1576	0.01872
Haloferax volcanii	2246	S	11	2	13	0.00015
Methanosarcina acetivorans	2214	S	17	0	17	0.00020
Methanomethylovorans hollandica	101192	S	17	0	17	0.00020
Archaeoglobus fulgidus	2234	S	320	0	320	0.00380
Candidatus Aciduliprofundum boonei	379547	S	13	0	13	0.00015
Ignicoccus hospitalis	160233	S	723	0	723	0.00859
Ignicoccus islandicus	54259	S	489	0	489	0.00581
Pyrobaculum calidifontis	181486	S	415	0	415	0.00493
Pyrobaculum aerophilum	13773	S	56	0	56	0.00067
Sulfurisphaera tokodaii	111955	S	50	18	68	0.00081
Homo sapiens	9606	S	11	0	11	0.00013
