BranchID	DatabaseID	ControlID	Confidence	MinimumHitGroups	BrackenReadLength	PrimaryMatrix	HitGroupMatrix
standard8-mock-c000-h2	standard8	mock	0.0	2	150	Yes	No
standard8-human-c000-h2	standard8	human	0.0	2	100	Yes	No
standard8-mock-c005-h2	standard8	mock	0.05	2	150	Yes	No
standard8-human-c005-h2	standard8	human	0.05	2	100	Yes	No
standard8-mock-c010-h2	standard8	mock	0.10	2	150	Yes	No
standard8-human-c010-h2	standard8	human	0.10	2	100	Yes	No
standard8-mock-c020-h2	standard8	mock	0.20	2	150	Yes	No
standard8-human-c020-h2	standard8	human	0.20	2	100	Yes	No
standard8-mock-c050-h2	standard8	mock	0.50	2	150	Yes	No
standard8-human-c050-h2	standard8	human	0.50	2	100	Yes	No
standard16-mock-c000-h2	standard16	mock	0.0	2	150	Yes	No
standard16-human-c000-h2	standard16	human	0.0	2	100	Yes	No
standard16-mock-c005-h2	standard16	mock	0.05	2	150	Yes	No
standard16-human-c005-h2	standard16	human	0.05	2	100	Yes	No
standard16-mock-c010-h2	standard16	mock	0.10	2	150	Yes	Yes
standard16-human-c010-h2	standard16	human	0.10	2	100	Yes	Yes
standard16-mock-c020-h2	standard16	mock	0.20	2	150	Yes	No
standard16-human-c020-h2	standard16	human	0.20	2	100	Yes	No
standard16-mock-c050-h2	standard16	mock	0.50	2	150	Yes	No
standard16-human-c050-h2	standard16	human	0.50	2	100	Yes	No
pluspf8-mock-c000-h2	pluspf8	mock	0.0	2	150	Yes	No
pluspf8-human-c000-h2	pluspf8	human	0.0	2	100	Yes	No
pluspf8-mock-c005-h2	pluspf8	mock	0.05	2	150	Yes	No
pluspf8-human-c005-h2	pluspf8	human	0.05	2	100	Yes	No
pluspf8-mock-c010-h2	pluspf8	mock	0.10	2	150	Yes	No
pluspf8-human-c010-h2	pluspf8	human	0.10	2	100	Yes	No
pluspf8-mock-c020-h2	pluspf8	mock	0.20	2	150	Yes	No
pluspf8-human-c020-h2	pluspf8	human	0.20	2	100	Yes	No
pluspf8-mock-c050-h2	pluspf8	mock	0.50	2	150	Yes	No
pluspf8-human-c050-h2	pluspf8	human	0.50	2	100	Yes	No
standard16-mock-c010-h1	standard16	mock	0.10	1	150	No	Yes
standard16-human-c010-h1	standard16	human	0.10	1	100	No	Yes
standard16-mock-c010-h3	standard16	mock	0.10	3	150	No	Yes
standard16-human-c010-h3	standard16	human	0.10	3	100	No	Yes
standard16-mock-c010-h4	standard16	mock	0.10	4	150	No	Yes
standard16-human-c010-h4	standard16	human	0.10	4	100	No	Yes
