BranchID	DatabaseID	ControlID	Confidence	MinimumHitGroups	BrackenReadLength	PrimaryMatrix	HitGroupMatrix	InputFragments	ClassifiedFragments	UnclassifiedFragments	ClassifiedFraction	SpeciesResolvedFragments	SpeciesResolvedFraction	DetectedSpecies	BrackenSpecies	BrackenEstimatedFragments	BrackenOutcome	HumanCladeFragments	HumanCompatibleAncestorFragments
standard8-mock-c000-h2	standard8	mock	0.0	2	150	Yes	No	99991	86373	13618	0.8638077426968427	60266	0.6027142442819854	214	65	84147	estimated	11	48
standard8-human-c000-h2	standard8	human	0.0	2	100	Yes	No	20000	15356	4644	0.7678	9632	0.4816	3	2	15353	estimated	6296	5723
standard8-mock-c005-h2	standard8	mock	0.05	2	150	Yes	No	99991	59300	40691	0.5930533748037323	30217	0.3021971977477973	62	51	55529	estimated	0	212
standard8-human-c005-h2	standard8	human	0.05	2	100	Yes	No	20000	10683	9317	0.53415	43	0.00215	2	1	10682	estimated	42	10640
standard8-mock-c010-h2	standard8	mock	0.10	2	150	Yes	No	99991	13548	86443	0.13549219429748677	5754	0.05754517906611595	51	41	11997	estimated	0	110
standard8-human-c010-h2	standard8	human	0.10	2	100	Yes	No	20000	1010	18990	0.0505	13	0.00065	1	1	1010	estimated	13	997
standard8-mock-c020-h2	standard8	mock	0.20	2	150	Yes	No	99991	55	99936	0.000550049504455401	16	0.00016001440129611666	11	0	0	no_eligible_species_above_threshold	0	0
standard8-human-c020-h2	standard8	human	0.20	2	100	Yes	No	20000	5	19995	0.00025	3	0.00015	1	0	0	no_eligible_species_above_threshold	3	2
standard8-mock-c050-h2	standard8	mock	0.50	2	150	Yes	No	99991	0	99991	0.0	0	0.0	0	0	0	no_eligible_species_above_threshold	0	0
standard8-human-c050-h2	standard8	human	0.50	2	100	Yes	No	20000	0	20000	0.0	0	0.0	0	0	0	no_eligible_species_above_threshold	0	0
standard16-mock-c000-h2	standard16	mock	0.0	2	150	Yes	No	99991	90834	9157	0.9084217579582162	67047	0.6705303477312958	266	74	88444	estimated	12	41
standard16-human-c000-h2	standard16	human	0.0	2	100	Yes	No	20000	19522	478	0.9761	15837	0.79185	7	2	19515	estimated	14497	3684
standard16-mock-c005-h2	standard16	mock	0.05	2	150	Yes	No	99991	87268	12723	0.8727585482693443	51131	0.5113560220419838	75	54	81698	estimated	1	138
standard16-human-c005-h2	standard16	human	0.05	2	100	Yes	No	20000	17966	2034	0.8983	1927	0.09635	2	1	17965	estimated	1926	16039
