Category	CheckID	Status	Detail
contract	sha256-kraken.yml	PASS	51e81b16c47386ac58982445f686466b193999269ab9aef42342e15758a0c9af
contract	sha256-kraken-linux-64.lock	PASS	7ea37cd9e01dee9d6091ca42c0da7e514b637090be9e3f3362e98a0ef8b0789e
contract	sha256-run-summary.json	PASS	f6dcc51b6535247de7f370dc2334994dd85dca61d3f86d252294127faa3460fe
contract	sha256-run-summary.json	PASS	0a9899f953e131fce652df5e6975c4ffcaa15c5d15b772d27f2f30b2a5d04c5a
contract	sha256-16-standard8-files.md5	PASS	8691836fe757e975828ce709d6ff0cee668102f76421d27235a762adf3844ba7
contract	sha256-17-source-manifest.tsv	PASS	8c21bc44c8521f2eaf2a70109b779f989a0534e7a53459d46d4750444e0269f4
contract	sha256-17-standard16-files.md5	PASS	0cf5fadc553124c0a893901a783ec6ea541b141b950144c0f956417cb2bfa531
contract	sha256-17-pluspf8-files.md5	PASS	e53903f879dcc0faac6b46516578e014e9d954f0b740be1e938b86ed34216ee9
contract	sha256-17-database-manifest.tsv	PASS	ac55c8c7fa9cd1b0adfc971eaecf83b4fded9827bd3c65cdf75636921de057e1
contract	sha256-17-mock1-truth.tsv	PASS	35354d36ebc966915ad8866eb803a6f066a2777abfb548ae8855c274f837341a
contract	sha256-17-ncbi-genome-snapshot.jsonl	PASS	67cca077df50b81c2435a416f99eec4829f1a05e2cee8ec49cf85fec94bbc364
contract	sha256-17-ncbi-sequence-snapshot.jsonl	PASS	f6cc020a858f2def09df94ea386b99e4ad5a9ec4bd1356169c571e32b34f1f47
contract	sha256-17-truth-provenance.tsv	PASS	ba20c4f09cba0054802f6416d98e0c4c16e6afc4a41a4efe4a8bdcfa0320c691
contract	sha256-17-data-NOTICE.txt	PASS	68226212f22a1004150d23c7b0eb4ad693fe8f8641f450c56604016180a0670f
source	four-mate-rows	PASS	4
source	two-control-identities	PASS	['ERR194147', 'ERR9765746']
source	bracken-read-length-contract	PASS	[('human_method_control', '100'), ('mock_truth', '150')]
database	three-database-rows	PASS	3
database	same-release	PASS	['PlusPF-8-20260626', 'Standard-16-20260626', 'Standard-8-20260626']
database	database-identities	PASS	['kraken2-pluspf8-20260626', 'kraken2-standard16-20260626', 'kraken2-standard8-20260626']
database	archive-Standard-8-20260626	PASS	5946578575;7685f43cce057c2ca18511c925399b72
database	installed-Standard-8-20260626	PASS	8638898739;VERIFIED_UPSTREAM_AND_LOCAL
database	archive-Standard-16-20260626	PASS	11995707291;f130daa49fd0befa688330b288a623de
database	installed-Standard-16-20260626	PASS	16636247365;VERIFIED_UPSTREAM_AND_LOCAL
database	archive-PlusPF-8-20260626	PASS	5933654083;79a153b99f045bc2ae95e6d57c17a02d
database	installed-PlusPF-8-20260626	PASS	8643693403;VERIFIED_UPSTREAM_AND_LOCAL
truth	truth-assembly-count	PASS	71
truth	truth-accessions-unique	PASS	71
truth	truth-source-sum-preserved	PASS	100.01215654459679
truth	genome-snapshot-rows	PASS	71
truth	sequence-snapshot-nonempty	PASS	96470
environment	lock-package-count	PASS	187
environment	lock-kraken2	PASS	1
environment	lock-bracken	PASS	1
environment	lock-python	PASS	1
environment	lock-matplotlib-base	PASS	1
environment	lock-pillow	PASS	1
environment	lock-pyyaml	PASS	1
environment	version-kraken2	PASS	2.17.1
environment	version-brackencli	PASS	3.0.1
environment	version-brackenpackage	PASS	3.1p1
environment	version-python	PASS	3.12.13
environment	bracken-cli-package-discrepancy-recorded	PASS	cli=3.0.1;package=3.1p1
source	mock-pairs	PASS	99991
source	mock-pair-id-sha256	PASS	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
source	mock-r1-bytes	PASS	8661319
source	mock-r1-bases	PASS	14974589
source	mock-r1-sha256	PASS	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101
source	mock-r2-bytes	PASS	10045722
source	mock-r2-bases	PASS	14835184
source	mock-r2-sha256	PASS	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459
source	human-pairs	PASS	20000
source	human-pair-id-sha256	PASS	f6006da01154f735c5d80dce94be41711c58e33fd1c0b4290c7fbe734a8b9a18
source	human-r1-bytes	PASS	1202366
source	human-r1-bases	PASS	2020000
source	human-r1-sha256	PASS	906a7ed253f496e29847a826e426201e6310b0980070d8664d1b58f57ddf8c8e
source	human-r2-bytes	PASS	1240150
source	human-r2-bases	PASS	2020000
source	human-r2-sha256	PASS	5686d2a6080b8b9103854885d2f06507db05ae332faab1fe2d9cd18691f9b60a
design	unique-branches	PASS	36
design	primary-factorial	PASS	30
design	primary-databases	PASS	['pluspf8', 'standard16', 'standard8']
design	primary-controls	PASS	['human', 'mock']
design	primary-confidence-grid	PASS	[0.0, 0.05, 0.1, 0.2, 0.5]
design	primary-hit-groups-fixed	PASS	['2']
design	hit-group-grid	PASS	['1', '2', '3', '4']
design	hit-group-axis-fixed	PASS	Standard-16;confidence=0.10
design	read-length-by-control	PASS	mock=150;human=100
database	standard8-archive-bytes	PASS	5946578575
database	standard8-archive-md5	PASS	7685f43cce057c2ca18511c925399b72
database	standard8-internal-md5	PASS	17
reference	standard8-crosswalk-rows	PASS	Counter({'Exact expected assembly': 62, 'No same-species reference': 6, 'Alternate same-species reference': 3})
reference	standard8-three-status-total	PASS	{'Exact expected assembly': 62, 'No same-species reference': 6, 'Alternate same-species reference': 3}
reference	standard8-abundance-total	PASS	100.01215654459676
reference	standard8-reference-mapping-present	PASS	65
database	standard16-archive-bytes	PASS	11995707291
database	standard16-archive-md5	PASS	f130daa49fd0befa688330b288a623de
database	standard16-internal-md5	PASS	17
reference	standard16-crosswalk-rows	PASS	Counter({'Exact expected assembly': 62, 'No same-species reference': 6, 'Alternate same-species reference': 3})
reference	standard16-three-status-total	PASS	{'Exact expected assembly': 62, 'No same-species reference': 6, 'Alternate same-species reference': 3}
