BranchID	DatabaseID	ControlID	Confidence	MinimumHitGroups	BrackenReadLength	PrimaryMatrix	HitGroupMatrix	Tool	Outcome	WallSeconds	MaxRSSMiB	UserSeconds	SystemSeconds	ExitStatus
standard8-mock-c000-h2	standard8	mock	0.0	2	150	Yes	No	Kraken2	classified	7.5	7946.2109375	2.49	6.64	0
standard8-mock-c000-h2	standard8	mock	0.0	2	150	Yes	No	Bracken	estimated	0.27	24.1640625	0.25	0.01	0
standard8-human-c000-h2	standard8	human	0.0	2	100	Yes	No	Kraken2	classified	6.52	7694.33203125	0.31	6.32	0
standard8-human-c000-h2	standard8	human	0.0	2	100	Yes	No	Bracken	estimated	0.26	23.515625	0.23	0.02	0
standard8-mock-c005-h2	standard8	mock	0.05	2	150	Yes	No	Kraken2	classified	7.39	7944.65625	2.46	6.61	0
standard8-mock-c005-h2	standard8	mock	0.05	2	150	Yes	No	Bracken	estimated	0.26	24.1875	0.24	0.01	0
standard8-human-c005-h2	standard8	human	0.05	2	100	Yes	No	Kraken2	classified	6.49	7692.79296875	0.28	6.32	0
standard8-human-c005-h2	standard8	human	0.05	2	100	Yes	No	Bracken	estimated	0.26	23.515625	0.23	0.02	0
standard8-mock-c010-h2	standard8	mock	0.10	2	150	Yes	No	Kraken2	classified	7.34	7936.4921875	2.47	6.5	0
standard8-mock-c010-h2	standard8	mock	0.10	2	150	Yes	No	Bracken	estimated	0.26	23.625	0.24	0.01	0
standard8-human-c010-h2	standard8	human	0.10	2	100	Yes	No	Kraken2	classified	5.97	7688.06640625	0.3	5.77	0
standard8-human-c010-h2	standard8	human	0.10	2	100	Yes	No	Bracken	estimated	0.26	24.0625	0.24	0.02	0
standard8-mock-c020-h2	standard8	mock	0.20	2	150	Yes	No	Kraken2	classified	7.48	7933.94140625	2.4	6.63	0
standard8-mock-c020-h2	standard8	mock	0.20	2	150	Yes	No	Bracken	no_eligible_species_above_threshold	0.25	23.0625	0.22	0.02	1
standard8-human-c020-h2	standard8	human	0.20	2	100	Yes	No	Kraken2	classified	6.61	7688.296875	0.3	6.41	0
standard8-human-c020-h2	standard8	human	0.20	2	100	Yes	No	Bracken	no_eligible_species_above_threshold	0.25	23.50390625	0.23	0.02	1
standard8-mock-c050-h2	standard8	mock	0.50	2	150	Yes	No	Kraken2	classified	7.37	7908.0546875	2.33	6.56	0
standard8-mock-c050-h2	standard8	mock	0.50	2	150	Yes	No	Bracken	no_eligible_species_above_threshold	0.25	23.0625	0.23	0.02	1
standard8-human-c050-h2	standard8	human	0.50	2	100	Yes	No	Kraken2	classified	6.46	7685.5	0.28	6.3	0
standard8-human-c050-h2	standard8	human	0.50	2	100	Yes	No	Bracken	no_eligible_species_above_threshold	0.26	23.4921875	0.24	0.01	1
standard16-mock-c000-h2	standard16	mock	0.0	2	150	Yes	No	Kraken2	classified	13.92	15585.0703125	2.94	12.94	0
standard16-mock-c000-h2	standard16	mock	0.0	2	150	Yes	No	Bracken	estimated	0.26	23.0625	0.23	0.02	0
standard16-human-c000-h2	standard16	human	0.0	2	100	Yes	No	Kraken2	classified	12.46	15323.8828125	0.33	12.24	0
standard16-human-c000-h2	standard16	human	0.0	2	100	Yes	No	Bracken	estimated	0.33	23.625	0.24	0.03	0
