TruthIndex	ExpectedOrganismGTDBRS207	StrainName	AssemblyAccession	ExpectedGenomePercent	SourceDOI	SupplementaryTable	PublisherXLSXBytes	PublisherXLSXSHA256	NCBIRetrievalDate	NCBIDatasetsVersion	CurrentAccession	PairedRefSeqAccession	NCBITaxID	NCBIOrganismName	NCBIStrain	AssemblyStatus	AssemblyLevel	SequenceReportRows	RefSeqSequenceAccessions	GenBankSequenceAccessions
1	Desulfobulbus oralis	sp. ONRL	GCA_002952055.1	7.350049552255035	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_002952055.1	GCF_002952055.1	1986146	Desulfobulbus oralis	HOT041/ORNL	current	Complete Genome	1	NZ_CP021255.1	CP021255.1
2	Methanothermus fervidus	DSM 2088	GCA_000166095.1	7.183339758983122	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000166095.1	GCF_000166095.1	523846	Methanothermus fervidus DSM 2088	DSM 2088	current	Complete Genome	1	NC_014658.1	CP002278.1
3	Thermotoga petrophila	RKU-1	GCA_000016785.1	6.950263060905706	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000016785.1	GCF_000016785.1	390874	Thermotoga petrophila RKU-1	RKU-1	current	Complete Genome	1	NC_009486.1	CP000702.1
4	Pyrococcus horikoshii	OT3	GCA_000011105.1	5.855518337574474	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000011105.1	GCF_000011105.1	70601	Pyrococcus horikoshii OT3	OT3	current	Complete Genome	1	NC_000961.1	BA000001.2
5	Nitrosomonas europaea	ATCC 19718	GCA_000009145.1	5.683429495108962	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000009145.1	GCF_000009145.1	228410	Nitrosomonas europaea ATCC 19718	ATCC 19718	current	Complete Genome	1	NC_004757.1	AL954747.1
6	Methanocaldococcus jannaschii	DSM 2661	GCA_000091665.1	5.645801351648397	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000091665.1	GCF_000091665.1	243232	Methanocaldococcus jannaschii DSM 2661	DSM 2661	current	Complete Genome	3	NC_000909.1;NC_001732.1;NC_001733.1	L77117.1;L77118.1;L77119.1
7	Desulfovibrio piger	ATCC 29098	GCA_000156375.1	4.387852857703976	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000156375.1	GCF_000156375.1	411464	Desulfovibrio piger ATCC 29098	ATCC 29098	current	Scaffold	47	NZ_DS996351.1;NZ_DS996352.1;NZ_DS996353.1;NZ_DS996354.1;NZ_DS996355.1;NZ_DS996356.1;NZ_DS996357.1;NZ_DS996358.1;NZ_DS996359.1;NZ_DS996360.1;NZ_DS996361.1;NZ_DS996362.1;NZ_DS996363.1;NZ_DS996364.1;NZ_DS996365.1;NZ_DS996366.1;NZ_DS996367.1;NZ_DS996368.1;NZ_DS996369.1;NZ_DS996370.1;NZ_DS996371.1;NZ_DS996372.1;NZ_DS996373.1;NZ_DS996374.1;NZ_DS996375.1;NZ_DS996376.1;NZ_DS996377.1;NZ_DS996378.1;NZ_DS996379.1;NZ_DS996380.1;NZ_DS996381.1;NZ_DS996382.1;NZ_DS996383.1;NZ_DS996384.1;NZ_DS996385.1;NZ_DS996386.1;NZ_DS996387.1;NZ_DS996388.1;NZ_DS996389.1;NZ_DS996390.1;NZ_DS996391.1;NZ_DS996392.1;NZ_DS996393.1;NZ_DS996394.1;NZ_DS996395.1;NZ_DS996396.1;NZ_DS996397.1	DS996351.1;DS996352.1;DS996353.1;DS996354.1;DS996355.1;DS996356.1;DS996357.1;DS996358.1;DS996359.1;DS996360.1;DS996361.1;DS996362.1;DS996363.1;DS996364.1;DS996365.1;DS996366.1;DS996367.1;DS996368.1;DS996369.1;DS996370.1;DS996371.1;DS996372.1;DS996373.1;DS996374.1;DS996375.1;DS996376.1;DS996377.1;DS996378.1;DS996379.1;DS996380.1;DS996381.1;DS996382.1;DS996383.1;DS996384.1;DS996385.1;DS996386.1;DS996387.1;DS996388.1;DS996389.1;DS996390.1;DS996391.1;DS996392.1;DS996393.1;DS996394.1;DS996395.1;DS996396.1;DS996397.1
8	Ignicoccus hospitalis	KIN4/I	GCA_000017945.1	2.8386032717915723	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000017945.1	GCF_000017945.1	453591	Ignicoccus hospitalis KIN4/I	KIN4/I	current	Complete Genome	1	NC_009776.1	CP000816.1
9	Fusobacterium nucleatum subsp. nucleatum	ATCC 25586	GCA_003019295.1	2.8088715465274476	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_003019295.1	GCF_003019295.1	190304	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	ATCC 25586	current	Complete Genome	1	NZ_CP028101.1	CP028101.1
10	Persephonella marina	EX-H1	GCA_000021565.1	2.806237421402552	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000021565.1	GCF_000021565.1	123214	Persephonella marina EX-H1	EX-H1	current	Complete Genome	2	NC_012439.1;NC_012440.1	CP001230.1;CP001231.1
