Species	vJun23RelativeAbundancePct	vJan26RelativeAbundancePct	SelectedByvJun23	SelectedByvJan26	SelectionStatus
s__Caldicellulosiruptor_changbaiensis	8.49282	8.98371	Yes	Yes	Both
s__Chlorobaculum_tepidum	0.0	0.54523	No	Yes	vJan26 only
s__Chlorobium_limicola	2.43298	1.73552	Yes	Yes	Both
s__Chlorobium_phaeobacteroides	0.74294	0.64674	Yes	Yes	Both
s__Chlorobium_phaeovibrioides	2.4416	2.35481	Yes	Yes	Both
s__Chloroflexus_aurantiacus	0.36157	0.09591	Yes	Yes	Both
s__Desulfobulbus_oralis	3.07504	2.90018	Yes	Yes	Both
s__Fusobacterium_nucleatum	1.01038	0.0	Yes	No	vJun23 only
s__Gemmatimonas_aurantiaca	4.3427	4.37132	Yes	Yes	Both
s__Halobacterium_salinarum	1.17646	1.22614	Yes	Yes	Both
s__Herpetosiphon_aurantiacus	2.53898	1.4625	Yes	Yes	Both
s__Hydrogenobaculum_sp_SHO	0.32928	0.0	Yes	No	vJun23 only
s__Hydrogenobaculum_sp_Y04AAS1	0.0	0.78527	No	Yes	vJan26 only
s__Ignicoccus_hospitalis	1.65483	1.68039	Yes	Yes	Both
s__Ignicoccus_islandicus	0.97851	0.99576	Yes	Yes	Both
s__Methanobrevibacter_oralis	4.59619	4.86134	Yes	Yes	Both
s__Methanocaldococcus_jannaschii	10.55665	10.48936	Yes	Yes	Both
s__Methanococcus_maripaludis	0.66739	0.80915	Yes	Yes	Both
s__Methanopyrus_kandleri	0.17625	0.11779	Yes	Yes	Both
s__Methanothermus_fervidus	9.00974	9.16649	Yes	Yes	Both
s__Nanoarchaeum_equitans	2.87508	2.89183	Yes	Yes	Both
s__Nitrosomonas_europaea	3.83757	3.48487	Yes	Yes	Both
s__Persephonella_marina	3.48808	3.56869	Yes	Yes	Both
s__Porphyromonas_gingivalis	1.3125	1.90573	Yes	Yes	Both
s__Pseudomonas_marginalis	0.28093	0.0	Yes	No	vJun23 only
s__Pyrobaculum_calidifontis	0.50215	0.52779	Yes	Yes	Both
s__Pyrococcus_horikoshii	4.39126	4.43493	Yes	Yes	Both
s__Rhodopirellula_baltica	1.03579	1.31188	Yes	Yes	Both
s__Shewanella_baltica	1.49122	0.61025	Yes	Yes	Both
s__Thermoanaerobacter_thermohydrosulfuricus	3.33939	2.69366	Yes	Yes	Both
s__Thermotoga_neapolitana	13.39007	14.51883	Yes	Yes	Both
s__Thermotoga_petrophila	8.84093	10.33244	Yes	Yes	Both
s__Trichormus_variabilis	0.20856	0.07206	Yes	Yes	Both
s__Wolinella_succinogenes	0.42216	0.41939	Yes	Yes	Both
