#mpa_vJun23_CHOCOPhlAnSGB_202403
#/workspace/miniconda3/envs/metagenome-biobakery-2026.07/bin/metaphlan /workspace/wechat/Metagenome/data/raw/article13/ERR9765746_clean_R1.fastq.gz,/workspace/wechat/Metagenome/data/raw/article13/ERR9765746_clean_R2.fastq.gz --input_type fastq --db_dir /workspace/wechat/Metagenome/db/humann-cache/installed/metaphlan-vjun23 --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline --bowtie2_exe /workspace/miniconda3/envs/metagenome-biobakery-2026.07/bin/bowtie2 --mapout /workspace/wechat/Metagenome/data/raw/article19/work/metaphlan/ERR9765746-vJun23.mapout.bz2 --tmp_dir /workspace/wechat/Metagenome/data/raw/article19/work/tmp --nproc 8 --read_min_len 70 --perc_nonzero 0.33 --stat tavg_g --stat_q 0.2 -t rel_ab --sample_id ERR9765746_MOCK1_vJun23 --output_file /workspace/wechat/Metagenome/data/raw/article19/work/metaphlan/ERR9765746-vJun23-profile.tsv
#199929 reads processed
#SampleID	ERR9765746_MOCK1_vJun23
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	0.0	
k__Bacteria	2	63.4155	
k__Archaea	2157	36.5845	
k__Archaea|p__Euryarchaeota	2157|28890	30.57393	
k__Bacteria|p__Thermotogae	2|200918	22.231	
k__Bacteria|p__Firmicutes	2|1239	11.83221	
k__Bacteria|p__Proteobacteria	2|1224	9.10693	
k__Bacteria|p__Chlorobi	2|1090	5.61752	
k__Bacteria|p__Gemmatimonadetes	2|142182	4.3427	
k__Bacteria|p__Aquificae	2|200783	3.81736	
k__Archaea|p__Crenarchaeota	2157|28889	3.13549	
k__Bacteria|p__Chloroflexi	2|200795	2.90055	
k__Archaea|p__Nanoarchaeota	2157|192989	2.87508	
k__Bacteria|p__Bacteroidota	2|976	1.3125	
k__Bacteria|p__Planctomycetota	2|203682	1.03579	
k__Bacteria|p__Fusobacteria	2|32066	1.01038	
k__Bacteria|p__Cyanobacteria	2|1117	0.20856	
k__Bacteria|p__Thermotogae|c__Thermotogae	2|200918|188708	22.231	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	13.60593	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	11.83221	
k__Archaea|p__Euryarchaeota|c__Methanococci	2157|28890|183939	11.22403	
k__Bacteria|p__Chlorobi|c__Chlorobia	2|1090|191410	5.61752	
k__Archaea|p__Euryarchaeota|c__Thermococci	2157|28890|183968	4.39126	
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	2|142182|219685	4.3427	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.83757	
k__Bacteria|p__Aquificae|c__Aquificae	2|200783|187857	3.81736	
k__Archaea|p__Crenarchaeota|c__Thermoprotei	2157|28889|183924	3.13549	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	3.07504	
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	2.90055	
k__Archaea|p__Nanoarchaeota|c__Candidatus_Nanoarchaeia	2157|192989|2885752	2.87508	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.77215	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	1.3125	
k__Archaea|p__Euryarchaeota|c__Halobacteria	2157|28890|183963	1.17646	
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	1.03579	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	1.01038	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.42216	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.20856	
k__Archaea|p__Euryarchaeota|c__Methanopyri	2157|28890|183988	0.17625	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	2|200918|188708|2419	22.231	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	13.60593	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	2|1239|186801|68295	11.83221	
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	2157|28890|183939|2182	11.22403	
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	2|1090|191410|191411	5.61752	
k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales	2157|28890|183968|2258	4.39126	
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	2|142182|219685|219686	4.3427	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	3.83757	
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	2|200783|187857|32069	3.81736	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	2|1224|28221|213118	3.07504	
k__Archaea|p__Nanoarchaeota|c__Candidatus_Nanoarchaeia|o__Nanoarchaeales	2157|192989|2885752|1890940	2.87508	
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	2157|28889|183924|114380	2.63334	
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Herpetosiphonales	2|200795|32061|189772	2.53898	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	1.49122	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.3125	
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	2157|28890|183963|2235	1.17646	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales	2|203682|203683|2691354	1.03579	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	1.01038	
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	2157|28889|183924|2266	0.50215	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.42216	
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.36157	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.28093	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Nostocales	2|1117||1161	0.20856	
k__Archaea|p__Euryarchaeota|c__Methanopyri|o__Methanopyrales	2157|28890|183988|68985	0.17625	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae	2|200918|188708|2419|188709	22.231	
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	2157|28890|183939|2182|196117	10.55665	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae	2157|28890|183925|2158|2178	9.00974	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III_Incertae_Sedis	2|1239|186801|68295|543371	8.49282	
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae	2|1090|191410|191411|191412	5.61752	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	4.59619	
k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae	2157|28890|183968|2258|2259	4.39126	
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	2|142182|219685|219686|219687	4.3427	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	2|1224|28216|32003|206379	3.83757	
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae	2|200783|187857|32069|224027	3.48808	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae	2|1239|186801|68295|186814	3.33939	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae	2|1224|28221|213118|213121	3.07504	
k__Archaea|p__Nanoarchaeota|c__Candidatus_Nanoarchaeia|o__Nanoarchaeales|f__Nanoarchaeaceae	2157|192989|2885752|1890940|1890941	2.87508	
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	2157|28889|183924|114380|2272	2.63334	
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Herpetosiphonales|f__Herpetosiphonaceae	2|200795|32061|189772|189773	2.53898	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae	2|1224|1236|135622|267890	1.49122	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	1.3125	
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	2157|28890|183963|2235|2236	1.17646	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae	2|203682|203683|2691354|2691357	1.03579	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2|32066|203490|203491|203492	1.01038	
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae	2157|28890|183939|2182|2183	0.66739	
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	2157|28889|183924|2266|2267	0.50215	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	0.42216	
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae	2|200795|32061|32064|1106	0.36157	
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae	2|200783|187857|32069|64898	0.32928	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	0.28093	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Nostocales|f__Nostocaceae	2|1117||1161|1162	0.20856	
k__Archaea|p__Euryarchaeota|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae	2157|28890|183988|68985|183713	0.17625	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga	2|200918|188708|2419|188709|2335	22.231	
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus	2157|28890|183939|2182|196117|196118	10.55665	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus	2157|28890|183925|2158|2178|2179	9.00974	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III_Incertae_Sedis|g__Caldicellulosiruptor	2|1239|186801|68295|543371|44000	8.49282	
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium	2|1090|191410|191411|191412|1091	5.61752	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	4.59619	
k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Pyrococcus	2157|28890|183968|2258|2259|2260	4.39126	
