sample	hotspring	hotspring_common_name	region	broad_region_short	latitude	longitude	date	year	pH	temperature	conductivity	temperature_regime	type	sequencing_platform	metagenome_SRR	metagenome_SAMN	raw_Nsequences	filtered_Nsequences	metagenome2MAG_read_recruitment_rate
AA01.0.1	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678616	-118.34823	2020.08.10	2020	8.073703704	56	2.46	50_70	mat	Illumina NextSeq2000	SRR32625429	SAMN47273168	9158678	4419184	0.120335
AA01.0.2	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678546	-118.34828	2020.08.10	2020	8.073703704	56.6	2.45	50_70	mat	Illumina NextSeq2000	SRR32625428	SAMN47273169	6271623	2977643	0.12474
AA01.0.3	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678507	-118.34825	2020.08.10	2020	8.073703704	56	2.43	50_70	mat	Illumina NextSeq2000	SRR32625386	SAMN47273170	1966308	1003882	0.100645
AA01.0.4	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678495	-118.34818	2020.08.10	2020	9.222962963	33	2.7	30_50	mat	Illumina NextSeq2000	SRR32625375	SAMN47273171	5791686	2642426	0.041955
AA01.0.5	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678546	-118.34818	2020.08.10	2020	8.030740741	57	2.47	50_70	mat	Illumina NextSeq2000	SRR32625265	SAMN47273172	1608711	640852	0.19925
AA01.1.1	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678551	-118.34823	2021.09.11	2021	8.41	41.4		30_50	mat	Illumina NextSeq2000	SRR32625300	SAMN47273297	1485423	722556	0.156385
AA01.1.2	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678527	-118.34823	2021.09.11	2021	8.11	52.5	2.96	50_70	mat	Illumina NextSeq2000	SRR32625299	SAMN47273298	1644625	803033	0.125235
AA01.1.3	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.67852	-118.34825	2021.09.11	2021	8.16	51.3	2.96	50_70	mat	Illumina NextSeq2000	SRR32625365	SAMN47273299	12748284	6593383	0.116605
AA01.1.5	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678583	-118.3482	2021.09.11	2021	9.36	35.4		30_50	mat	Illumina NextSeq2000	SRR32625364	SAMN47273301	14549657	7066780	0.087985
AA01.1.6	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678586	-118.34824	2021.09.11	2021	9.27	31.9		30_50	mat	Illumina NextSeq2000	SRR32625363	SAMN47273302	11583276	5772200	0.12155
AA01.2.1	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678598	-118.34824	2022.07.31	2022	8.31	49.2	2.86	30_50	mat	Illumina NovaSeq X Plus	SRR32675032	SAMN47273668	29387632	20403518	0.103675
AA01.2.2	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678562	-118.34814	2022.07.31	2022	8.09	52.7	2.86	50_70	mat	Illumina NovaSeq X Plus	SRR32675031	SAMN47273669	39022828	26643926	0.09624
AA01.2.3	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678534	-118.34809	2022.07.31	2022	8.11	52	2.84	50_70	mat	Illumina NovaSeq X Plus	SRR32674856	SAMN47273670	35071660	23964557	0.0937
AA01.2.4	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678505	-118.34819	2022.07.31	2022	8.08	53.3	2.86	50_70	mat	Illumina NovaSeq X Plus	SRR32674809	SAMN47273671	34804604	22751828	0.11141
AA01.2.5	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678471	-118.34823	2022.07.31	2022	8.22	48.8	2.68	30_50	mat	Illumina NovaSeq X Plus	SRR32674889	SAMN47273672	1305020	907671	0.07849
AA01.2.6	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.67852	-118.34828	2022.07.31	2022	8.1	51.5	2.87	50_70	filament	Illumina NovaSeq X Plus	SRR32674878	SAMN47273673	36105504	24995544	0.151605
AA01.3.1	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678523	-118.34822	2023.09.10	2023	8.27	52.4	2.84	50_70	mat	Illumina NovaSeq X Plus	SRR32675001	SAMN47273809	37559487	26987100	0.112395
AA01.3.2	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678616	-118.3482	2023.09.10	2023	8.26	51.9	2.85	50_70	mat	Illumina NovaSeq X Plus	SRR32675000	SAMN47273810	24757295	17094383	0.11091
AA01.3.3	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678549	-118.3483	2023.09.10	2023	8.33	51	2.85	50_70	mat	Illumina NovaSeq X Plus	SRR32674999	SAMN47273811	28564015	20522004	0.13482
AA01.3.4	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678505	-118.34811	2023.09.10	2023	8.36	48.1	2.97	30_50	mat	Illumina NovaSeq X Plus	SRR32674998	SAMN47273812	84182	54775	0.1195709722
AA01.3.5	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678573	-118.34807	2023.09.10	2023	8.24	52.5	2.84	50_70	mat	Illumina NovaSeq X Plus	SRR32674996	SAMN47273813	26167250	17661320	0.11777
AA01.3.6	AA01	Mickey Hot Springs	Alvord Desert	ALV	42.678647	-118.34813	2023.09.10	2023	9.15	36.1	2.92	30_50	mat	Illumina NovaSeq X Plus	SRR32674995	SAMN47273814	23387512	15154316	0.114365
AA03.0.3	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677505	-118.34706	2020.08.10	2020	8.363703704	71	2.55	70_80	sediment	Illumina NextSeq2000	SRR32625254	SAMN47273175	891513	393373	0.17992
AA03.0.4	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677471	-118.34694	2020.08.10	2020	8.44962963	55.1	2.46	50_70	mat	Illumina NextSeq2000	SRR32625243	SAMN47273176	13812310	6872690	0.091605
AA03.0.5	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677418	-118.3469	2020.08.10	2020	9.222962963	37	2.56	30_50	mat	Illumina NextSeq2000	SRR32625328	SAMN47273177	1961480	839045	0.053505
AA03.1.2	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677608	-118.34692	2021.09.11	2021	8.94	41.5		30_50	mat	Illumina NextSeq2000	SRR32625426	SAMN47273304	8248535	4106019	0.18992
AA03.1.3	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677554	-118.34711	2021.09.11	2021	7.92	62.2	2.98	50_70	mat	Illumina NextSeq2000	SRR32625425	SAMN47273305	1814673	883165	0.09961
AA03.1.4	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677505	-118.34711	2021.09.11	2021	8.17	45.5		30_50	mat	Illumina NextSeq2000	SRR32625424	SAMN47273306	1656474	818639	0.159855
AA03.1.5	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677391	-118.34688	2021.09.11	2021	8.42	65.5	3.01	50_70	mat	Illumina NextSeq2000	SRR32625423	SAMN47273307	12300576	6181192	0.082825
AA03.1.6	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677338	-118.34688	2021.09.11	2021	8.9	28.1		below_30	mat	Illumina NextSeq2000	SRR32625422	SAMN47273308	9893671	4803852	0.14917
AA03.1.7	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677304	-118.34675	2021.09.11	2021	8.57	60.3	2.97	50_70	mat	Illumina NextSeq2000	SRR32625421	SAMN47273309	1466175	703151	0.118725
AA03.1.8	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677286	-118.3468	2021.09.11	2021	9.02	29.2		below_30	mat	Illumina NextSeq2000	SRR32625420	SAMN47273310	7061063	3486732	0.097865
AA03.2.1	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677522	-118.34698	2022.07.31	2022	8.1	92.8	2.95	80_100	mat	Illumina NovaSeq X Plus	SRR32674754	SAMN47273674	33574054	21768662	0.11752
AA03.2.2	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.6775	-118.34697	2022.07.31	2022	6.53	63	1.777	50_70	mat	Illumina NovaSeq X Plus	SRR32674743	SAMN47273675	40438964	28328521	0.136065
AA03.2.3	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677504	-118.34711	2022.07.31	2022	6.66	45.3	2.88	30_50	mat	Illumina NovaSeq X Plus	SRR32674732	SAMN47273676	41995118	29076921	0.139895
AA03.2.4	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.67747	-118.34709	2022.07.31	2022	7.76	45.4	2.88	30_50	mat	Illumina NovaSeq X Plus	SRR32674802	SAMN47273677	50822061	37389256	0.174675
AA03.2.5	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.67738	-118.34708	2022.07.31	2022	8.35	67.7	2.85	50_70	mat	Illumina NovaSeq X Plus	SRR32675030	SAMN47273678	36353037	24172730	0.089475
AA03.2.6	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677252	-118.34679	2022.07.31	2022	8.32	35.4		30_50	mat	Illumina NovaSeq X Plus	SRR32675019	SAMN47273679	39389574	27257011	0.194865
AA03.2.7	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677229	-118.34677	2022.07.31	2022	8.56	54.5	2.87	50_70	mat_and_filaments	Illumina NovaSeq X Plus	SRR32675008	SAMN47273680	36265302	24962180	0.09992
AA03.3.1	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677455	-118.34698	2023.09.10	2023	8.76	71.9		70_80	mat	Illumina NovaSeq X Plus	SRR32674994	SAMN47273815	28915225	19493161	0.141435
AA03.3.2	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677526	-118.34707	2023.09.10	2023	8.46	70.8		70_80	mat	Illumina NovaSeq X Plus	SRR32674993	SAMN47273816	35769826	24319296	0.119405
AA03.3.3	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677465	-118.34712	2023.09.10	2023	8.52	66.9	2.9	50_70	mat	Illumina NovaSeq X Plus	SRR32674992	SAMN47273817	31441460	21158313	0.155885
AA03.3.4	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677563	-118.34707	2023.09.10	2023	8.7	71.7	2.58	70_80	mat	Illumina NovaSeq X Plus	SRR32674991	SAMN47273818	28414389	19446940	0.111825
AA03.3.5	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.67744	-118.3469	2023.09.10	2023	8.54	64.4	2.9	50_70	mat	Illumina NovaSeq X Plus	SRR32674990	SAMN47273819	40357774	26385216	0.099465
AA03.3.6	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677256	-118.34673	2023.09.10	2023	8.68	56.7	2.87	50_70	mat	Illumina NovaSeq X Plus	SRR32674989	SAMN47273820	48410407	31575396	0.108045
AA03.3.7	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677181	-118.34657	2023.09.10	2023	8.7	57	2.89	50_70	mat	Illumina NovaSeq X Plus	SRR32674988	SAMN47273821	34348664	23227704	0.120705
AB02.0.1	AB02		Borax Lake	ALV	42.332716	-118.60307	2020.08.11	2020	6.717	76.9	1.96	70_80	sediment	Illumina NextSeq2000	SRR32625317	SAMN47273179	8221016	3019743	0.08262
