Parameter	PrimaryValue	Role
Inference unit	Hot spring (n=56)	Primary
Primary aggregation	Equal mean of sample-relative MAG profiles, then closure	Primary
Primary distance	Bray-Curtis	Primary
Primary formula order	BroadRegion + scale(MedianPH) + TemperatureRegime	Primary
Primary sums of squares	Marginal (by=margin)	Primary
Primary target term	TemperatureRegime	Primary
Permutation blocks	Permute springs within BroadRegion only	Primary
Primary permutations	9999 unique non-identity unit permutations	Primary
Seed	20260723	Primary
PCoA correction	Lingoes	Primary
Partial CAP formula	TemperatureRegime + scale(MedianPH) + Condition(BroadRegion)	Primary
Dispersion test	Spatial median; bias.adjust=TRUE; same restricted matrix	Primary
Pairwise estimability	At least two BroadRegions contain both contrast groups	Primary
Pairwise permutations	All non-identity label allocations if <9999; otherwise 9999 unique	Primary
Pairwise multiplicity	Holm across six estimable contrasts	Primary
Alpha	0.05	Primary
Prevalence sensitivity	MAG presence in at least 10% of springs (>=6/56)	Sensitivity
Aggregation sensitivity	Estimated catalog-read weights = filtered sequences x recruitment	Sensitivity
Distance sensitivity	Binary Jaccard	Sensitivity
Covariate sensitivity	Remove pH; add conductivity in 54-spring complete cases	Sensitivity
