Item	Value
package_version	3.12.0
bioconductor_release	3.19
package_git_commit	c5711e9
package_snapshot_samples	22588
package_snapshot_studies	93
metadata_columns	141
globally_colliding_sample_ids	177
resource_titles	732
resource_types	6
study_type_snapshots	732
study_type_latest_resources	558
study_type_pairs_with_two_releases	174
query_studies	AsnicarF_2017 | HMP_2012 | ZellerG_2014
query_body_site	stool
subject_selection_rule	highest finite number_reads within study x subject; lexical sample_id tie-break
query_stool_profiles	319
query_independent_units	261
merge_function	curatedMetagenomicData::mergeData
merge_assay	relative_abundance
merge_unit	percent
seed	20260725
paper_collection_samples	22710
paper_collection_cohorts	94
paper_only_addition	HeQ_2017: 122 samples used in the paper but absent from the package snapshot
