Context	Field	Complete	Total	Completeness
Package snapshot	subject_id	22588	22588	1
Package snapshot	body_site	22588	22588	1
Package snapshot	study_condition	22563	22588	0.998893217637684
Package snapshot	disease	22588	22588	1
Package snapshot	age	13553	22588	0.600008854258898
Package snapshot	gender	20016	22588	0.886134230564902
Package snapshot	country	22588	22588	1
Package snapshot	number_reads	20592	22588	0.911634496192669
Package snapshot	NCBI_accession	17968	22588	0.795466619443953
Package snapshot	sequencing_platform	22423	22588	0.992695236408713
Package snapshot	antibiotics_current_use	14699	22588	0.650743757747477
Package snapshot	days_from_first_collection	8261	22588	0.36572516380379
Three named studies	subject_id	928	928	1
Three named studies	body_site	928	928	1
Three named studies	study_condition	928	928	1
Three named studies	disease	928	928	1
Three named studies	age	912	928	0.982758620689655
Three named studies	gender	928	928	1
Three named studies	country	928	928	1
Three named studies	number_reads	928	928	1
Three named studies	NCBI_accession	928	928	1
Three named studies	sequencing_platform	928	928	1
Three named studies	antibiotics_current_use	0	928	0
Three named studies	days_from_first_collection	0	928	0
Selected stool profiles	subject_id	319	319	1
Selected stool profiles	body_site	319	319	1
Selected stool profiles	study_condition	319	319	1
Selected stool profiles	disease	319	319	1
Selected stool profiles	age	311	319	0.974921630094044
Selected stool profiles	gender	319	319	1
Selected stool profiles	country	319	319	1
Selected stool profiles	number_reads	319	319	1
Selected stool profiles	NCBI_accession	319	319	1
Selected stool profiles	sequencing_platform	319	319	1
Selected stool profiles	antibiotics_current_use	0	319	0
Selected stool profiles	days_from_first_collection	0	319	0
