Feature	Species	Samples	NonzeroSamples	NonzeroPrevalence	SamplesAtOrAbove0.01Pct	PrevalenceAtOrAbove0.01Pct	MaximumRelativeAbundance
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii	114	114	1	110	0.964912280701754	0.3032443
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	Bacteroides uniformis	114	114	1	112	0.982456140350877	0.29043
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	Bacteroides vulgatus	114	113	0.991228070175439	109	0.956140350877193	0.2579812
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	Anaerostipes hadrus	114	108	0.947368421052632	106	0.929824561403509	0.2864681
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	Parabacteroides distasonis	114	108	0.947368421052632	108	0.947368421052632	0.1395183
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	Blautia obeum	114	108	0.947368421052632	104	0.912280701754386	0.0870726
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	Ruthenibacterium lactatiformans	114	107	0.93859649122807	97	0.850877192982456	0.0331904
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	Blautia wexlerae	114	106	0.929824561403509	95	0.833333333333333	0.0937731
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	Roseburia inulinivorans	114	105	0.921052631578947	104	0.912280701754386	0.2031149
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	Eubacterium hallii	114	105	0.921052631578947	101	0.885964912280702	0.1075266
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	Ruminococcus bromii	114	103	0.903508771929825	93	0.815789473684211	0.3642661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	Eubacterium rectale	114	103	0.903508771929825	92	0.807017543859649	0.1659688
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	Dorea longicatena	114	103	0.903508771929825	99	0.868421052631579	0.0909688
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	Fusicatenibacter saccharivorans	114	103	0.903508771929825	101	0.885964912280702	0.0680929
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	Odoribacter splanchnicus	114	103	0.903508771929825	99	0.868421052631579	0.0559917
