StepType	Branch	Sample	UserSeconds	SystemSeconds	WallSeconds	PeakRSSKiB	ExitStatus
Read QC	fastp	MOCK1	159.8	2.76	85.02	1619552	0
Read QC	fastp	MOCK2	156.33	2.19	84.22	1618500	0
Assembly	megahit-single-MOCK1		14418.05	79.52	1099.05	778808	0
Indexing	megahit-single-MOCK1		492.93	2.23	38.22	415572	0
Assembly	megahit-single-MOCK2		14895.66	80.52	1119.58	789776	0
Indexing	megahit-single-MOCK2		490.79	2.07	37.54	386372	0
Assembly	megahit-coassembly		21727.97	131.57	1649.6	1507064	0
Indexing	megahit-coassembly		768.81	2.97	58.73	579196	0
Assembly	metaspades-single-MOCK1		5050.13	111.59	548.9	9043200	0
Indexing	metaspades-single-MOCK1		686.21	2.9	53.5	648252	0
Assembly	metaspades-single-MOCK2		5225.08	114.21	566.06	9021888	0
Indexing	metaspades-single-MOCK2		701.16	3.02	54.4	616648	0
Assembly	metaspades-coassembly		9228.53	178.88	994.44	9186612	0
Indexing	metaspades-coassembly		940.9	3.91	73.38	697204	0
Read mapping	megahit-coassembly	MOCK1	974.69	2.99	59.52	416264	0
Read mapping	megahit-single-MOCK1	MOCK1	860.23	2.61	52.22	375696	0
Read mapping	metaspades-coassembly	MOCK1	1007.18	3.58	61.8	478292	0
Read mapping	metaspades-single-MOCK1	MOCK1	979.3	3.39	60.04	439244	0
Read mapping	megahit-coassembly	MOCK2	942.3	3.13	57.23	417412	0
Read mapping	megahit-single-MOCK2	MOCK2	856.0	2.65	51.89	372820	0
Read mapping	metaspades-coassembly	MOCK2	988.25	3.65	60.54	476956	0
Read mapping	metaspades-single-MOCK2	MOCK2	907.15	2.93	55.36	435904	0
