Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	N50	N90	auN	L50	L90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NA90	auNA	LA50	LA90
spades-short-only	20647	20647	4429	2189	810	384	141314393	141314393	108024426	92428972	71579595	56841018	20647	1630363	141314393	239414479	26020	2041	139521.1	774	10570	192	187	10110923	91	15	274	0	71 + 94 part	192990	59.717	1.003	92.95	73.69	7.58	1630363	140794966	25703	1995	130196.5	809	10775
spades-short-only_broken	27001	22047	4355	2016	759	371	141183046	138420342	102043380	85764357	66992041	53584237	22047	1630363	138420342	239414479	22015	1913	132762.8	854	11889	170	166	8935311	83	0	0	0	45 + 45 part	122124	58.690	1.003	0.00	71.16	3.41	1630363	138104890	21821	1882	124484.5	887	12061
spades-illumina-ont	11064	11064	4363	2439	936	426	159368905	159368905	143900848	130321833	107152100	89622626	11064	4637260	159368905	239414479	72626	5152	606935.5	259	4271	370	280	48720564	122	12	358	3	1075 + 225 part	4607758	64.653	1.010	180.34	163.70	97.21	3239829	154307853	65930	4096	380905.3	328	4804
spades-illumina-ont_broken	13333	11873	4585	2514	966	451	159081495	158336020	141419870	126772772	103003510	85349513	11873	4637260	158336020	239414479	62110	4716	424807.0	340	4808	323	266	36147424	117	0	0	4	1086 + 187 part	4554582	64.366	1.012	0.00	161.19	96.22	3147103	153643142	57815	3817	307909.2	394	5290
spades-illumina-hifi	9751	9751	4425	2760	1158	489	168451875	168451875	155823310	143970251	118750195	95752733	9751	5489345	168451875	239414479	72242	6612	769198.7	296	3694	517	396	58798081	128	8	484	2	234 + 144 part	1084857	69.266	1.021	512.72	142.46	11.82	3238920	166312291	65182	5714	426918.1	370	4155
spades-illumina-hifi_broken	11816	10728	4597	2777	1148	481	167588188	166997057	152503510	139531900	113957685	90881428	10728	5353818	166997057	239414479	62786	5783	591164.3	350	4187	458	369	46756577	126	0	0	2	231 + 133 part	1069010	68.950	1.020	0.00	135.41	10.68	3147103	165749724	57740	5319	358414.1	415	4504
flye-ont	2423	2423	2239	1793	894	402	143770812	143770812	143102816	139758483	125246936	108116467	2423	7136817	143770812	239414479	441240	20262	1291481.1	47	1080	343	149	66235760	95	0	0	25	876 + 400 part	21062809	51.572	1.018	0.00	370.94	839.52	4357351	122160981	194794	-	708933.8	108	-
flye-ont-polypolish-default	2423	2423	2239	1792	895	402	143898052	143898052	143229999	139876484	125406044	108259749	2423	7146565	143898052	239414479	440931	20256	1294953.4	47	1079	350	160	66651205	109	0	0	17	717 + 390 part	16694156	53.149	1.019	0.00	296.44	481.12	4361376	126638101	198296	-	711726.4	107	-
flye-ont-polypolish-careful	2423	2423	2239	1792	894	402	143893598	143893598	143225524	139871902	125376154	108254809	2423	7146324	143893598	239414479	440979	20252	1294836.6	47	1079	345	157	66520128	105	0	0	16	730 + 389 part	16941134	53.066	1.018	0.00	301.49	503.70	4361350	126398457	198300	-	711716.0	107	-
flye-hifi	806	806	780	717	497	310	169457769	169457769	169369285	168892662	165110507	158286266	806	7147007	169457769	239414479	2013697	75706	2711172.4	22	218	284	102	123769257	91	0	0	0	57 + 16 part	1157694	70.125	1.009	0.00	8.11	10.42	6602741	168209120	903979	64562	1568491.3	42	353
