Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	1121	9	0	0	0	1888825	49734	0	0	0	1121	6036	1888825	4127356	60.39	60.50	1716	-	1110	-	1999.1	914.9	388	-	942	-	1	1	1949	0	0	4	0	0 + 14 part	10897	45.020	1.000	313.85	163.41	22.61	5995	1857302	1673	-	1069	-	1946.9	891.0	394	-	963	-
spades-short-only_broken	1037	3	0	0	0	1636174	17201	0	0	0	1037	5848	1636174	4127356	60.44	60.50	1574	-	1081	-	1807.4	716.5	376	-	880	-	1	1	1949	0	0	0	0	0 + 6 part	5455	39.244	1.000	0.00	158.18	5.99	5833	1619664	1565	-	1064	-	1779.3	705.3	380	-	891	-
spades-illumina-ont	868	164	33	0	0	2794085	1303036	430160	0	0	868	20435	2794085	4127356	60.30	60.50	4644	2413	1391	-	5639.4	3817.7	184	385	633	-	5	4	32930	0	0	3	0	0 + 17 part	37653	66.093	1.005	138.79	459.17	419.90	20435	2742113	4406	2234	1309	-	5445.0	3686.1	190	402	670	-
spades-illumina-ont_broken	855	149	30	0	0	2661880	1178965	378967	0	0	855	20435	2661880	4127356	60.29	60.50	4387	2053	1365	-	5416.7	3493.4	182	426	627	-	5	4	32649	0	0	0	0	0 + 12 part	27247	63.303	1.006	0.00	469.25	429.02	20435	2627149	4268	1939	1306	-	5261.4	3393.3	186	442	654	-
spades-illumina-hifi	497	212	118	26	1	3544960	2939155	2270894	831028	60113	497	60113	3544960	4127356	60.59	60.50	14549	11857	2772	-	16435.7	14116.6	77	100	280	-	8	7	127177	1	0	0	0	0 + 9 part	42646	84.493	1.002	43.36	165.02	33.55	60113	3493564	13552	11173	2455	-	15966.2	13713.3	79	103	303	-
spades-illumina-hifi_broken	487	213	114	25	1	3490558	2892136	2188454	797242	60113	487	60113	3490558	4127356	60.58	60.50	14291	11365	2959	-	16189.0	13691.2	78	103	278	-	7	6	116937	1	0	0	0	0 + 9 part	42646	83.208	1.002	0.00	163.81	31.36	60113	3440645	13073	10328	2545	-	15725.6	13299.3	80	107	299	-
flye-ont	18	16	8	0	0	201523	195642	135510	0	0	18	24686	201523	4127356	59.13	60.50	13996	-	6770	-	14484.4	707.2	6	-	14	-	0	0	0	0	0	0	0	5 + 1 part	73580	3.077	1.007	0.00	909.02	1864.98	21031	127830	7167	-	-	-	7923.0	386.9	8	-	-	-
flye-ont-polypolish-default	19	17	9	0	0	213884	208004	147905	0	0	19	24684	213884	4127356	58.93	60.50	13985	-	6768	-	14359.6	744.1	6	-	15	-	0	0	0	0	0	0	0	2 + 2 part	38800	4.213	1.006	0.00	899.16	1818.89	21004	174942	11853	-	-	-	10167.6	526.9	8	-	-	-
flye-ont-polypolish-careful	19	17	9	0	0	213890	208010	147908	0	0	19	24684	213890	4127356	58.93	60.50	13985	-	6768	-	14359.9	744.2	6	-	15	-	0	0	0	0	0	0	0	2 + 2 part	38798	4.213	1.006	0.00	900.83	1826.24	21004	174950	11853	-	-	-	10168.0	526.9	8	-	-	-
flye-hifi	69	69	67	43	15	2599851	2599851	2584247	2168426	1119461	69	180492	2599851	4127356	60.33	60.50	44803	30494	20757	-	57867.3	36451.0	19	40	51	-	1	1	61708	0	0	0	0	0 + 0 part	0	62.759	1.004	0.00	1.23	69.01	180492	2599518	43424	30493	19898	-	57600.7	36283.1	20	40	52	-
