Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	1029	1	0	0	0	1463807	6760	0	0	0	1029	6760	1463807	6293399	42.45	42.86	1376	-	1059	-	1590.3	369.9	398	-	887	-	1	1	1636	0	0	4	0	0 + 6 part	3989	22.793	0.999	386.05	131.34	27.36	6760	1432883	1341	-	1031	-	1537.6	357.6	405	-	905	-
spades-short-only_broken	867	1	0	0	0	1195132	5336	0	0	0	867	5336	1195132	6293399	42.42	42.86	1328	-	1055	-	1511.2	287.0	344	-	751	-	1	1	1636	0	0	0	0	0 + 3 part	2043	18.808	0.999	0.00	131.23	7.69	5336	1182656	1317	-	1040	-	1485.4	282.1	347	-	758	-
spades-illumina-ont	864	228	93	5	1	3778703	2468548	1505411	218465	105437	864	105437	3778703	6293399	42.64	42.86	7936	2306	1615	-	11932.1	7164.3	137	427	560	-	9	8	44211	1	0	0	1	2 + 17 part	199158	56.290	1.006	75.16	545.78	730.77	33370	3565159	6887	1661	1174	-	8477.4	5090.0	159	532	714	-
spades-illumina-ont_broken	830	222	89	5	1	3659159	2400300	1442868	218465	105437	830	105437	3659159	6293399	42.64	42.86	7936	2062	1645	-	12006.2	6980.7	133	455	535	-	9	8	42294	1	0	0	1	2 + 12 part	170732	54.957	1.007	0.00	553.76	744.43	33370	3481859	7076	1507	1249	-	8569.1	4982.3	152	555	663	-
spades-illumina-hifi	572	319	190	48	5	5658793	5036852	4090768	1787077	340611	572	112784	5658793	6293399	42.84	42.86	17842	15592	4622	-	22253.9	20009.9	97	116	331	-	12	10	168087	2	0	0	1	0 + 24 part	237143	85.901	1.001	16.22	145.73	14.72	112784	5413979	15671	14044	2863	-	20169.6	18135.8	107	129	402	-
spades-illumina-hifi_broken	569	319	191	47	4	5630287	5004299	4074495	1728587	282985	569	112784	5630287	6293399	42.86	42.86	17842	15441	4610	-	21900.2	19592.7	98	118	333	-	10	8	118624	2	0	0	1	0 + 23 part	236568	85.475	1.002	0.00	145.74	13.90	112784	5387699	15671	13826	2991	-	19974.7	17870.0	107	130	400	-
flye-ont	48	44	41	16	8	1550828	1533944	1510237	1076565	782581	48	302113	1550828	6293399	43.54	42.86	51225	-	14670	-	93669.4	23082.2	8	-	32	-	1	1	7182	0	0	0	2	4 + 12 part	667422	13.919	1.009	0.00	943.58	2001.36	74925	883547	11633	-	-	-	17113.5	4217.1	31	-	-	-
flye-ont-polypolish-default	51	47	44	18	8	1370139	1353252	1329547	886819	535753	51	89801	1370139	6293399	43.32	42.86	37362	-	13536	-	42809.6	9320.1	12	-	36	-	1	1	7186	0	0	0	1	4 + 14 part	380177	15.595	1.009	0.00	942.85	1975.48	74905	990086	18882	-	-	-	22168.2	4826.3	21	-	-	-
flye-ont-polypolish-careful	50	46	43	16	8	1338012	1321125	1297424	829696	535761	50	89804	1338012	6293399	43.23	42.86	37362	-	13536	-	43066.8	9156.2	12	-	35	-	1	1	7182	0	0	0	1	3 + 14 part	348048	15.595	1.009	0.00	943.65	1981.64	74911	990088	18986	-	-	-	22701.1	4826.4	20	-	-	-
flye-hifi	43	42	41	39	33	6146735	6144145	6137993	6103700	5878999	43	702812	6146735	6293399	42.88	42.86	210534	210534	76711	70555	274007.2	267621.6	9	9	28	30	10	6	1195680	0	0	0	0	0 + 1 part	8172	97.323	1.002	0.00	13.20	15.19	572151	6136895	185502	185502	69409	52772	244542.7	238843.8	10	10	31	33
