Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	782	63	5	1	0	2056610	446054	74078	25330	0	782	25330	2056610	2931662	35.16	35.19	3100	2152	1387	-	3913.3	2745.3	215	385	608	-	7	7	26578	0	0	5	0	1 + 5 part	7135	69.431	1.001	197.66	128.93	15.61	25330	2037616	3071	2094	1323	-	3850.8	2701.4	218	390	621	-
spades-short-only_broken	821	44	2	0	0	1945812	305367	34341	0	0	821	21665	1945812	2931662	35.13	35.19	2675	1745	1290	-	3375.1	2240.1	236	462	652	-	4	4	18961	0	0	0	0	1 + 1 part	2352	65.989	1.001	0.00	111.35	5.52	21665	1937096	2669	1729	1269	-	3332.6	2212.0	238	467	660	-
spades-illumina-ont	440	163	73	5	1	2913802	2293355	1671613	688517	581750	440	581750	2913802	2931662	35.21	35.19	11847	11847	2524	2446	124445.3	123687.1	54	54	256	263	8	8	60251	1	0	1	1	1 + 6 part	558649	79.375	1.004	535.69	236.89	177.25	28569	2335718	6519	6334	-	-	8211.5	8161.5	120	121	-	-
spades-illumina-ont_broken	462	163	68	4	1	2511683	1851334	1188522	280992	200298	462	200298	2511683	2931662	35.15	35.19	9393	7582	2134	-	24954.7	21379.8	75	101	291	-	5	5	36651	1	0	0	1	0 + 5 part	194278	78.610	1.004	0.00	234.12	175.42	28153	2313816	7530	5939	1235	-	8890.8	7617.2	99	130	423	-
spades-illumina-hifi	557	146	45	2	0	2243296	1297624	601211	55180	0	557	28198	2243296	2931662	35.12	35.19	6059	4135	1733	-	7286.0	5575.2	114	184	389	-	9	9	56034	0	0	3	0	0 + 2 part	3881	75.946	1.003	118.13	145.03	17.24	28198	2232718	5724	4034	1660	-	7167.0	5484.1	117	189	400	-
spades-illumina-hifi_broken	596	130	36	1	0	2190700	1140408	480097	26982	0	596	26982	2190700	2931662	35.11	35.19	5322	3451	1580	-	6637.9	4960.2	122	208	424	-	7	7	47741	0	0	0	0	0 + 2 part	3695	74.266	1.003	0.00	136.07	11.04	26982	2183378	5112	3376	1551	-	6536.9	4884.7	124	213	434	-
flye-ont	88	68	37	4	0	875203	804155	578704	119325	0	88	37576	875203	2931662	35.57	35.19	12304	-	5743	-	14115.7	4214.0	25	-	65	-	8	7	93920	1	0	0	0	4 + 13 part	97286	26.077	1.015	0.00	695.56	2003.83	28863	776214	10676	-	-	-	10506.3	3136.5	30	-	-	-
flye-ont-polypolish-default	98	75	41	5	0	968928	887601	637092	145011	0	98	37543	968928	2931662	35.59	35.19	12045	-	5574	-	14058.7	4646.5	28	-	73	-	8	7	78926	1	0	0	0	3 + 14 part	91112	29.349	1.018	0.00	637.74	1670.21	28825	876060	10728	-	2235	-	10905.6	3604.3	33	-	100	-
flye-ont-polypolish-careful	95	73	41	5	0	949031	872120	637203	145033	0	95	37525	949031	2931662	35.60	35.19	12229	-	5731	-	14201.2	4597.2	27	-	70	-	9	8	106405	1	0	0	0	3 + 13 part	87894	28.777	1.018	0.00	651.85	1728.57	28815	859090	10734	-	2248	-	10924.4	3536.4	32	-	98	-
flye-hifi	54	51	33	6	0	729887	718393	585050	181788	0	54	43019	729887	2931662	35.31	35.19	16462	-	7607	-	18282.0	4551.6	15	-	42	-	1	1	8290	0	0	0	0	0 + 0 part	0	24.715	1.007	0.00	21.80	36.61	43018	729345	16458	-	7339	-	18228.3	4538.2	15	-	42	-
