Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	115	73	58	37	20	2836124	2726756	2613318	2244742	1691232	115	154810	2836124	2970275	35.17	35.25	57888	55733	15644	7632	65630.9	62666.7	15	17	53	65	4	4	93504	0	1	0	0	0 + 1 part	1902	95.235	1.001	3.53	23.59	2.37	154810	2832023	57815	55559	12099	7489	64949.8	62016.4	15	17	55	67
spades-short-only_broken	116	73	58	37	20	2836024	2724392	2610954	2242378	1688868	116	154810	2836024	2970275	35.17	35.25	57888	54871	15644	7489	65544.0	62581.6	15	17	53	66	4	4	93504	0	0	0	0	0 + 1 part	1902	95.235	1.001	0.00	23.59	2.37	154810	2832023	57815	53295	12099	7020	64867.0	61935.1	15	17	55	68
spades-illumina-ont	8	3	3	3	3	2980826	2969607	2969607	2969607	2969607	8	1684495	2980826	2970275	35.19	35.25	1684495	1684495	581750	581750	1231438.2	1235812.5	1	1	3	3	20	3	2969607	1	1	15	0	0 + 1 part	1786	98.612	1.002	1266.23	26.77	3.24	615814	2935791	311675	311675	101388	101388	318315.5	319446.3	4	4	11	11
spades-illumina-ont_broken	30	19	16	14	12	2943082	2914806	2889769	2853470	2786653	30	724350	2943082	2970275	35.19	35.25	291814	291814	89584	89584	342635.5	339498.7	4	4	10	10	20	11	2594353	1	0	0	0	0 + 1 part	1627	98.608	1.003	0.00	26.88	3.03	615814	2939164	162936	153403	45268	36059	235763.7	233605.2	5	6	19	20
spades-illumina-hifi	5	2	2	2	2	2976078	2969653	2969653	2969653	2969653	5	1597233	2976078	2970275	35.24	35.25	1597233	1597233	1372420	1372420	1490117.6	1493028.8	1	1	2	2	25	2	2969653	1	0	2	0	0 + 2 part	3529	99.440	1.004	202.25	30.33	4.15	615814	2964287	264394	264394	101214	101214	310870.1	311477.4	4	4	11	11
spades-illumina-hifi_broken	10	6	5	5	5	2969381	2960668	2953814	2953814	2953814	10	1372420	2969381	2970275	35.24	35.25	1002166	1002166	337156	337156	1020887.2	1020579.9	2	2	3	3	24	4	2848391	1	0	0	0	0 + 2 part	3529	99.366	1.004	0.00	30.37	4.05	615814	2963477	216418	216418	101214	101214	288312.6	288225.8	4	4	12	12
flye-ont	4	3	3	3	2	2999960	2996184	2996184	2996184	2958608	4	1531634	2999960	2970275	35.35	35.25	1531634	1531634	1426974	1426974	1461214.1	1475817.5	1	1	2	2	24	2	2958608	1	0	0	0	0 + 2 part	30240	99.665	1.002	0.00	28.86	424.00	613355	2965788	263226	263226	86034	100811	316972.9	320140.8	4	4	11	10
flye-ont-polypolish-default	5	4	4	4	2	3039330	3035545	3035545	3035545	2970539	5	1537970	3039330	2970275	35.26	35.25	1537970	1537970	1432569	1432569	1454196.7	1488004.9	1	1	2	2	24	2	2970539	1	0	0	1	0 + 3 part	53113	99.665	1.007	0.00	13.31	15.39	615769	2982266	264379	264379	86410	101201	315396.7	322729.3	4	4	11	10
flye-ont-polypolish-careful	4	3	3	3	2	3011230	3007454	3007454	3007454	2969929	4	1537624	3011230	2970275	35.26	35.25	1537624	1537624	1432305	1432305	1466911.4	1487137.6	1	1	2	2	24	2	2969929	1	0	0	0	0 + 2 part	30192	99.665	1.006	0.00	13.67	38.63	615710	2977099	264342	264342	86370	101175	318231.0	322618.8	4	4	11	10
flye-hifi	3	3	3	3	1	3037811	3037811	3037811	3037811	2978822	3	2978822	3037811	2970275	35.24	35.25	2978822	2978822	2978822	2978822	2921551.9	2987980.1	1	1	1	1	26	2	3009358	1	0	0	0	0 + 1 part	2033	99.826	1.023	0.00	11.91	2.04	615815	3032232	264395	264395	101214	122662	317251.3	324464.7	4	4	11	10
