Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	67	44	36	26	20	2715786	2665493	2610767	2451217	2253027	67	281052	2715786	2763181	51.25	51.32	113125	113125	25405	20174	121759.9	119671.4	9	9	26	28	2	2	164473	0	2	1	0	0 + 4 part	11878	97.515	1.003	11.05	13.65	2.63	281052	2703126	104588	104588	20605	18827	118877.3	116838.3	9	9	28	30
spades-short-only_broken	70	44	37	26	20	2715486	2657410	2607699	2436131	2250059	70	281052	2715486	2763181	51.25	51.32	113125	113125	20605	18827	121241.8	119149.0	9	9	27	29	2	2	130406	0	0	0	0	0 + 4 part	11878	97.521	1.003	0.00	13.65	2.63	281052	2703203	102288	102288	20605	18827	118573.0	116526.4	9	9	28	30
spades-illumina-ont	8	6	6	6	5	2747861	2742032	2742032	2742032	2700209	8	783019	2747861	2763181	51.27	51.32	766043	766043	306057	306057	605877.1	602517.9	2	2	5	5	5	3	2050328	0	0	2	0	0 + 1 part	3701	99.112	1.001	109.43	21.09	4.63	491890	2740477	343824	343824	224039	224039	345717.3	343800.5	4	4	8	8
spades-illumina-ont_broken	16	12	11	11	10	2744854	2733217	2724206	2724206	2682383	16	783019	2744854	2763181	51.27	51.32	306057	306057	147131	147131	415486.1	412730.4	3	3	8	8	4	3	1295307	0	0	0	0	0 + 1 part	3701	99.113	1.001	0.00	21.09	4.42	491890	2740293	291129	291129	147131	147131	293267.8	291322.7	4	4	9	9
spades-illumina-hifi	5	3	3	3	3	2768243	2760859	2760859	2760859	2760859	5	1436276	2768243	2763181	51.32	51.32	1436276	1436276	558805	558805	1069847.1	1071807.0	1	1	3	3	6	3	2760859	1	0	3	0	0 + 1 part	3694	99.281	1.003	302.32	23.26	4.18	1145147	2751412	401872	401872	291129	291129	660300.3	661510.0	2	2	5	5
spades-illumina-hifi_broken	9	7	7	7	6	2759874	2752490	2752490	2752490	2713550	9	1436276	2759874	2763181	51.32	51.32	1436276	1436276	202029	202029	916568.6	915471.7	1	1	5	5	6	4	2290146	1	0	0	0	0 + 1 part	3694	99.281	1.003	0.00	23.26	4.14	1145147	2751402	401872	401872	202025	158294	625177.1	624428.9	2	2	6	7
flye-ont	1	1	1	1	1	2757842	2757842	2757842	2757842	2757842	1	2757842	2757842	2763181	51.44	51.32	2757842	2757842	2757842	2757842	2757842.0	2752513.3	1	1	1	1	5	1	2757842	0	0	0	0	0 + 1 part	3677	99.918	0.997	0.00	44.71	415.75	1806936	2753342	1806936	1806936	701064	701064	1380362.6	1377695.5	1	1	2	2
flye-ont-polypolish-default	1	1	1	1	1	2769269	2769269	2769269	2769269	2769269	1	2769269	2769269	2763181	51.33	51.32	2769269	2769269	2769269	2769269	2769269.0	2775370.4	1	1	1	1	5	1	2769269	0	0	0	0	0 + 1 part	3701	99.918	1.001	0.00	12.19	9.11	1814428	2764746	1814428	1814428	703926	703926	1386079.0	1389132.9	1	1	2	2
flye-ont-polypolish-careful	1	1	1	1	1	2768853	2768853	2768853	2768853	2768853	1	2768853	2768853	2763181	51.34	51.32	2768853	2768853	2768853	2768853	2768853.0	2774536.6	1	1	1	1	5	1	2768853	0	0	0	0	0 + 1 part	3701	99.918	1.001	0.00	14.65	26.59	1814145	2764329	1814145	1814145	703807	703807	1385853.8	1388698.5	1	1	2	2
flye-hifi	1	1	1	1	1	2776917	2776917	2776917	2776917	2776917	1	2776917	2776917	2763181	51.36	51.32	2776917	2776917	2776917	2776917	2776917.0	2790721.3	1	1	1	1	6	1	2776917	1	0	0	0	0 + 1 part	3708	99.918	1.004	0.00	13.35	2.52	1701950	2772356	1701950	1701950	229755	229755	1245250.0	1251440.2	1	1	3	3
