Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	761	371	152	13	0	5002339	3952766	2386196	405455	0	761	42244	5002339	5258541	56.59	56.70	9740	9280	3136	2297	11577.0	11013.0	164	178	508	593	9	9	111870	16	0	4	0	0 + 3 part	2055	94.872	1.001	98.01	71.70	10.42	42244	4992777	9589	9214	3078	2232	11473.5	10914.5	166	179	514	601
spades-short-only_broken	969	371	111	3	0	4940462	3378765	1570247	99783	0	969	37686	4940462	5258541	56.58	56.70	7157	6725	2458	1705	8559.2	8041.5	218	241	670	808	8	8	68952	15	0	0	0	0 + 2 part	1329	93.712	1.001	0.00	67.98	4.03	37686	4932246	7146	6722	2410	1674	8487.2	7973.8	220	243	676	817
spades-illumina-ont	226	172	133	72	30	5181653	5041944	4759100	3814230	2346671	226	153481	5181653	5258541	56.64	56.70	45773	44472	11350	10274	55415.4	54605.2	36	37	125	131	13	12	558311	10	0	0	0	0 + 2 part	8871	97.964	1.004	8.74	126.30	53.63	153481	5170228	44463	43972	10919	9901	52270.2	51505.9	37	38	132	139
spades-illumina-ont_broken	244	184	138	72	26	5180115	5024441	4686509	3675456	2060182	244	152638	5180115	5258541	56.64	56.70	40453	40076	10274	9459	52032.0	51256.0	38	39	136	143	12	11	470112	10	0	0	0	0 + 2 part	8871	97.938	1.004	0.00	126.11	53.22	152638	5168690	38798	38778	9931	8948	49022.6	48291.5	40	41	143	150
spades-illumina-hifi	210	160	124	73	32	5191792	5064193	4806779	4028366	2515772	210	152626	5191792	5258541	56.67	56.70	47869	46818	12255	11081	56879.0	56157.0	34	35	112	118	12	11	407925	12	0	1	0	1 + 3 part	5748	98.244	1.003	6.66	93.58	7.25	152626	5183802	46467	46125	11811	10818	55066.4	54367.4	35	36	119	124
spades-illumina-hifi_broken	218	165	128	77	30	5191151	5056138	4788430	4014759	2266895	218	152626	5191151	5258541	56.67	56.70	46027	45774	11973	10975	53285.0	52602.1	37	38	118	123	12	11	338234	12	0	0	0	1 + 3 part	5748	98.237	1.003	0.00	93.64	7.10	152626	5183566	44964	44964	11319	10246	52396.0	51724.5	38	38	123	129
flye-ont	85	84	81	62	44	4964215	4961336	4936364	4585736	3890443	85	267037	4964215	5258541	56.72	56.70	79018	76020	34866	21476	91142.1	86040.8	22	24	58	69	4	4	318192	1	0	0	0	5 + 28 part	239805	88.640	1.013	0.00	787.44	1519.95	267009	4721855	73755	71624	21223	-	85228.0	80457.7	23	25	66	-
flye-ont-polypolish-default	94	93	88	66	44	5186668	5183796	5144862	4738697	3883834	94	266482	5186668	5258541	56.70	56.70	75887	75887	29810	26440	88442.7	87233.9	24	24	64	66	4	4	280308	1	0	0	0	3 + 27 part	154350	94.218	1.015	0.00	573.42	1057.97	266454	5029646	71469	71469	21434	20525	83966.2	82818.5	25	25	71	74
flye-ont-polypolish-careful	94	93	88	66	44	5187013	5184141	5145198	4739005	3884039	94	266504	5187013	5258541	56.70	56.70	75914	75914	29812	26445	88448.0	87244.9	24	24	64	66	3	3	230934	1	0	0	0	4 + 27 part	197573	93.558	1.014	0.00	581.50	1075.95	266476	4986768	71460	71460	21201	20308	83776.6	82637.0	25	25	71	74
flye-hifi	2	2	2	2	2	5245702	5245702	5245702	5245702	5245702	2	5037541	5245702	5258541	56.72	56.70	5037541	5037541	5037541	5037541	4845900.6	4834069.1	1	1	1	1	2	1	5037541	1	0	0	0	0 + 1 part	876	99.710	1.000	0.00	0.55	2.21	3872416	5243792	3872416	3872416	448783	448783	3002602.1	2995271.1	1	1	3	3
