Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	59	0	0	0	0	73247	0	0	0	0	59	1861	73247	1855560	34.31	33.96	1234	-	1026	-	1278.9	50.5	26	-	52	-	0	0	0	0	0	0	0	0 + 0 part	0	3.870	0.999	573.40	147.82	32.07	1861	71711	1234	-	1018	-	1235.0	48.8	26	-	53	-
spades-short-only_broken	42	0	0	0	0	51597	0	0	0	0	42	1778	51597	1855560	34.29	33.96	1233	-	1029	-	1257.9	35.0	19	-	37	-	0	0	0	0	0	0	0	0 + 0 part	0	2.762	0.998	0.00	156.35	9.77	1778	51167	1233	-	1021	-	1233.3	34.3	19	-	38	-
spades-illumina-ont	99	3	0	0	0	204561	18925	0	0	0	99	7888	204561	1855560	33.74	33.96	2554	-	1122	-	2825.0	311.4	28	-	80	-	0	0	0	0	0	0	0	0 + 2 part	5961	10.562	1.006	200.43	462.92	882.23	7869	197228	2192	-	1057	-	2669.1	294.3	29	-	86	-
spades-illumina-ont_broken	85	2	0	0	0	183294	12958	0	0	0	85	7888	183294	1855560	33.68	33.96	2667	-	1188	-	2904.0	286.9	24	-	68	-	0	0	0	0	0	0	0	0 + 1 part	3730	9.581	1.007	0.00	498.42	962.75	7869	178967	2563	-	1109	-	2792.7	275.9	25	-	72	-
spades-illumina-hifi	134	49	19	0	0	680739	474001	265534	0	0	134	23053	680739	1855560	33.97	33.96	7894	-	2460	-	9068.1	3326.8	28	-	87	-	1	1	2993	1	0	0	0	0 + 0 part	0	36.610	1.001	42.45	93.42	47.08	23053	679713	7894	-	2333	-	9059.5	3323.6	28	-	88	-
spades-illumina-hifi_broken	123	49	19	0	0	666216	473235	265048	0	0	123	23053	666216	1855560	33.99	33.96	7910	-	2747	-	9209.9	3306.7	27	-	83	-	1	1	2993	1	0	0	0	0 + 0 part	0	35.870	1.001	0.00	92.19	45.95	23053	665993	7910	-	2580	-	9203.2	3304.3	27	-	83	-
flye-ont	2	1	0	0	0	11022	7111	0	0	0	2	7111	11022	1855560	34.71	33.96	7111	-	3911	-	5975.5	35.5	1	-	2	-	0	0	0	0	0	0	0	1 + 0 part	7111	0.209	1.004	0.00	900.90	2007.72	3885	3885	-	-	-	-	1369.4	8.1	-	-	-	-
flye-ont-polypolish-default	2	1	0	0	0	11020	7109	0	0	0	2	7109	11020	1855560	34.69	33.96	7109	-	3911	-	5974.0	35.5	1	-	2	-	0	0	0	0	0	0	0	1 + 0 part	7109	0.209	1.004	0.00	849.42	1904.76	3885	3885	-	-	-	-	1369.6	8.1	-	-	-	-
flye-ont-polypolish-careful	2	1	0	0	0	11020	7109	0	0	0	2	7109	11020	1855560	34.69	33.96	7109	-	3911	-	5974.0	35.5	1	-	2	-	0	0	0	0	0	0	0	1 + 0 part	7109	0.209	1.004	0.00	849.42	1904.76	3885	3885	-	-	-	-	1369.6	8.1	-	-	-	-
flye-hifi	11	11	8	3	2	301415	301415	277906	165945	123894	11	65882	301415	1855560	33.46	33.96	42051	-	15339	-	40602.0	6595.3	3	-	8	-	0	0	0	0	0	0	0	0 + 0 part	0	16.237	1.000	0.00	1.66	46.45	65882	301405	42050	-	15339	-	40600.8	6595.1	3	-	8	-
