Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	18	0	0	0	0	21351	0	0	0	0	18	1419	21351	2739625	39.34	37.75	1179	-	1050	-	1198.9	9.3	9	-	16	-	0	0	0	0	0	0	0	0 + 0 part	0	0.721	1.002	899.26	217.18	45.46	1419	19799	1161	-	694	-	1061.4	8.3	9	-	18	-
spades-short-only_broken	10	0	0	0	0	12519	0	0	0	0	10	1419	12519	2739625	41.19	37.75	1278	-	1114	-	1262.6	5.8	5	-	9	-	0	0	0	0	0	0	0	0 + 0 part	0	0.442	0.999	0.00	280.97	33.06	1419	12101	1266	-	1050	-	1198.9	5.5	5	-	9	-
spades-illumina-ont	54	1	0	0	0	96972	5390	0	0	0	54	5390	96972	2739625	38.29	37.75	2055	-	1103	-	2278.2	80.6	17	-	45	-	0	0	0	0	0	0	0	0 + 0 part	0	3.454	1.008	198.00	557.78	935.23	5390	95378	2055	-	1063	-	2232.8	79.0	17	-	46	-
spades-illumina-ont_broken	48	1	0	0	0	90380	5390	0	0	0	48	5390	90380	2739625	38.37	37.75	2062	-	1132	-	2362.0	77.9	16	-	40	-	0	0	0	0	0	0	0	0 + 0 part	0	3.242	1.008	0.00	605.13	1012.65	5390	89567	2062	-	1132	-	2330.1	76.9	16	-	40	-
spades-illumina-hifi	141	73	27	2	0	911330	742576	401048	51818	0	141	26216	911330	2739625	37.92	37.75	9326	-	2783	-	10648.2	3542.1	33	-	93	-	0	0	0	2	0	0	0	0 + 2 part	10286	32.812	1.001	17.67	92.14	76.47	26216	899757	9326	-	2664	-	10524.9	3501.1	33	-	96	-
spades-illumina-hifi_broken	138	72	27	2	0	903664	735267	401048	51818	0	138	26216	903664	2739625	37.92	37.75	9326	-	2975	-	10687.3	3525.2	33	-	92	-	0	0	0	2	0	0	0	0 + 2 part	7896	32.638	1.001	0.00	91.84	76.09	26216	895046	9326	-	2721	-	10593.9	3494.4	33	-	94	-
flye-ont	1	1	1	1	1	89825	89825	89825	89825	89825	1	89825	89825	2739625	43.85	37.75	89825	-	89825	-	89825.0	2945.1	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	88696	0.041	1.012	0.00	531.44	1682.91	1129	1129	-	-	-	-	14.2	0.5	-	-	-	-
flye-ont-polypolish-default	1	1	1	1	1	89801	89801	89801	89801	89801	1	89801	89801	2739625	43.84	37.75	89801	-	89801	-	89801.0	2943.5	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	88674	0.041	1.010	0.00	443.66	1597.16	1127	1127	-	-	-	-	14.1	0.5	-	-	-	-
flye-ont-polypolish-careful	1	1	1	1	1	89804	89804	89804	89804	89804	1	89804	89804	2739625	43.84	37.75	89804	-	89804	-	89804.0	2943.7	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	88677	0.041	1.010	0.00	443.66	1597.16	1127	1127	-	-	-	-	14.1	0.5	-	-	-	-
flye-hifi	29	29	27	19	4	950645	950645	938766	809905	257190	29	97554	950645	2739625	37.93	37.75	41168	-	18653	-	43435.5	15072.0	9	-	22	-	0	0	0	0	0	0	0	0 + 0 part	0	34.677	1.001	0.00	12.20	55.44	97553	950617	41168	-	18653	-	43433.4	15071.3	9	-	22	-
