Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	45	27	22	15	9	2343571	2299330	2259835	2153060	1928881	45	394888	2343571	2571010	66.71	65.93	348362	348362	30855	3868	260072.0	237065.3	4	4	14	31	3	3	170852	0	0	0	0	0 + 0 part	0	91.094	1.000	0.00	5.63	0.38	394888	2342504	348362	348362	28119	3868	258149.4	235312.7	4	4	15	34
spades-short-only_broken	45	27	22	15	9	2343571	2299330	2259835	2153060	1928881	45	394888	2343571	2571010	66.71	65.93	348362	348362	30855	3868	260072.0	237065.3	4	4	14	31	3	3	170852	0	0	0	0	0 + 0 part	0	91.094	1.000	0.00	5.63	0.38	394888	2342504	348362	348362	28119	3868	258149.4	235312.7	4	4	15	34
spades-illumina-ont	7	5	4	4	3	2404134	2399643	2390558	2390558	2354690	7	2012633	2404134	2571010	66.51	65.93	2012633	2012633	250763	91294	1715082.2	1603761.7	1	1	2	3	13	3	2354690	1	1	2	0	0 + 1 part	18624	92.461	1.002	117.21	11.00	0.63	818397	2382500	691453	691453	56164	24996	573415.5	536197.0	2	2	5	9
spades-illumina-ont_broken	15	11	9	8	4	2400115	2389423	2374582	2363691	2210481	15	773246	2400115	2571010	66.51	65.93	758477	758477	198577	35868	603956.1	563811.1	2	2	4	7	11	6	1554577	1	0	0	0	0 + 2 part	18571	92.464	1.002	0.00	11.00	0.42	773246	2381258	691453	691453	48286	17211	543668.6	507531.0	2	2	6	11
spades-illumina-hifi	10	8	6	5	3	2403884	2398580	2383740	2369691	2303184	10	2012546	2403884	2571010	66.50	65.93	2012546	2012546	235011	35868	1710239.9	1599067.4	1	1	2	4	16	3	2303184	0	1	1	0	0 + 1 part	16227	92.436	1.003	133.91	8.77	0.92	818397	2383009	691453	691453	35792	16051	568225.3	531288.4	2	2	6	12
spades-illumina-hifi_broken	24	17	12	5	4	2398583	2377357	2339044	2236824	2200956	24	1238581	2398583	2571010	66.51	65.93	1238581	773246	63727	13931	898453.7	838198.2	1	2	4	10	13	6	1353621	0	0	0	0	0 + 1 part	16227	92.388	1.003	0.00	8.77	0.38	773246	2382274	691453	691453	35792	8777	537925.1	501848.7	2	2	7	18
flye-ont	6	6	6	6	4	2477078	2477078	2477078	2477078	2400092	6	2022275	2477078	2571010	66.16	65.93	2022275	2022275	261547	63061	1682544.0	1621072.2	1	1	2	3	13	3	2346883	0	0	0	0	0 + 1 part	26315	93.986	1.014	0.00	100.14	306.88	827149	2450474	506819	506819	53201	41534	493267.7	475246.2	2	2	7	8
flye-ont-polypolish-default	6	6	6	6	4	2480531	2480531	2480531	2480531	2403468	6	2025341	2480531	2571010	66.24	65.93	2025341	2025341	261775	63106	1685259.2	1625951.6	1	1	2	3	14	3	2350222	0	0	0	0	0 + 1 part	16226	94.259	1.017	0.00	43.02	65.99	828413	2464016	507617	507617	53238	41580	494099.1	476710.8	2	2	7	8
flye-ont-polypolish-careful	6	6	6	6	4	2480529	2480529	2480529	2480529	2403498	6	2025355	2480529	2571010	66.24	65.93	2025355	2025355	261799	63097	1685287.1	1625977.2	1	1	2	3	13	3	2350251	0	0	0	0	0 + 1 part	26346	94.258	1.013	0.00	46.17	79.30	828415	2453894	507634	507634	53239	41568	494064.8	476677.3	2	2	7	8
flye-hifi	6	6	6	6	4	2507716	2507716	2507716	2507716	2430641	6	2013697	2507716	2571010	66.17	65.93	2013697	2013697	274718	73143	1652323.0	1611645.6	1	1	2	3	14	3	2361558	0	0	0	0	0 + 1 part	16227	95.380	1.016	0.00	1.85	2.01	728221	2491474	691453	691453	56153	41588	505068.0	492634.1	2	2	7	8
