Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	327	113	32	0	0	1618176	1065643	475907	0	0	327	24181	1618176	1694969	61.10	61.16	7302	6853	2254	1659	8462.5	8079.1	71	77	224	259	2	2	22859	1	0	0	0	0 + 1 part	1555	95.067	1.002	102.40	103.46	12.75	24126	1615086	7208	6805	2235	1643	8384.4	8004.5	72	77	227	262
spades-short-only_broken	397	99	24	0	0	1591677	844485	323980	0	0	397	19946	1591677	1694969	61.09	61.16	5456	4954	1815	1428	6627.1	6223.2	90	100	285	343	2	2	10903	1	0	0	0	0 + 1 part	1555	93.512	1.002	0.00	99.15	4.91	19946	1588439	5443	4942	1805	1397	6589.6	6188.0	91	101	288	347
spades-illumina-ont	122	80	51	19	8	1683984	1578123	1369737	904847	554309	122	103013	1683984	1694969	61.17	61.16	27868	27868	6240	5829	35974.8	35741.7	17	17	69	71	3	3	132947	1	0	0	0	0 + 1 part	2381	98.741	1.005	23.28	143.05	73.04	102995	1681233	25855	25855	5924	5829	34206.3	33984.6	19	19	73	74
spades-illumina-ont_broken	134	85	54	18	6	1680465	1551294	1326343	818520	417000	134	103013	1680465	1694969	61.17	61.16	24970	20136	5681	5558	32215.5	31939.8	19	20	78	81	3	3	98436	1	0	0	0	0 + 1 part	2381	98.581	1.004	0.00	141.57	71.53	102995	1677660	20136	20136	5646	5453	31603.9	31333.5	20	20	81	83
spades-illumina-hifi	72	54	41	20	11	1706268	1659834	1564111	1239555	928189	72	180962	1706268	1694969	61.20	61.16	56317	56317	10529	10669	64822.2	65254.3	10	10	39	38	3	3	296622	1	0	0	0	0 + 1 part	7423	99.717	1.005	0.59	107.33	6.48	180962	1698477	45413	45413	10452	10515	57117.7	57498.4	12	12	42	41
spades-illumina-hifi_broken	73	55	41	20	11	1706258	1659824	1556160	1231604	920238	73	180962	1706258	1694969	61.20	61.16	56317	56317	10452	10529	64148.6	64575.8	10	10	40	39	3	3	288671	1	0	0	0	0 + 1 part	7423	99.713	1.005	0.00	107.33	6.42	180962	1698467	45413	45413	10154	10452	56601.3	56978.3	12	12	43	42
flye-ont	34	32	28	20	4	1022536	1015939	987082	859450	321839	34	124041	1022536	1694969	60.39	61.16	37571	27874	17202	-	48577.6	29305.8	9	20	23	-	0	0	0	0	0	0	0	0 + 13 part	36449	57.211	1.015	0.00	754.15	1795.43	117494	984554	33820	19878	12464	-	44839.2	27050.5	10	21	26	-
flye-ont-polypolish-default	47	44	37	23	5	1271138	1259613	1207599	994886	405767	47	123864	1271138	1694969	60.75	61.16	33754	28869	13263	-	46792.3	35091.7	11	18	32	-	0	0	0	0	0	0	0	0 + 12 part	36029	71.822	1.013	0.00	657.68	1427.26	117317	1233269	32690	27983	12059	-	43725.5	32791.9	12	19	35	-
flye-ont-polypolish-careful	47	44	37	23	5	1271145	1259620	1207605	994880	405775	47	123867	1271145	1694969	60.75	61.16	33754	28874	13263	-	46792.9	35092.4	11	18	32	-	0	0	0	0	0	0	0	0 + 12 part	36010	71.822	1.013	0.00	661.40	1435.67	117320	1233295	32690	27983	12059	-	43727.1	32793.2	12	19	35	-
flye-hifi	3	3	3	3	3	1692771	1692771	1692771	1692771	1692771	3	1383641	1692771	1694969	61.15	61.16	1383641	1383641	210117	210117	1162836.1	1161328.1	1	1	2	2	1	1	1383641	0	0	0	0	0 + 0 part	0	99.861	1.000	0.00	1.89	5.49	1282375	1692770	1282375	1282375	101265	101265	1009405.9	1008096.9	1	1	3	3
