Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	1031	0	0	0	0	1546622	0	0	0	0	1031	4535	1546622	5786361	69.34	69.52	1479	-	1075	-	1676.8	448.2	386	-	882	-	4	4	10340	2	0	6	0	0 + 19 part	17939	25.732	1.000	256.56	371.61	25.65	4535	1489189	1418	-	1011	-	1569.3	419.4	401	-	922	-
spades-short-only_broken	921	0	0	0	0	1349029	0	0	0	0	921	4246	1349029	5786361	69.35	69.52	1428	-	1074	-	1620.9	377.9	352	-	791	-	4	4	10340	2	0	0	0	0 + 11 part	10954	22.739	1.000	0.00	373.54	12.92	4246	1315777	1390	-	1026	-	1543.9	360.0	362	-	817	-
spades-illumina-ont	819	164	35	1	0	2799049	1316741	450082	29040	0	819	29040	2799049	5786361	69.06	69.52	4610	-	1543	-	5858.7	2834.0	182	-	594	-	7	7	46978	2	0	0	1	1 + 84 part	219573	43.775	1.009	41.55	956.73	481.11	19310	2554527	3889	-	1000	-	4907.3	2373.8	208	-	782	-
spades-illumina-ont_broken	815	159	32	1	0	2750923	1270192	412441	29040	0	815	29040	2750923	5786361	69.06	69.52	4571	-	1534	-	5763.9	2740.2	182	-	593	-	7	7	46978	2	0	0	1	1 + 75 part	201178	43.351	1.008	0.00	963.83	481.96	19310	2529275	3838	-	1022	-	4878.8	2319.5	207	-	762	-
spades-illumina-hifi	989	270	86	6	2	4504883	2746786	1461760	290270	164581	989	109950	4504883	5786361	69.11	69.52	6599	4698	1943	-	11548.1	8990.6	183	301	673	-	11	11	89997	4	0	0	2	0 + 89 part	469109	68.461	1.009	20.80	942.54	62.99	41035	3998781	4967	3391	-	-	6878.2	5355.0	246	401	-	-
spades-illumina-hifi_broken	995	262	81	6	2	4442379	2664514	1388753	290270	164581	995	109950	4442379	5786361	69.14	69.52	6476	4501	1909	-	11456.3	8795.4	184	311	679	-	11	11	89718	4	0	0	2	0 + 82 part	432904	68.052	1.009	0.00	944.10	61.67	41035	3974149	4932	3229	-	-	6874.2	5277.6	243	410	-	-
flye-ont	39	39	37	18	6	1181433	1181433	1162391	849355	412140	39	82978	1181433	5786361	68.90	69.52	41826	-	16282	-	43351.6	8851.3	10	-	30	-	2	2	100315	2	0	0	1	6 + 18 part	434299	12.694	1.017	0.00	1069.35	1671.04	69123	746901	16912	-	-	-	21020.8	4291.9	18	-	-	-
flye-ont-polypolish-default	46	46	44	22	7	1376428	1376428	1357405	988398	472238	46	82962	1376428	5786361	68.96	69.52	39196	-	16902	-	42183.7	10034.4	12	-	35	-	2	2	100291	2	0	0	1	5 + 23 part	487864	15.120	1.015	0.00	1072.30	1617.06	69106	888277	16902	-	-	-	20168.8	4797.7	22	-	-	-
flye-ont-polypolish-careful	46	46	44	22	7	1376459	1376459	1357436	988409	472247	46	82970	1376459	5786361	68.96	69.52	39194	-	16905	-	42184.3	10034.8	12	-	35	-	2	2	100302	2	0	0	1	5 + 23 part	487872	15.120	1.015	0.00	1074.52	1625.13	69106	888300	16905	-	-	-	20169.0	4797.8	22	-	-	-
flye-hifi	17	17	17	16	14	5733034	5733034	5733034	5718648	5630915	17	1777991	5733034	5786361	69.52	69.52	1313185	1313185	129265	129265	992826.4	983676.5	2	2	10	10	3	2	2025742	0	0	0	0	0 + 0 part	0	98.785	1.003	0.00	2.86	8.58	1499076	5733021	630019	630019	129264	129264	843254.0	835482.6	3	3	11	11
