Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	154	0	0	0	0	198539	0	0	0	0	154	2952	198539	5183331	68.06	69.46	1233	-	1025	-	1374.1	52.6	64	-	135	-	1	1	2159	0	0	0	0	0 + 6 part	6070	3.567	1.001	418.05	544.48	31.87	2952	185132	1170	-	770	-	1198.7	45.9	69	-	145	-
spades-short-only_broken	131	0	0	0	0	167781	0	0	0	0	131	2952	167781	5183331	68.21	69.46	1211	-	1023	-	1366.6	44.2	54	-	115	-	1	1	2159	0	0	0	0	0 + 4 part	3813	3.078	1.000	0.00	617.21	23.18	2952	159588	1170	-	896	-	1236.6	40.0	58	-	121	-
spades-illumina-ont	179	14	3	0	0	410523	110751	37141	0	0	179	15017	410523	5183331	67.72	69.46	2692	-	1107	-	4079.7	323.1	41	-	141	-	3	3	8290	0	0	0	0	2 + 27 part	83725	6.160	1.005	116.92	809.21	561.40	15017	320805	1407	-	-	-	2545.8	201.6	71	-	-	-
spades-illumina-ont_broken	169	13	3	0	0	392209	105063	37141	0	0	169	15017	392209	5183331	67.71	69.46	2690	-	1158	-	4124.6	312.1	39	-	133	-	3	3	8010	0	0	0	0	2 + 25 part	77031	5.978	1.005	0.00	839.82	576.69	15017	311259	1510	-	-	-	2636.9	199.5	65	-	-	-
spades-illumina-hifi	298	66	27	2	0	1206285	698099	431860	56197	0	298	28323	1206285	5183331	68.58	69.46	6144	-	1602	-	9004.3	2095.5	50	-	203	-	4	4	34733	2	0	0	2	1 + 37 part	163434	19.896	1.002	20.72	541.96	59.91	27874	1033296	3900	-	-	-	6961.7	1620.2	70	-	-	-
spades-illumina-hifi_broken	295	66	27	2	0	1197695	695860	429894	56197	0	295	28323	1197695	5183331	68.60	69.46	6168	-	1602	-	8997.9	2079.1	49	-	201	-	3	3	12998	2	0	0	2	1 + 37 part	163434	19.761	1.002	0.00	542.46	59.65	27874	1026061	3900	-	-	-	6979.4	1612.7	69	-	-	-
flye-ont	21	21	15	8	2	549232	549232	507821	385005	189760	21	106782	549232	5183331	66.90	69.46	33900	-	12481	-	49851.8	5282.4	5	-	14	-	0	0	0	0	0	0	1	4 + 12 part	438817	2.113	1.008	0.00	1195.18	1770.57	23022	110360	-	-	-	-	2113.5	224.0	-	-	-	-
flye-ont-polypolish-default	21	21	15	8	2	549114	549114	507706	384898	189694	21	106732	549114	5183331	66.90	69.46	33886	-	12481	-	49832.7	5279.2	5	-	14	-	0	0	0	0	0	0	1	4 + 12 part	438694	2.113	1.008	0.00	1186.97	1745.12	23021	110365	-	-	-	-	2114.1	224.0	-	-	-	-
flye-ont-polypolish-careful	21	21	15	8	2	549117	549117	507709	384902	189703	21	106733	549117	5183331	66.90	69.46	33886	-	12481	-	49834.5	5279.4	5	-	14	-	0	0	0	0	0	0	1	4 + 12 part	438699	2.113	1.008	0.00	1190.62	1752.40	23021	110363	-	-	-	-	2114.0	224.0	-	-	-	-
flye-hifi	57	56	56	49	32	4933683	4929739	4929739	4821789	4143954	57	306522	4933683	5183331	69.49	69.46	136147	132428	43688	38524	151210.7	143927.8	12	13	39	44	3	2	232508	1	0	0	0	0 + 1 part	3183	94.877	1.003	0.00	2.94	27.83	306521	4930460	132428	125336	42030	30812	148294.4	141152.0	12	13	40	46
