Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	219	198	161	86	36	6660199	6603305	6300647	5039342	3264669	219	257174	6660199	6722539	60.57	60.50	49283	49283	14080	13845	67482.8	66857.0	38	38	137	141	2	2	203105	5	0	2	0	0 + 1 part	507	98.972	1.001	23.21	27.68	2.87	257174	6657852	49106	48041	14080	13845	65940.7	65329.2	39	40	138	142
spades-short-only_broken	292	247	197	94	26	6650179	6523126	6117338	4419824	2044364	292	228036	6650179	6722539	60.57	60.50	34909	34852	11178	10313	47360.9	46851.1	57	58	185	191	2	2	113579	4	0	0	0	0 + 1 part	507	98.827	1.001	0.00	27.48	1.50	228036	6648513	34852	34830	10994	10307	46828.7	46324.6	58	59	187	193
spades-illumina-ont	86	80	72	55	41	6718575	6698491	6630168	6338341	5827255	86	679332	6718575	6722539	60.53	60.50	158403	158403	35429	35429	213293.1	213167.3	12	12	47	47	3	3	323398	6	0	0	0	0 + 3 part	5936	99.635	1.002	2.90	46.04	12.47	679332	6711834	149696	149696	35384	35384	211335.3	211210.6	13	13	48	48
spades-illumina-ont_broken	93	83	74	57	42	6717666	6686755	6610152	6315838	5756770	93	679332	6717666	6722539	60.53	60.50	143793	143793	35429	35429	204194.6	204046.6	13	13	49	49	3	3	323398	6	0	0	0	0 + 3 part	5936	99.625	1.002	0.00	46.00	12.32	679332	6710920	143793	143793	34109	34109	202236.5	202089.9	13	13	51	51
spades-illumina-hifi	94	87	81	61	44	6776962	6757050	6707044	6370240	5786005	94	679209	6776962	6722539	60.50	60.50	132599	132599	34109	34274	190199.6	191739.4	15	15	52	51	2	2	162000	5	0	1	0	0 + 7 part	49825	99.708	1.003	7.11	39.00	4.74	679209	6726242	132599	132599	33732	33767	188582.8	190109.5	15	15	54	53
spades-illumina-hifi_broken	103	91	84	64	44	6776048	6743790	6685212	6345921	5646045	103	679209	6776048	6722539	60.50	60.50	130970	130970	31173	34109	182845.0	184300.4	15	15	56	54	2	2	162000	5	0	0	0	0 + 7 part	49825	99.703	1.003	0.00	38.96	4.59	679209	6725610	127604	130970	30428	33732	181233.8	182676.4	16	15	58	56
flye-ont	8	8	8	8	8	7114656	7114656	7114656	7114656	7114656	8	2812330	7114656	6722539	60.57	60.50	1409436	1409436	339988	492417	1646537.5	1742578.0	2	2	6	5	1	1	492417	1	0	0	0	0 + 1 part	401705	99.822	1.000	0.00	129.97	468.47	2812330	6709896	1409436	1409436	301547	320969	1576443.5	1668395.4	2	2	7	6
flye-ont-polypolish-default	8	8	8	8	8	7116543	7116543	7116543	7116543	7116543	8	2813341	7116543	6722539	60.60	60.50	1409854	1409854	340233	492549	1647120.0	1743656.7	2	2	6	5	1	1	492549	1	0	0	0	0 + 1 part	401265	99.822	1.000	0.00	26.00	107.24	2813341	6712223	1409854	1409854	301729	321070	1577106.7	1669540.0	2	2	7	6
flye-ont-polypolish-careful	8	8	8	8	8	7116662	7116662	7116662	7116662	7116662	8	2813299	7116662	6722539	60.60	60.50	1409882	1409882	340246	492556	1647091.7	1743655.9	2	2	6	5	1	1	492556	1	0	0	0	0 + 1 part	401351	99.822	1.000	0.00	32.12	126.41	2813299	6712256	1409882	1409882	301745	321094	1577060.9	1669519.4	2	2	7	6
flye-hifi	1	1	1	1	1	6722405	6722405	6722405	6722405	6722405	1	6722405	6722405	6722539	60.50	60.50	6722405	6722405	6722405	6722405	6722405.0	6722271.0	1	1	1	1	1	1	6722405	2	0	0	0	0 + 0 part	0	99.995	1.000	0.00	0.40	0.10	6602741	6722218	6602741	6602741	6602741	6602741	6487330.6	6487201.3	1	1	1	1
