Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	314	233	175	88	21	6047583	5854243	5440796	4015582	1616301	314	138217	6047583	6181873	61.63	61.52	34813	34369	9996	8379	41659.1	40754.1	55	57	176	189	1	1	30407	1	0	1	0	0 + 0 part	0	97.692	1.001	23.05	35.77	3.39	138217	6046137	34809	34369	9996	8379	41614.4	40710.4	55	57	176	189
spades-short-only_broken	412	290	196	73	15	6039636	5721207	5026282	3027154	1028305	412	85347	6039636	6181873	61.63	61.52	25003	24542	7390	6353	30506.7	29804.8	73	76	244	263	1	1	30407	1	0	0	0	0 + 0 part	0	97.563	1.001	0.00	35.36	1.51	85293	6038078	25003	24542	7313	6269	30462.9	29762.0	73	76	245	264
spades-illumina-ont	99	78	74	59	39	6114371	6064688	6041047	5809711	5165472	99	384756	6114371	6181873	61.60	61.52	141607	141607	31058	30407	153100.1	151428.4	15	15	48	50	5	4	426472	2	0	2	0	0 + 0 part	0	98.628	1.002	121.52	43.20	5.83	380749	6106280	135033	133535	29431	28610	151091.0	149441.2	15	16	50	52
spades-illumina-ont_broken	105	84	78	62	39	6105671	6055988	6015559	5767507	5005360	105	352946	6105671	6181873	61.60	61.52	133539	114732	30407	29207	138706.8	136997.0	16	17	53	55	5	4	372029	2	0	0	0	0 + 0 part	0	98.607	1.002	0.00	43.18	5.73	352946	6104950	133535	114732	29207	28246	137311.0	135618.4	16	17	54	56
spades-illumina-hifi	109	88	82	65	44	6151272	6100725	6060542	5794169	5074203	109	384757	6151272	6181873	61.57	61.52	100715	100715	30685	30407	127655.7	127023.8	19	19	56	57	4	3	150212	2	0	1	0	0 + 5 part	26960	98.843	1.001	66.77	40.96	1.85	380750	6118655	100715	100715	29207	28606	126091.7	125467.5	19	19	58	59
spades-illumina-hifi_broken	117	94	87	69	44	6144977	6088766	6038599	5755512	4882369	117	236903	6144977	6181873	61.58	61.52	100715	100709	30407	29433	111709.6	111042.9	20	21	61	62	4	3	150212	2	0	0	0	0 + 6 part	27899	98.807	1.001	0.00	40.96	1.68	236903	6116336	100715	100709	28606	27521	110708.0	110047.2	20	21	63	64
flye-ont	12	12	11	10	10	6493485	6493485	6484325	6461478	6461478	12	1670101	6493485	6181873	61.38	61.52	703252	703252	337225	441240	962244.9	1010749.2	3	3	8	7	1	1	561518	2	0	0	0	0 + 1 part	301744	99.636	1.005	0.00	255.87	617.25	1670101	6191465	577409	577409	172280	336968	890225.0	935098.9	3	3	10	8
flye-ont-polypolish-default	12	12	11	10	10	6487908	6487908	6478751	6455922	6455922	12	1668030	6487908	6181873	61.47	61.52	702994	702994	337007	440931	961175.0	1008758.1	3	3	8	7	1	1	561235	2	0	0	0	0 + 1 part	301926	99.636	1.004	0.00	88.66	198.78	1668030	6185706	576934	576934	172256	336750	889111.3	933126.9	3	3	10	8
flye-ont-polypolish-careful	12	12	11	10	10	6488496	6488496	6479338	6456507	6456507	12	1668097	6488496	6181873	61.46	61.52	703096	703096	337021	440979	961235.9	1008913.5	3	3	8	7	1	1	561304	2	0	0	0	0 + 1 part	301942	99.636	1.004	0.00	101.21	226.74	1668097	6186278	576999	576999	172261	336764	889163.3	933266.1	3	3	10	8
flye-hifi	1	1	1	1	1	6185274	6185274	6185274	6185274	6185274	1	6185274	6185274	6181873	61.52	61.52	6185274	6185274	6185274	6185274	6185274.0	6188676.9	1	1	1	1	2	1	6185274	2	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.41	0.52	4857241	6184813	4857241	4857241	1130056	1130056	4027118.2	4029333.7	1	1	2	2
