Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	59	46	40	25	13	2239780	2211400	2168954	1934705	1533381	59	307797	2239780	2362816	34.32	34.51	86024	81903	20229	11476	117365.5	111254.1	7	8	29	37	1	1	81903	0	0	1	0	0 + 0 part	0	94.766	1.000	4.46	8.39	0.89	307797	2239671	86024	77461	20229	11476	115872.9	109839.2	7	8	30	38
spades-short-only_broken	60	47	41	25	13	2239680	2211300	2168854	1914785	1513461	60	307797	2239680	2362816	34.32	34.51	86024	81903	19820	11476	115402.6	109388.5	7	8	30	38	1	1	81903	0	0	0	0	0 + 0 part	0	94.767	1.000	0.00	8.39	0.89	307797	2239671	86024	77461	19820	11476	113921.6	107984.7	7	8	31	39
spades-illumina-ont	9	8	7	6	6	2337515	2335908	2330712	2317903	2317903	9	936898	2337515	2362816	34.48	34.51	489182	489182	185882	185882	577992.4	571803.3	2	2	5	5	2	2	503098	0	0	6	0	0 + 0 part	0	98.525	1.000	397.69	23.97	1.29	931485	2328207	489182	489182	182624	182624	539245.1	533470.8	2	2	6	6
spades-illumina-ont_broken	16	15	14	11	11	2327373	2325766	2320570	2277142	2277142	16	489182	2327373	2362816	34.48	34.51	343946	343946	106212	98400	282131.3	277899.3	3	3	9	10	2	2	503098	0	0	0	0	0 + 0 part	0	98.485	1.000	0.00	23.72	1.12	489182	2327334	192645	192645	77504	77504	248183.1	244460.3	4	4	11	11
spades-illumina-hifi	3	3	3	2	2	2359573	2359573	2359573	2346764	2346764	3	1969628	2359573	2362816	34.51	34.51	1969628	1969628	377136	377136	1704473.7	1702134.3	1	1	2	2	2	2	2346764	0	0	2	0	0 + 0 part	0	99.254	1.000	602.14	29.12	1.58	983555	2345375	971875	971875	192645	192645	840505.7	839352.1	2	2	3	3
spades-illumina-hifi_broken	6	6	6	5	5	2345365	2345365	2345365	2332556	2332556	6	906111	2345365	2362816	34.51	34.51	828272	828272	377136	125962	713907.2	708634.5	2	2	3	4	2	2	503098	0	0	0	0	0 + 0 part	0	99.254	1.000	0.00	29.12	1.53	906111	2345365	828272	828272	184491	95075	680223.6	675199.7	2	2	4	5
flye-ont	3	3	3	2	2	2379967	2379967	2379967	2368055	2368055	3	2222622	2379967	2362816	34.60	34.51	2222622	2222622	2222622	2222622	2084626.1	2099757.8	1	1	1	1	1	1	145433	0	0	0	0	0 + 0 part	0	100.000	1.007	0.00	23.07	445.55	2222622	2379967	2222622	2222622	2222622	2222622	2080188.8	2095288.3	1	1	1	1
flye-ont-polypolish-default	3	3	3	2	2	2388942	2388942	2388942	2376997	2376997	3	2231024	2388942	2362816	34.53	34.51	2231024	2231024	2231024	2231024	2092524.2	2115661.5	1	1	1	1	1	1	145973	0	0	0	0	0 + 0 part	0	100.000	1.011	0.00	10.05	26.04	2231024	2388942	2231024	2231024	2231024	2231024	2088070.9	2111159.0	1	1	1	1
flye-ont-polypolish-careful	3	3	3	2	2	2388469	2388469	2388469	2376557	2376557	3	2230635	2388469	2362816	34.53	34.51	2230635	2230635	2230635	2230635	2092205.4	2114920.3	1	1	1	1	1	1	145922	0	0	0	0	0 + 0 part	0	100.000	1.011	0.00	12.23	58.87	2230635	2388469	2230635	2230635	2230635	2230635	2087754.4	2110421.0	1	1	1	1
flye-hifi	1	1	1	1	1	2362830	2362830	2362830	2362830	2362830	1	2362830	2362830	2362816	34.51	34.51	2362830	2362830	2362830	2362830	2362830.0	2362844.0	1	1	1	1	1	1	2362830	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	0.55	0.63	2094191	2362830	2094191	2094191	268639	268639	1886637.1	1886648.3	1	1	2	2
