Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	32	18	12	9	9	1880073	1846861	1799238	1753703	1753703	32	506724	1880073	1884562	46.95	46.94	300603	300603	84329	59979	277841.4	277179.6	3	3	8	9	1	1	148935	0	0	1	0	0 + 0 part	0	99.671	1.001	5.32	5.85	2.98	506724	1879947	300603	300603	59979	59979	273450.4	272799.1	3	3	9	9
spades-short-only_broken	33	18	12	9	9	1879973	1841825	1794202	1753703	1753703	33	506724	1879973	1884562	46.95	46.94	300603	300603	84329	59979	277786.3	277109.9	3	3	8	9	1	1	148935	0	0	0	0	0 + 0 part	0	99.671	1.001	0.00	5.85	2.98	506724	1879947	300603	300603	59979	59979	273397.0	272731.3	3	3	9	9
spades-illumina-ont	4	4	3	3	3	1882824	1882824	1874425	1874425	1874425	4	932865	1882824	1884562	46.93	46.94	881581	881581	881581	881581	876922.2	876113.5	2	2	2	2	1	1	881581	0	0	1	0	0 + 0 part	0	99.506	1.001	275.12	7.99	3.41	927715	1877669	636675	636675	244906	244906	706203.6	705552.3	2	2	3	3
spades-illumina-ont_broken	8	6	5	4	4	1877644	1873983	1867060	1851291	1851291	8	881581	1877644	1884562	46.93	46.94	734404	734404	175327	175327	719611.9	716970.3	2	2	3	3	1	1	881581	0	0	0	0	0 + 0 part	0	99.501	1.001	0.00	7.99	3.25	734404	1877639	636675	636675	175327	175327	553525.5	551493.5	2	2	4	4
spades-illumina-hifi	2	2	2	2	2	3676032	3676032	3676032	3676032	3676032	2	1884713	3676032	1884562	46.55	46.94	1884713	1884713	1791319	1884713	1839202.4	3587553.4	1	1	2	1	1	1	1884713	0	0	0	1	0 + 1 part	1735705	100.000	1.021	420.43	24.88	4.57	1570522	1924902	314191	1570522	-	314191	697893.1	1361312.2	2	1	-	2
spades-illumina-hifi_broken	8	2	2	2	2	1897084	1882154	1882154	1882154	1882154	8	965485	1897084	1884562	46.93	46.94	965485	965485	916669	916669	934322.5	940530.6	1	1	2	2	1	1	965485	0	0	0	0	0 + 0 part	0	100.000	1.007	0.00	6.91	3.11	916669	1897084	651294	651294	314191	314191	718590.7	723365.4	2	2	3	3
flye-ont	9	9	8	7	5	1937173	1937173	1928323	1915079	1845984	9	893712	1937173	1884562	47.04	46.94	429082	429082	131233	131233	572641.4	588627.8	2	2	4	4	2	2	937805	0	0	0	0	0 + 2 part	4064	99.929	1.026	0.00	63.48	376.14	640774	1933040	429082	429082	131233	131233	404676.2	415973.5	2	2	5	5
flye-ont-polypolish-default	10	10	9	7	5	1965353	1965353	1956475	1921557	1852232	10	896724	1965353	1884562	47.08	46.94	430503	430503	131735	131735	568487.0	592857.9	2	2	4	4	2	2	940963	0	0	0	0	0 + 3 part	24693	99.929	1.030	0.00	51.07	47.97	642979	1940597	430503	430503	131735	131735	401594.8	418811.1	2	2	5	5
flye-ont-polypolish-careful	9	9	8	7	5	1943361	1943361	1934484	1921240	1852023	9	896623	1943361	1884562	46.98	46.94	430429	430429	131712	131712	574544.0	592469.9	2	2	4	4	2	2	940816	0	0	0	0	0 + 2 part	4064	99.929	1.030	0.00	54.66	77.30	642904	1939234	430429	430429	131712	131712	406041.4	418710.1	2	2	5	5
flye-hifi	1	1	1	1	1	1884474	1884474	1884474	1884474	1884474	1	1884474	1884474	1884562	46.94	46.94	1884474	1884474	1884474	1884474	1884474.0	1884386.0	1	1	1	1	1	1	1884474	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	1.38	2.65	1564311	1884474	1564311	1564311	320163	320163	1352936.3	1352873.1	1	1	2	2
