Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	470	205	68	4	0	2739397	1991230	1031376	110489	0	470	29904	2739397	2843201	37.90	37.87	7811	7467	2923	2410	9665.5	9312.6	106	113	326	362	4	4	39943	0	0	0	0	0 + 0 part	0	96.024	1.003	119.15	84.28	11.76	29904	2737317	7736	7362	2888	2402	9593.7	9243.5	108	115	329	365
spades-short-only_broken	582	187	43	2	0	2694378	1614733	593085	55192	0	582	29904	2694378	2843201	37.91	37.87	6104	5725	2353	1768	7387.7	7001.0	139	152	418	482	4	4	34490	0	0	0	0	0 + 0 part	0	94.463	1.002	0.00	82.36	4.64	29904	2691875	6099	5716	2348	1739	7343.6	6959.2	140	153	421	486
spades-illumina-ont	153	112	85	41	10	2808550	2693400	2485186	1776024	724082	153	112154	2808550	2843201	37.89	37.87	29929	29929	9247	8713	38146.2	37681.3	28	28	90	93	8	8	245525	0	0	0	0	0 + 0 part	0	98.466	1.003	17.02	112.28	57.71	111927	2807282	28052	27853	8730	8663	36522.0	36076.9	30	31	95	98
spades-illumina-ont_broken	169	120	85	37	9	2801421	2658342	2392338	1604368	652032	169	112154	2801421	2843201	37.89	37.87	28120	26849	8301	7145	35958.2	35429.8	30	31	100	105	8	8	200549	0	0	0	0	0 + 0 part	0	98.214	1.003	0.00	112.06	56.78	111927	2800178	26741	26590	7871	6891	34882.6	34370.0	31	32	104	109
spades-illumina-hifi	183	127	86	36	11	2802113	2647442	2350198	1582006	722739	183	98132	2802113	2843201	37.89	37.87	28538	28538	6804	6502	34445.9	33948.1	30	30	107	113	5	5	105143	0	0	0	0	0 + 0 part	0	98.241	1.002	24.41	87.64	7.71	98132	2799943	28094	27686	6748	6461	34082.6	33590.1	30	31	109	115
spades-illumina-hifi_broken	211	137	80	33	9	2792823	2594871	2185551	1448426	590598	211	92584	2792823	2843201	37.89	37.87	27686	26738	6121	5474	31716.5	31154.5	31	32	123	131	4	4	80051	0	0	0	0	0 + 0 part	0	97.917	1.002	0.00	87.16	6.06	92535	2790407	25302	25248	6072	5340	31434.4	30877.4	32	33	124	132
flye-ont	57	55	52	29	13	1973388	1966202	1942955	1568549	991009	57	127609	1973388	2843201	38.61	37.87	52258	31218	16404	-	55524.2	38537.8	13	24	40	-	1	1	49059	1	0	0	0	4 + 9 part	201882	62.120	1.002	0.00	862.93	2240.87	123556	1769666	39307	22635	-	-	46542.0	32303.5	16	30	-	-
flye-ont-polypolish-default	75	72	65	34	13	2302339	2292233	2236838	1727741	990861	75	127621	2302339	2843201	38.60	37.87	43227	33761	14787	-	51018.3	41313.1	17	24	52	-	1	1	48991	2	0	0	0	2 + 12 part	116648	76.131	1.008	0.00	722.76	1699.00	123568	2182877	38629	29428	11888	-	45636.8	36955.3	19	27	60	-
flye-ont-polypolish-careful	75	72	65	34	13	2302353	2292248	2236854	1727751	990866	75	127614	2302353	2843201	38.61	37.87	43225	33761	14781	-	51018.4	41313.4	17	24	52	-	1	1	48990	2	0	0	0	2 + 12 part	116662	76.131	1.008	0.00	728.03	1716.91	123561	2182877	38627	29428	11889	-	45636.1	36955.0	19	27	60	-
flye-hifi	40	39	39	27	17	2278144	2276952	2276952	2043156	1683503	40	243372	2278144	2843201	38.01	37.87	80260	61743	23470	-	101810.8	81576.9	9	13	28	-	4	2	303492	0	0	0	0	0 + 1 part	1090	79.779	1.004	0.00	6.68	37.81	192109	2276933	77860	59047	23469	-	86291.4	69141.9	10	15	30	-
