Branch	SourceArticle	SourceRelativePath	BundleRelativePath	ExpectedSHA256	ObservedSHA256	Status
sr-megahit-m1	30	data/small/30-short-read-assembly-frozen/contigs/megahit-single-MOCK1.ge1000.fna.gz	contigs/megahit-single-MOCK1.ge1000.fna.gz	e3554bafffb94c5e48954f6cbb27de977015c82d8bf98f7a9e6373316e2a4a60	e3554bafffb94c5e48954f6cbb27de977015c82d8bf98f7a9e6373316e2a4a60	PASS
sr-metaspades-m1	30	data/small/30-short-read-assembly-frozen/contigs/metaspades-single-MOCK1.ge1000.fna.gz	contigs/metaspades-single-MOCK1.ge1000.fna.gz	31f0cc488a4b9f22ddf7c48cfa781768da8a59a2b0a89d93163a88b25d636db5	31f0cc488a4b9f22ddf7c48cfa781768da8a59a2b0a89d93163a88b25d636db5	PASS
sr-megahit-m2	30	data/small/30-short-read-assembly-frozen/contigs/megahit-single-MOCK2.ge1000.fna.gz	contigs/megahit-single-MOCK2.ge1000.fna.gz	a6c6c2eafb40bb557c3eaf21d124b983dd964843e6caa5ef656b3a61c01a3cbf	a6c6c2eafb40bb557c3eaf21d124b983dd964843e6caa5ef656b3a61c01a3cbf	PASS
sr-metaspades-m2	30	data/small/30-short-read-assembly-frozen/contigs/metaspades-single-MOCK2.ge1000.fna.gz	contigs/metaspades-single-MOCK2.ge1000.fna.gz	5df645a88ee9e996f7495cccf8eb4342e59503a38a115e34f898edbdae2f461e	5df645a88ee9e996f7495cccf8eb4342e59503a38a115e34f898edbdae2f461e	PASS
sr-megahit-co	30	data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz	contigs/megahit-coassembly.ge1000.fna.gz	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	PASS
sr-metaspades-co	30	data/small/30-short-read-assembly-frozen/contigs/metaspades-coassembly.ge1000.fna.gz	contigs/metaspades-coassembly.ge1000.fna.gz	d3d6300e11bfdff2dfc10d4abdf58240e89e856e0f634c81b527cdd5ff7a559e	d3d6300e11bfdff2dfc10d4abdf58240e89e856e0f634c81b527cdd5ff7a559e	PASS
lr-flye-ont	31	data/small/31-long-read-assembly-frozen/assemblies/flye-ont-r9.ge1000.fna.gz	assemblies/flye-ont-r9.ge1000.fna.gz	a8729310ea74377fa2f343ddf089c2d0ec3b6c73b5548c7e71d3f517458c9a65	a8729310ea74377fa2f343ddf089c2d0ec3b6c73b5548c7e71d3f517458c9a65	PASS
lr-flye-hifi	31	data/small/31-long-read-assembly-frozen/assemblies/flye-hifi.ge1000.fna.gz	assemblies/flye-hifi.ge1000.fna.gz	f2a3c5482381759887413aeb6a2841b4805d0f3b13f3ed5c3cf6d32075ed6f17	f2a3c5482381759887413aeb6a2841b4805d0f3b13f3ed5c3cf6d32075ed6f17	PASS
lr-hifiasm-hifi	31	data/small/31-long-read-assembly-frozen/assemblies/hifiasm-meta-hifi.ge1000.fna.gz	assemblies/hifiasm-meta-hifi.ge1000.fna.gz	1dec32dc675062a03cba669919aca3330ded9c7d7d35a231335b511883c645f5	1dec32dc675062a03cba669919aca3330ded9c7d7d35a231335b511883c645f5	PASS
lr-metamdbg-hifi	31	data/small/31-long-read-assembly-frozen/assemblies/metamdbg-hifi.ge1000.fna.gz	assemblies/metamdbg-hifi.ge1000.fna.gz	d50bd6d9051d888fe5cf77128db1be4a047237b9752079a2df4225534a1fc747	d50bd6d9051d888fe5cf77128db1be4a047237b9752079a2df4225534a1fc747	PASS
sr-spades-10m	32	data/small/32-hybrid-assembly-polishing-frozen/assemblies/spades-short-only.ge1000.fna.gz	assemblies/spades-short-only.ge1000.fna.gz	6c31888fdd73e0d0ca8bb18cf9fc1eca30f8e3ab217c573196934491024565de	6c31888fdd73e0d0ca8bb18cf9fc1eca30f8e3ab217c573196934491024565de	PASS
hybrid-illumina-ont	32	data/small/32-hybrid-assembly-polishing-frozen/assemblies/spades-illumina-ont.ge1000.fna.gz	assemblies/spades-illumina-ont.ge1000.fna.gz	abd95181b62d56927bca23ed01e53d8ccb1bb70eb4bc55657fb98e9cb9f9b666	abd95181b62d56927bca23ed01e53d8ccb1bb70eb4bc55657fb98e9cb9f9b666	PASS
hybrid-illumina-hifi	32	data/small/32-hybrid-assembly-polishing-frozen/assemblies/spades-illumina-hifi.ge1000.fna.gz	assemblies/spades-illumina-hifi.ge1000.fna.gz	67fafcb2bdb04a0f09d64bc55eb909ea313bb1a3089681d1782bd6d1dcd44d2f	67fafcb2bdb04a0f09d64bc55eb909ea313bb1a3089681d1782bd6d1dcd44d2f	PASS
lr-ont-polypolish	32	data/small/32-hybrid-assembly-polishing-frozen/assemblies/flye-ont-polypolish-default.ge1000.fna.gz	assemblies/flye-ont-polypolish-default.ge1000.fna.gz	9edc56e0b566f2dd475a25874bf146fab6f35e85c720927452bd6756d140113b	9edc56e0b566f2dd475a25874bf146fab6f35e85c720927452bd6756d140113b	PASS
lr-ont-careful	32	data/small/32-hybrid-assembly-polishing-frozen/assemblies/flye-ont-polypolish-careful.ge1000.fna.gz	assemblies/flye-ont-polypolish-careful.ge1000.fna.gz	80e3353c7a90c0e075a074117ead0397f0e8a2271f0ddadef846eba57e8eb4ea	80e3353c7a90c0e075a074117ead0397f0e8a2271f0ddadef846eba57e8eb4ea	PASS
