Sample	LengthBin	CatalogGenes	DetectedGenes	AssignedReads	CPM	TPM
MOCK1	300-599 bp	24288.0	23955.0	306980.0	110256.53734564205	233246.48938471064
MOCK1	600-899 bp	19652.0	19584.0	498093.0	178897.67885889302	229313.9577867221
MOCK1	900-1,499 bp	23577.0	23541.0	1037032.0	372465.82004243246	309167.0819387925
MOCK1	<300 bp	16634.0	12146.0	59079.0	21219.12166865223	89849.69101590833
MOCK1	>=1,500 bp	9631.0	9619.0	883050.0	317160.84208439646	138422.7798738517
MOCK2	300-599 bp	24288.0	23914.0	305980.0	110166.07721560176	233169.5578726242
MOCK2	600-899 bp	19652.0	19583.0	497513.0	179126.2682978243	229592.5166455843
MOCK2	900-1,499 bp	23577.0	23544.0	1032843.0	371868.2975671966	308743.67659933236
MOCK2	<300 bp	16634.0	12156.0	58905.0	21208.356031066945	89820.1340295373
MOCK2	>=1,500 bp	9631.0	9622.0	882202.0	317631.0008882242	138674.11485290845
