Step	Elapsed	UserSeconds	SystemSeconds	PeakRSSKiB	ExitStatus	Command
annotate-uniref90	1:42:15	85751.03	818.48	7794916	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/diamond blastp --db /workspace/wechat/Metagenome/db/humann-cache/installed/humann-uniref90-v201901b/uniref90_201901b_full.dmnd --query /workspace/wechat/Metagenome/data/raw/article35/work/reference/megahit-mix-primary.faa --out /workspace/wechat/Metagenome/data/raw/article35/work/annotation/uniref90-top5.tsv --outfmt 6 qseqid sseqid pident length qlen slen evalue bitscore qcovhsp --threads 16 --iterate faster --sensitive --id 50 --query-cover 80 --evalue 1e-5 --max-target-seqs 5 --masking 1 --tmpdir /workspace/wechat/Metagenome/data/raw/article35/work/tmp/diamond
audited-map-MOCK1	2:17.47	1666.92	405.59	356972	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2 --very-sensitive-local -k 2 --seed 20260735 --no-unal -p 16 -x /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary -U /workspace/wechat/Metagenome/data/raw/article35/work/inputs/MOCK1_R1.fastq.gz,/workspace/wechat/Metagenome/data/raw/article35/work/inputs/MOCK1_R2.fastq.gz | /workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/python /workspace/wechat/Metagenome/scripts/parse_article35_sam.py --sample MOCK1 --total-reads 3999706 --counts /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK1.policy-counts.tsv --summary /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK1.mapping-summary.json --quality-histogram /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK1.quality-histogram.tsv
audited-map-MOCK2	2:20.81	1705.62	418.31	357812	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2 --very-sensitive-local -k 2 --seed 20260735 --no-unal -p 16 -x /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary -U /workspace/wechat/Metagenome/data/raw/article35/work/inputs/MOCK2_R1.fastq.gz,/workspace/wechat/Metagenome/data/raw/article35/work/inputs/MOCK2_R2.fastq.gz | /workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/python /workspace/wechat/Metagenome/scripts/parse_article35_sam.py --sample MOCK2 --total-reads 3999776 --counts /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK2.policy-counts.tsv --summary /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK2.mapping-summary.json --quality-histogram /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK2.quality-histogram.tsv
build-bowtie2-index	0:42.36	545.36	2.50	485836	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2-build --threads 16 /workspace/wechat/Metagenome/data/raw/article35/work/reference/megahit-mix-primary.fna /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary
legacy-bam-MOCK1	0:00.13	0.32	0.05	48228	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/samtools sort -@ 16 -o /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.local.sorted.bam /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.local.sam
legacy-bam-MOCK2	0:00.14	0.40	0.06	51104	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/samtools sort -@ 16 -o /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.local.sorted.bam /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.local.sam
legacy-htseq-MOCK1	0:06.47	7.91	0.30	285604	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/htseq-count -f bam -r pos -t CDS -i ID -s no -a 0 --secondary-alignments ignore --supplementary-alignments ignore /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.local.sorted.bam /workspace/wechat/Metagenome/data/raw/article35/work/reference/megahit-mix-primary.gff
legacy-htseq-MOCK2	0:06.77	8.21	0.30	285600	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/htseq-count -f bam -r pos -t CDS -i ID -s no -a 0 --secondary-alignments ignore --supplementary-alignments ignore /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.local.sorted.bam /workspace/wechat/Metagenome/data/raw/article35/work/reference/megahit-mix-primary.gff
legacy-map-MOCK1	0:01.62	2.90	0.41	290988	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2 --local --seed 100 -p 16 -x /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary -U /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.R1.seed100.n10000.fastq -S /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.local.sam
legacy-map-MOCK2	0:01.64	2.99	0.32	292140	0	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2 --local --seed 100 -p 16 -x /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary -U /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.R1.seed100.n10000.fastq -S /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.local.sam
